key,vmac,vsini,vmac_src,SpType,logTeff_sp,logL_sp,logg_sp
HD46075,18.0,53.0,SimonDiaz2017,B6 III,4.11,2.19,
HD46106,75.0,97.0,SimonDiaz2017,O9.7 III(n),,,
HD46149,60.0,31.0,SimonDiaz2017,O8.5 V,4.56,3.61,
HD46150,94.0,66.0,SimonDiaz2017,O5 V((f))z,4.61,3.98,
HD46202,34.0,20.0,SimonDiaz2017,O9.2 V,4.54,3.46,
HD46223,91.0,58.0,SimonDiaz2017,O4 V((f)),4.64,4.11,
HD46328,20.0,9.0,SimonDiaz2017,B0.7 IV,4.39,3.22,
HD4636,23.0,98.0,SimonDiaz2017,B9 III,4.07,2.28,
HD46573,109.0,88.0,SimonDiaz2017,O7 V((f))z,4.56,4.0,
HD46769,23.0,69.0,SimonDiaz2017,B8 Ib,4.1,3.23,
HD46966,66.0,38.0,SimonDiaz2017,O8.5 IV,4.55,3.75,
HD47240,74.0,111.0,SimonDiaz2017,B1 II,4.29,4.08,
HD47417,123.0,107.0,SimonDiaz2017,B0 IV,4.47,3.67,
HD47432,68.0,97.0,SimonDiaz2017,O9.7 Ib,4.51,4.09,
HD47839,65.0,39.0,SimonDiaz2017,O7 V((f))z var,4.58,3.74,
HD47964,17.0,52.0,SimonDiaz2017,B8 III,4.09,2.54,
HD48038,52.0,150.0,SimonDiaz2017,B2 III,4.28,3.51,
HD48279,90.0,140.0,SimonDiaz2017,O8.5 Vz Nstr var?,4.56,3.74,
HD4841,59.0,37.0,SimonDiaz2017,B5 Ia,4.12,3.99,
HD48434,82.0,42.0,SimonDiaz2017,B0 III,4.48,3.93,
HD48691,58.0,52.0,SimonDiaz2017,B0.5 IV,4.44,3.56,
HD48807,35.0,33.0,SimonDiaz2017,B7 Iab,4.07,3.68,
HD49340,28.0,190.0,SimonDiaz2017,B7 III,4.12,2.86,
HD49606,25.0,19.0,SimonDiaz2017,B7 III,4.13,2.51,
HD5005A,86.0,65.0,SimonDiaz2017,O4 V((fc)),4.62,4.03,
HD50707,46.0,24.0,SimonDiaz2017,B1 Ib,4.38,3.31,
HD51309,43.0,27.0,SimonDiaz2017,B3 II,4.2,3.64,
HD51688,19.0,33.0,SimonDiaz2017,B8 III,4.1,2.26,
HD52273,25.0,86.0,SimonDiaz2017,B2 III,4.29,3.18,
HD52312,59.0,179.0,SimonDiaz2017,B9 III,,,
HD53138,56.0,38.0,SimonDiaz2017,B3 Iab,4.23,4.13,
HD53244,21.0,36.0,SimonDiaz2017,B8 II,4.14,2.74,
HD53929,26.0,25.0,SimonDiaz2017,B9 III,4.09,2.44,
HD53975,77.0,186.0,SimonDiaz2017,O7.5 Vz,4.55,4.0,
HD54764,87.0,123.0,SimonDiaz2017,B1 II,4.3,4.16,
HD54879,10.0,8.0,SimonDiaz2017,O9.7 V,4.52,3.16,
HD55213,12.0,184.0,SimonDiaz2017,B7 III,4.11,2.62,
HD55879,60.0,29.0,SimonDiaz2017,O9.7 III,4.51,3.71,
HD57061,93.0,56.0,SimonDiaz2017,O9 II,4.51,4.01,
HD57236,34.0,29.0,SimonDiaz2017,O8.5 V,4.58,3.51,
HD57539,13.0,171.0,SimonDiaz2017,B5 III,4.13,2.64,
HD57682,38.0,16.0,SimonDiaz2017,O9.2 IV,4.54,3.62,
HD58350,64.0,41.0,SimonDiaz2017,B5 Ia,4.16,4.29,
HD60308,54.0,44.0,SimonDiaz2017,B2 Iab,4.22,4.05,
HD60325,54.0,117.0,SimonDiaz2017,B2 IIIp,4.27,3.42,
HD61068,23.0,11.0,SimonDiaz2017,B2 III,4.39,3.08,
HD61347,78.0,115.0,SimonDiaz2017,O9 Ib,4.49,4.23,
HD62747,29.0,100.0,SimonDiaz2017,B2 II,4.34,3.36,
HD63975,20.0,27.0,SimonDiaz2017,B8 II,4.08,2.81,
HD6675,61.0,35.0,SimonDiaz2017,B0.2 III,4.48,3.68,
HD66834,17.0,176.0,SimonDiaz2017,B3 III,4.24,3.42,
HD67797,43.0,139.0,SimonDiaz2017,B5 IV,,,
HD68099,26.0,56.0,SimonDiaz2017,B6 III,4.12,2.52,
HD69686,42.0,173.0,SimonDiaz2017,B8,4.18,2.31,
HD71518,48.0,45.0,SimonDiaz2017,B2 V,,,
HD71833,20.0,32.0,SimonDiaz2017,B8 II,4.1,2.65,
HD7374,20.0,19.0,SimonDiaz2017,B8 III,4.07,2.06,
HD74604,32.0,166.0,SimonDiaz2017,B7 III,,,
HD77770,8.0,27.0,SimonDiaz2017,B2 IV,4.23,3.08,
HD7902,55.0,35.0,SimonDiaz2017,B6 Ib,4.12,3.93,
HD79931,27.0,67.0,SimonDiaz2017,B9 III,,,
HD829,21.0,12.0,SimonDiaz2017,B2 V,4.23,2.76,
HD886,16.0,8.0,SimonDiaz2017,B2 IV,4.33,2.95,
HD89688,42.0,190.0,SimonDiaz2017,B2.5 IV,,,
HD90994,54.0,77.0,SimonDiaz2017,B6 V,4.14,2.0,
HD91316,70.0,45.0,SimonDiaz2017,B1 Iab,4.37,4.0,
HD9311,55.0,30.0,SimonDiaz2017,B5 Ib,4.12,3.57,
HD97991,9.0,140.0,SimonDiaz2017,B1 V,4.36,2.97,
BD+001617A,8.0,36.0,deBurgos2024,O9.2V,4.52244423350632,3.460718026680018,4.02
BD+001617C,121.0,3.0,deBurgos2024,O9.5IV,4.507855871695831,3.5023645794380625,3.92
BD+353955,67.0,52.0,deBurgos2024,B0.7Iab,4.3979400086720375,4.062701127342887,2.92
BD+453341,91.0,84.0,deBurgos2024,B1II,4.394451680826216,4.108747815959601,2.86
BD+483437,54.0,37.0,deBurgos2024,B1Ib,4.3979400086720375,3.8327011273428875,3.15
BD+552770,59.0,43.0,deBurgos2024,B1.5III,4.437750562820388,3.471943343936289,3.67
BD+56508,51.0,40.0,deBurgos2024,B2.0V,4.401400540781544,3.386543255780912,3.61
BD+56525,63.0,136.0,deBurgos2024,B0.5V,4.350248018334163,3.49193316599139,3.3
BD+56527,58.0,97.0,deBurgos2024,B1.5II,4.357934847000454,3.892680480656553,2.93
BD+56553,34.0,36.0,deBurgos2024,B1IV,4.378397900948138,3.4745326964472887,3.43
BD+56576,30.0,15.0,deBurgos2024,B1III,4.3747483460101035,3.3399344766951518,3.55
BD+56578,49.0,55.0,deBurgos2024,BN2II-III,4.354108439147401,3.5773748492443422,3.23
BD+56640,53.0,176.0,deBurgos2024,B2III:,4.451786435524291,3.4380868347519,3.76
BD+57247,28.0,22.0,deBurgos2024,O9.5IV,4.513217600067939,3.433811492926495,4.01
BD+57252,72.0,25.0,deBurgos2024,B1IV,4.376576957056512,3.4372489208807866,3.46
BD+57520,40.0,25.0,deBurgos2024,B1III,4.414973347970818,3.5208344845380104,3.53
BD+59387,93.0,64.0,deBurgos2024,B2.5IIN-weak,4.3222192947339195,3.709818271590415,2.97
BD+59388,38.0,13.0,deBurgos2024,BN2.5III,4.311753861055754,3.457956536877754,3.18
BD+59451,34.0,130.0,deBurgos2024,B1Ib-II,4.4031205211758175,3.9634231773580075,3.04
BD+59461,52.0,26.0,deBurgos2024,B1II,4.372912002970106,3.4525891045351624,3.43
BD+602525,44.0,24.0,deBurgos2024,B0.5III,4.439332693830263,3.708271867975789,3.44
BD+602615,75.0,127.0,deBurgos2024,B0.5Ib(n),4.421603926869831,4.227356800134061,2.85
BD+602631,52.0,126.0,deBurgos2024,B0.5III,4.419955748489758,3.9107640866137694,3.16
BD+602644,36.0,15.0,deBurgos2024,B1III,4.376576957056512,3.377248920880786,3.52
BD+60279,31.0,42.0,deBurgos2024,B2II,4.357934847000454,3.5226804806565535,3.3
BD+60333,50.0,25.0,deBurgos2024,B5Ib,4.17897694729317,3.7668488818274164,2.34
BD+60339,56.0,21.0,deBurgos2024,B6Iabe,4.167317334748176,3.8202104316474395,2.24
BD+60343A,33.0,30.0,deBurgos2024,B6Ia,4.2878017299302265,3.6121480123756426,2.93
BD+60345,64.0,32.0,deBurgos2024,B0II:,4.45484486000851,3.9203205326887782,3.29
BD+60351,38.0,16.0,deBurgos2024,B6Iab,4.232996110392154,3.5929255342233533,2.73
BD+60369,64.0,94.0,deBurgos2024,B2II,4.324282455297693,3.6880709138455092,3.0
BD+60493,106.0,57.0,deBurgos2024,B0.5Ia,4.416640507338281,4.207503122007861,2.85
BD+60499,30.0,25.0,deBurgos2024,O9.5V,4.513217600067939,3.673811492926495,3.77
BD+6073,62.0,140.0,deBurgos2024,B1Ib,4.392696953259666,4.0417289056934,2.92
BD+61175,51.0,13.0,deBurgos2024,B3II,4.238046103128795,3.6931255051699177,2.65
BD+612509,103.0,49.0,deBurgos2024,B0.5Ib,4.451786435524291,3.9480868347518996,3.25
BD+612526,56.0,11.0,deBurgos2024,B1.5II,4.365487984890899,3.542893032218335,3.31
BD+612529,83.0,45.0,deBurgos2024,B1Ib,4.371067862271736,4.04521254174168,2.83
BD+622296A,67.0,38.0,deBurgos2024,B2.5Iae,4.238046103128795,4.2431255051699175,2.1
BD+6312,43.0,59.0,deBurgos2024,O9Ib,4.503790683057181,3.9561038248834612,3.45
BD+631962,25.0,6.0,deBurgos2024,B0.7IV,4.439332693830263,3.2582718679757887,3.89
BD+631964,100.0,61.0,deBurgos2024,B0Iab,4.423245873936808,4.223924588401969,2.86
BD+6370,66.0,62.0,deBurgos2024,B0Ib,4.432969290874405,4.0428182561523585,3.08
BD+6389,55.0,80.0,deBurgos2024,B1Ib,4.4048337166199385,3.9202759591344916,3.09
BD+6476,74.0,128.0,deBurgos2024,B1Ib,4.367355921026019,3.8703647767588127,2.99
BD-124970,87.0,63.0,deBurgos2024,B0.5Ia,4.390935107103379,4.164681521068254,2.79
BD-134930,27.0,11.0,deBurgos2024,O9.7V,4.509202522331103,3.457751181979149,3.97
BD-175190,39.0,57.0,deBurgos2024,B1Ia,4.389166084364533,3.9076054301128678,3.04
CD-324967,49.0,35.0,deBurgos2024,B2.5Iab,4.247973266361806,4.192834158101963,2.19
CD-573344,52.0,23.0,deBurgos2024,B1III,4.390935107103379,3.5046815210682545,3.45
CD-573348B,32.0,55.0,deBurgos2024,B2.5V,4.416640507338281,3.41750312200786,3.64
CPD-546791,40.0,33.0,deBurgos2024,O9.5V,4.528916700277655,3.5266078937653575,3.98
CPD-573507,75.0,63.0,deBurgos2024,B0Iab,4.4281347940287885,4.263480268769891,2.84
CPD-573517,12.0,179.0,deBurgos2024,B1V,4.382017042574868,3.4690092629542106,3.45
HD100943,42.0,44.0,deBurgos2024,B1Iab/b,4.193124598354461,4.083439486072582,2.08
HD101545A,71.0,57.0,deBurgos2024,O9.2II,4.506505032404872,4.1969612222742265,3.22
HD101545B,80.0,52.0,deBurgos2024,B0.5Iab,4.429752280002408,4.089950212664368,3.02
HD102997,58.0,46.0,deBurgos2024,B5Ia,4.20682587603185,4.238244596782137,1.98
HD103338,37.0,34.0,deBurgos2024,B3Ib,4.243038048686294,3.683093287399915,2.68
HD103779,76.0,49.0,deBurgos2024,B0/1II,4.421603926869831,4.057356800134061,3.02
HD106343,65.0,50.0,deBurgos2024,B1.5Ia,4.3560258571931225,4.035044521427228,2.78
HD108002,71.0,44.0,deBurgos2024,B2Ia/ab,4.344392273685111,4.068510187395181,2.7
HD108639,71.0,117.0,deBurgos2024,B1III,4.444044795918076,3.9771202763270423,3.19
HD10898,50.0,40.0,deBurgos2024,B2.5Ib,4.271841606536499,3.9183075188007312,2.56
HD109867,82.0,47.0,deBurgos2024,B0.5/1Iab,4.378397900948138,4.104532696447289,2.8
HD111123,51.0,37.0,deBurgos2024,B1IV,4.4281347940287885,3.4734802687698916,3.63
HD111822,46.0,149.0,deBurgos2024,B0.5/1Ib,4.459392487759231,3.9085110436916595,3.32
HD111973,63.0,31.0,deBurgos2024,B5I,4.2455126678141495,3.862991763911335,2.51
HD111990,51.0,39.0,deBurgos2024,B1.5I+,4.269512944217916,3.9289928695264016,2.54
HD112481,44.0,19.0,deBurgos2024,B2II/III,4.394451680826216,3.6287478159596014,3.34
HD113904B,92.0,87.0,deBurgos2024,O9III,4.511883360978874,4.038474536570235,3.4
HD115842,73.0,66.0,deBurgos2024,B0.5Ia/ab,4.3979400086720375,4.2927011273428874,2.69
HD116084,51.0,49.0,deBurgos2024,B2Ib,4.2878017299302265,4.072148012375643,2.47
HD117024,48.0,58.0,deBurgos2024,B2Ib,4.342422680822207,3.7506318159435637,3.01
HD11744,48.0,22.0,deBurgos2024,B2III,4.247973266361806,3.2328341581019626,3.15
HD117460,36.0,98.0,deBurgos2024,B0/1(III),4.307496037913213,3.560925244307587,3.06
HD118198,68.0,36.0,deBurgos2024,O9.7III,4.481442628502305,3.9767116066639567,3.34
HD119159,53.0,146.0,deBurgos2024,B1/2II,4.4031205211758175,3.7734231773580076,3.23
HD119646,54.0,41.0,deBurgos2024,B1Ib/II,4.320146286111054,3.951526237098954,2.72
HD120680,38.0,150.0,deBurgos2024,B2II,4.252853030979893,3.4523532165743105,2.95
HD121228,69.0,69.0,deBurgos2024,B1Ib,4.371067862271736,3.94521254174168,2.93
HD122879,101.0,72.0,deBurgos2024,B0Ia,4.437750562820388,4.171943343936289,2.97
HD123008,85.0,82.0,deBurgos2024,ON9.2Iab,4.495544337546448,4.183118442840531,3.19
HD12509,55.0,35.0,deBurgos2024,B1III,4.376576957056512,3.7272489208807866,3.17
HD125545,78.0,72.0,deBurgos2024,B1Iab/b,4.352182518111363,4.099671165100188,2.7
HD12567,65.0,162.0,deBurgos2024,B0.5III,4.413299764081252,3.844140148979745,3.2
HD12740,85.0,66.0,deBurgos2024,B1.5II,4.361727836017593,3.6978524367251095,3.14
HD129056,27.0,10.0,deBurgos2024,B1.5III,4.365487984890899,3.352893032218335,3.5
HD13036,79.0,51.0,deBurgos2024,B0.2III,4.440909082065217,3.8945774209156068,3.26
HD134959,49.0,46.0,deBurgos2024,B2Ia,4.27415784926368,4.237572489709455,2.25
HD13621,55.0,155.0,deBurgos2024,B1V,4.4281347940287885,3.6334802687698913,3.47
HD13659,55.0,32.0,deBurgos2024,B1Ib,4.385606273598312,3.893366187047986,3.04
HD13969,81.0,36.0,deBurgos2024,B0.7III,4.4031205211758175,3.7134231773580075,3.29
HD14014,79.0,36.0,deBurgos2024,B0.5V,4.419955748489758,3.4407640866137696,3.63
HD14053,47.0,23.0,deBurgos2024,B0.7II,4.399673721481038,3.689635978578891,3.3
HD141318,45.0,33.0,deBurgos2024,B2III,4.344392273685111,3.3985101873951815,3.37
HD14162,77.0,157.0,deBurgos2024,B0.5V,4.389166084364533,3.547605430112868,3.4
HD142758,62.0,54.0,deBurgos2024,B1Ia,4.334453751150931,3.99875609725846,2.73
HD14520,54.0,88.0,deBurgos2024,B1.5II,4.361727836017593,3.5278524367251096,3.31
HD145794,12.0,164.0,deBurgos2024,B2II/III,4.3692158574101425,3.397804522295307,3.47
HD14661,59.0,38.0,deBurgos2024,B1.5I,4.390935107103379,3.654681521068255,3.3
HD14818,64.0,45.0,deBurgos2024,B2Ia,4.307496037913213,4.100925244307588,2.52
HD148379,58.0,39.0,deBurgos2024,B2Iab,4.267171728403014,4.269628006266792,2.19
HD148546,107.0,117.0,deBurgos2024,O9Iab,4.488550716500444,4.2651439586565125,3.08
HD148688,66.0,55.0,deBurgos2024,B1Iaeqp,4.354108439147401,4.187374849244342,2.62
HD14870,74.0,123.0,deBurgos2024,B1III,4.396199347095736,3.3557384810376827,3.62
HD148878,70.0,44.0,deBurgos2024,B1/2Ia,4.301029995663981,4.145061075310663,2.45
HD149038,79.0,69.0,deBurgos2024,O9.7Iab,4.451786435524291,4.1980868347519,3.0
HD149363,62.0,88.0,deBurgos2024,B1/2Ib,4.4361626470407565,3.875591680817763,3.26
HD149881,63.0,92.0,deBurgos2024,B0.5III,4.413299764081252,3.894140148979745,3.15
HD150041,60.0,30.0,deBurgos2024,B1/2Ib,4.474216264076255,3.8978061489597584,3.39
HD150168,86.0,114.0,deBurgos2024,B1Iab/Ib,4.3979400086720375,4.0427011273428874,2.94
HD150898,73.0,99.0,deBurgos2024,B0Ia/ab,4.437750562820388,4.121943343936289,3.02
HD151018,125.0,58.0,deBurgos2024,O9Ib,4.4996870826184034,4.249689423128351,3.14
HD152003,78.0,74.0,deBurgos2024,O9.7IabNwk,4.460897842756548,4.2045324636809305,3.03
HD152076,39.0,18.0,deBurgos2024,B0/1III,4.478566495593843,3.71520707503011,3.59
HD152147,100.0,73.0,deBurgos2024,O9.7IbNwk,4.457881896733992,4.212468679590707,3.01
HD152234,88.0,54.0,deBurgos2024,B0.5Ia,4.416640507338281,4.247503122007861,2.81
HD152235,75.0,55.0,deBurgos2024,B0.5Ia,4.380211241711606,4.181786059501163,2.73
HD152247,130.0,95.0,deBurgos2024,O9.2III,4.495544337546448,4.143118442840531,3.23
HD152249,89.0,76.0,deBurgos2024,OC9Iab,4.509202522331103,4.267751181979149,3.16
HD152405,89.0,48.0,deBurgos2024,O9.7II,4.472756449317212,4.131966889923587,3.15
HD152685,34.0,14.0,deBurgos2024,B1.5III,4.359835482339888,3.420283022014291,3.41
HD15325,71.0,89.0,deBurgos2024,B1IV,4.371067862271736,3.5752125417416805,3.3
HD154090,74.0,58.0,deBurgos2024,B2Iab,4.3692158574101425,4.107804522295307,2.76
HD154368,75.0,65.0,deBurgos2024,O9.5Iab,4.498310553789601,4.22418330781314,3.16
HD154385,61.0,23.0,deBurgos2024,B1Ib,4.414973347970818,3.7308344845380104,3.32
HD154643,88.0,111.0,deBurgos2024,O9.7III,4.47567118832443,3.9536258459524576,3.34
HD154811,78.0,121.0,deBurgos2024,OC9.7Ib,4.44870631990508,4.2557663722750565,2.93
HD155450,77.0,84.0,deBurgos2024,B1Ib,4.372912002970106,3.852589104535163,3.03
HD15571,60.0,49.0,deBurgos2024,B1Ib,4.392696953259666,3.9617289056934006,3.0
HD155756,100.0,70.0,deBurgos2024,O9Ibp,4.496929648073215,4.278659684947598,3.1
HD155985,69.0,41.0,deBurgos2024,B0.5Ib,4.399673721481038,3.9996359785788904,2.99
HD156134,86.0,67.0,deBurgos2024,B0Ib,4.453318340047038,4.154214452842889,3.05
HD156212,73.0,80.0,deBurgos2024,B0Iab,4.456366033129043,4.226405225170907,2.99
HD156779,39.0,97.0,deBurgos2024,B2II,4.2576785748691846,3.451655392131475,2.97
HD15690,50.0,46.0,deBurgos2024,B2Iab-Ib,4.296665190261531,3.997601853700861,2.58
HD157038,57.0,39.0,deBurgos2024,B3Iap,4.225309281725863,4.372178219558191,1.92
HD15785,72.0,59.0,deBurgos2024,B1Iab,4.382017042574868,4.1190092629542105,2.8
HD158243,77.0,49.0,deBurgos2024,B1Ib,4.326335860928752,4.016284536369744,2.68
HD158661,96.0,60.0,deBurgos2024,B0II,4.429752280002408,4.129950212664368,2.98
HD159090,70.0,28.0,deBurgos2024,B0.5Ia/ab,4.466867620354109,3.948411574071174,3.31
HD159864,98.0,88.0,deBurgos2024,B1Ib,4.4361626470407565,4.005591680817763,3.13
HD160430,46.0,20.0,deBurgos2024,B2II,4.357934847000454,3.5226804806565535,3.3
HD160575,51.0,29.0,deBurgos2024,B1/2II,4.3692158574101425,3.747804522295307,3.12
HD161789,20.0,28.0,deBurgos2024,B2/3II,4.513217600067939,3.3038114929264952,4.14
HD161961,59.0,38.0,deBurgos2024,B0/1Ib,4.421603926869831,3.947356800134061,3.13
HD16243,54.0,24.0,deBurgos2024,B2II:,4.230448921378274,3.912736778167834,2.4
HD16310,58.0,57.0,deBurgos2024,B1II:,4.3747483460101035,4.009934476695151,2.88
HD163522,83.0,57.0,deBurgos2024,B1Ia,4.383815365980431,4.066202556576462,2.86
HD163613,78.0,71.0,deBurgos2024,B1I/II,4.38738982633873,4.080500398009656,2.86
HD164018,38.0,142.0,deBurgos2024,B1/2Ib,4.468347330412158,3.704330414303368,3.56
HD164019,46.0,78.0,deBurgos2024,O9.5IVp,4.491361693834273,4.0563878679918295,3.3
HD164032,50.0,108.0,deBurgos2024,B1/2Ib,4.367355921026019,3.930364776758813,2.93
HD164188,70.0,85.0,deBurgos2024,B0.5V,4.424881636631067,3.4204676391790056,3.67
HD164359,35.0,77.0,deBurgos2024,B1II,4.478566495593843,3.45520707503011,3.85
HD164402,86.0,54.0,deBurgos2024,B0Ib,4.460897842756548,4.00453246368093,3.23
HD164637,72.0,35.0,deBurgos2024,B0Ib/II,4.465382851448418,3.902472498448411,3.35
HD164741,32.0,20.0,deBurgos2024,B1III,4.399673721481038,3.3796359785788908,3.61
HD164971,76.0,43.0,deBurgos2024,B0Ia,4.439332693830263,4.038271867975789,3.11
HD165016,21.0,19.0,deBurgos2024,B0V,4.481442628502305,3.4167116066639567,3.9
HD165024,70.0,94.0,deBurgos2024,B2Ib,4.352182518111363,3.809671165100188,2.99
HD165049,40.0,17.0,deBurgos2024,B2Ib/II,4.354108439147401,3.4273748492443423,3.38
HD165132,20.0,127.0,deBurgos2024,O9.7V,4.511883360978874,3.4184745365702356,4.02
HD165319,91.0,92.0,deBurgos2024,O9.7Ib,4.457881896733992,4.282468679590707,2.94
HD165516,67.0,47.0,deBurgos2024,B1/2Ib,4.413299764081252,3.9641401489797445,3.08
HD165812,34.0,42.0,deBurgos2024,B1/2II,4.399673721481038,3.2496359785788904,3.74
HD165892,42.0,74.0,deBurgos2024,B2II,4.334453751150931,3.33875609725846,3.39
HD166286,123.0,76.0,deBurgos2024,B1II,4.426511261364575,3.6569861381130373,3.44
HD166287,56.0,112.0,deBurgos2024,B1Ib,4.392696953259666,3.7017289056934004,3.26
HD166539,43.0,32.0,deBurgos2024,B1/2Ib,4.514547752660286,3.549132103295883,3.9
HD166540,64.0,27.0,deBurgos2024,B1Ib,4.447158031342219,3.749573218023615,3.43
HD166569,70.0,27.0,deBurgos2024,B1II,4.380211241711606,3.851786059501163,3.06
HD166628,40.0,37.0,deBurgos2024,B3Ia/ab,4.222716471147583,4.0618069772450704,2.22
HD166689,57.0,36.0,deBurgos2024,B1Ib,4.3979400086720375,3.7327011273428874,3.25
HD166787,75.0,92.0,deBurgos2024,B0.5Ia,4.4065401804339555,4.087101814390559,2.93
HD166803,76.0,68.0,deBurgos2024,B0.5IV,4.468347330412158,3.334330414303368,3.93
HD166852,130.0,45.0,deBurgos2024,B0Ia/ab,4.505149978319906,3.9615410059343623,3.45
HD166922,28.0,87.0,deBurgos2024,B2II,4.318063334962762,3.403194432505785,3.26
HD166965,51.0,47.0,deBurgos2024,B1.5II-III,4.338456493604605,3.424767067073158,3.32
HD167224,46.0,153.0,deBurgos2024,B3Ib/II,4.269512944217916,3.5389928695264015,2.93
HD167287,85.0,41.0,deBurgos2024,B1Iab,4.421603926869831,3.927356800134061,3.15
HD167311,75.0,53.0,deBurgos2024,B0Ib,4.392696953259666,4.0017289056934,2.96
HD167330,68.0,101.0,deBurgos2024,O9.5/B0Ia,4.491361693834273,4.116387867991829,3.24
HD167336,94.0,80.0,deBurgos2024,B0II,4.429752280002408,4.139950212664368,2.97
HD167411,65.0,127.0,deBurgos2024,O9.7II,4.445604203273597,4.183357905749126,2.99
HD167451,63.0,61.0,deBurgos2024,B1Ib,4.414973347970818,3.9408344845380103,3.11
HD167479,65.0,30.0,deBurgos2024,B2.5III,4.2878017299302265,3.232148012375643,3.31
HD167543,42.0,34.0,deBurgos2024,B1Ib/II,4.418301291319746,3.5341462579337204,3.53
HD16779,80.0,41.0,deBurgos2024,B1.5IbN-weak,4.3560258571931225,3.9650445214272274,2.85
HD168021,95.0,45.0,deBurgos2024,B0Ia,4.4361626470407565,4.115591680817763,3.02
HD16808,73.0,78.0,deBurgos2024,B0.2Ib,4.419955748489758,4.110764086613769,2.96
HD168080,67.0,145.0,deBurgos2024,B1Ib/II,4.357934847000454,3.7626804806565533,3.06
HD168183,64.0,126.0,deBurgos2024,O9.5III,4.494154594018442,3.787559468728507,3.58
HD16832,60.0,57.0,deBurgos2024,O9.2III,4.489958479424835,4.030775010354076,3.32
HD168489,61.0,28.0,deBurgos2024,B1Ib,4.437750562820388,3.801943343936289,3.34
HD168552,47.0,32.0,deBurgos2024,B2/3Ib/II,4.324282455297693,3.548070913845509,3.14
HD168571,33.0,124.0,deBurgos2024,B1Iab/b,4.363611979892144,3.905389012223313,2.94
HD168750,50.0,33.0,deBurgos2024,B1Ib,4.408239965311849,3.7639009539021338,3.26
HD168917,3.0,67.0,deBurgos2024,B0/0.5II/III,4.510545010206612,3.4331211334811855,4.0
HD168941,91.0,107.0,deBurgos2024,O9.5IVp,4.480006942957151,4.090968864483341,3.22
HD168987,63.0,48.0,deBurgos2024,B1Ia/ab,4.311753861055754,3.9879565368777543,2.65
HD169034,41.0,39.0,deBurgos2024,B2Ia,4.201397124320452,4.316529589936544,1.88
HD169227,65.0,50.0,deBurgos2024,B1.5Ia,4.336459733848529,4.086780028048854,2.65
HD169673,64.0,46.0,deBurgos2024,B1Ib,4.424881636631067,3.7004676391790055,3.39
HD169754,59.0,56.0,deBurgos2024,B0.5Ia,4.423245873936808,4.123924588401969,2.96
HD170604,54.0,25.0,deBurgos2024,B1Ib,4.4281347940287885,3.6734802687698913,3.43
HD170938,75.0,57.0,deBurgos2024,B1Ia,4.367355921026019,4.1103647767588125,2.75
HD171012,104.0,66.0,deBurgos2024,B0.2Ia,4.413299764081252,4.234140148979745,2.81
HD171201,73.0,116.0,deBurgos2024,B0Ia,4.495544337546448,4.193118442840531,3.18
HD171432,70.0,41.0,deBurgos2024,B0.5Ib,4.399673721481038,3.959635978578891,3.03
HD171876,80.0,46.0,deBurgos2024,B2II,4.271841606536499,3.2683075188007313,3.21
HD172488,59.0,106.0,deBurgos2024,B0Iab/b,4.3692158574101425,3.827804522295307,3.04
HD172510,34.0,23.0,deBurgos2024,B2Ib,4.3404441148401185,3.3627175520152113,3.39
HD173438,98.0,47.0,deBurgos2024,B0/1Iab,4.409933123331294,4.130673585979914,2.9
HD173502,22.0,131.0,deBurgos2024,B0.5III,4.424881636631067,3.4504676391790055,3.64
HD173987,65.0,74.0,deBurgos2024,B0.5Ia,4.418301291319746,4.16414625793372,2.9
HD177812,73.0,47.0,deBurgos2024,B1/2Ib,4.359835482339888,3.990283022014291,2.84
HD178129,45.0,37.0,deBurgos2024,B3Ia,4.214843848047698,3.9503164848455294,2.3
HD178597,15.0,4.0,deBurgos2024,B3III,4.330413773349191,3.1425961860515015,3.57
HD18076,121.0,82.0,deBurgos2024,B0II-III,4.453318340047038,3.9442144528428895,3.26
HD181653,45.0,67.0,deBurgos2024,B1II-III,4.376576957056512,3.5872489208807865,3.31
HD18352,51.0,51.0,deBurgos2024,B1V,4.394451680826216,3.3787478159596014,3.59
HD183561,24.0,9.0,deBurgos2024,B2III,4.328379603438738,3.1844595064096897,3.52
HD185780,70.0,87.0,deBurgos2024,B0III,4.45484486000851,3.800320532688778,3.41
HD185859,80.0,49.0,deBurgos2024,B3I+,4.431363764158987,4.056396149290685,3.06
HD186618,11.0,139.0,deBurgos2024,B0V,4.445604203273597,3.633357905749127,3.54
HD186841,90.0,55.0,deBurgos2024,B1Ia,4.414973347970818,4.10083448453801,2.95
HD186994,73.0,144.0,deBurgos2024,B0III,4.466867620354109,3.738411574071174,3.52
HD189779,51.0,66.0,deBurgos2024,B2III,4.318063334962762,3.2931944325057847,3.37
HD190066,84.0,60.0,deBurgos2024,B0.7Ib,4.394451680826216,4.098747815959601,2.87
HD190336,30.0,73.0,deBurgos2024,B0.7II-III,4.4031205211758175,3.5234231773580076,3.48
HD190427,59.0,25.0,deBurgos2024,B0III,4.489958479424835,3.9007750103540757,3.45
HD190429B,130.0,112.0,deBurgos2024,O9.5II-III,4.491361693834273,4.066387867991829,3.29
HD190991,52.0,47.0,deBurgos2024,B0IVp,4.506505032404872,4.026961222274227,3.39
