key,vmac,vsini,vmac_src,SpType,logTeff_sp,logL_sp,logg_sp
HD167633,111.0,139.0,SimonDiaz2017,O6.5 V((f)),4.58,4.01,
HD167659,98.0,59.0,SimonDiaz2017,O7 II-III(f),4.57,4.07,
HD167838,45.0,40.0,SimonDiaz2017,B5 Ia,4.18,3.82,
HD168075,94.0,81.0,SimonDiaz2017,O7 V(n)((f))z,4.57,3.84,
HD169454,68.0,54.0,SimonDiaz2017,B1 Ia,4.26,4.24,
HD170740,19.0,42.0,SimonDiaz2017,B2 IV-V,4.28,2.75,
HD17081,24.0,18.0,SimonDiaz2017,B7 V,4.12,2.4,
HD171301,23.0,33.0,SimonDiaz2017,B8 IV,4.07,2.08,
HD171589,94.0,93.0,SimonDiaz2017,O7.5 II(f),4.56,4.1,
HD172028,16.0,91.0,SimonDiaz2017,B2 V,4.36,2.81,
HD173936,25.0,120.0,SimonDiaz2017,B7 III,4.08,1.99,
HD174298,16.0,31.0,SimonDiaz2017,B1.5 IV,4.37,2.87,
HD175156,22.0,22.0,SimonDiaz2017,B5 II,4.15,3.24,
HD175191,129.0,142.0,SimonDiaz2017,B2.5 V,,,
HD175426,58.0,77.0,SimonDiaz2017,B2.5 V,4.24,2.63,
HD175754,97.0,193.0,SimonDiaz2017,O8 II(n)((f))p,4.48,4.42,
HD17603,115.0,109.0,SimonDiaz2017,O7.5 Ib(f),4.53,4.21,
HD176162,24.0,18.0,SimonDiaz2017,B5 IV,4.15,2.39,
HD176437,19.0,71.0,SimonDiaz2017,B9 III,,,
HD176502,18.0,13.0,SimonDiaz2017,B4 IV,4.26,2.64,
HD176853,45.0,153.0,SimonDiaz2017,B2 V,4.22,2.5,
HD177003,18.0,17.0,SimonDiaz2017,B2.5 IV,4.26,2.51,
HD17743,22.0,48.0,SimonDiaz2017,B8 III,4.13,2.21,
HD178065,4.0,17.0,SimonDiaz2017,B9 II,4.08,2.29,
HD178125,64.0,70.0,SimonDiaz2017,B8 III,4.13,1.93,
HD178849,22.0,40.0,SimonDiaz2017,B3 V,4.22,2.55,
HD179406,38.0,192.0,SimonDiaz2017,B3 V,4.19,2.94,
HD179761,21.0,19.0,SimonDiaz2017,B8 II-III,4.07,2.36,
HD180163,34.0,21.0,SimonDiaz2017,B2.5 IV,4.22,3.15,
HD181440,24.0,57.0,SimonDiaz2017,B9 III,,,
HD182255,25.0,30.0,SimonDiaz2017,B6 III,4.12,2.01,
HD183143,55.0,37.0,SimonDiaz2017,B7 Ia,4.16,4.22,
HD183227,35.0,53.0,SimonDiaz2017,B7 III,4.11,2.6,
HD183986,36.0,28.0,SimonDiaz2017,B9.5 III,,,
HD18409,88.0,131.0,SimonDiaz2017,O9.7 Ib,4.51,3.99,
HD184930,32.0,63.0,SimonDiaz2017,B5 III,4.13,2.34,
HD185418,10.0,132.0,SimonDiaz2017,B0.5 V,4.39,3.13,
HD185423,32.0,154.0,SimonDiaz2017,B3 III,4.22,3.26,
HD185872,26.0,32.0,SimonDiaz2017,B9 III,,,
HD18604,50.0,131.0,SimonDiaz2017,B6 III,4.11,2.44,
HD186568,22.0,20.0,SimonDiaz2017,B5 III,4.08,2.29,
HD186882,45.0,155.0,SimonDiaz2017,B9.5 III,,,
HD186980,78.0,51.0,SimonDiaz2017,O7.5 III((f)),4.56,4.11,
HD187459,76.0,150.0,SimonDiaz2017,B0.5 II,4.42,3.93,
HD187879,66.0,100.0,SimonDiaz2017,B1 III,4.3,3.58,
HD188001,91.0,82.0,SimonDiaz2017,O7.5 Iabf,4.52,4.19,
HD188209,76.0,52.0,SimonDiaz2017,O9.5 Iab,4.52,4.09,
HD188252,46.0,94.0,SimonDiaz2017,B2 III,4.32,3.26,
HD188260,32.0,56.0,SimonDiaz2017,B9.5 III,,,
HD188665,20.0,107.0,SimonDiaz2017,B5 V,4.13,2.25,
HD189090,33.0,58.0,SimonDiaz2017,B9 III,,,
HD189775,16.0,61.0,SimonDiaz2017,B5 III,4.12,2.67,
HD189957,73.0,90.0,SimonDiaz2017,O9.7 III,4.49,3.86,
HD190603,67.0,47.0,SimonDiaz2017,B1.5 Ia +,4.33,4.08,
HD190864,82.0,55.0,SimonDiaz2017,O6.5 III(f),4.58,4.11,
HD190919,77.0,48.0,SimonDiaz2017,B0.7 Ib,4.39,4.12,
HD191139,59.0,41.0,SimonDiaz2017,B0.5 III,4.42,3.94,
HD191243,40.0,27.0,SimonDiaz2017,B5 Ib,4.16,3.58,
HD191612,69.0,45.0,SimonDiaz2017,O8 f?p var,,,
HD191746,20.0,78.0,SimonDiaz2017,B2 IV,4.25,3.1,
HD191877,95.0,171.0,SimonDiaz2017,B1 Ib,4.33,3.82,
HD191978,81.0,62.0,SimonDiaz2017,O8 Vz,4.55,3.87,
HD192001,69.0,41.0,SimonDiaz2017,O9.5 IV,4.52,3.56,
HD192276,24.0,19.0,SimonDiaz2017,B8 III,4.11,2.01,
HD192422,87.0,49.0,SimonDiaz2017,B0.5 Ib,4.45,4.23,
HD192639,96.0,104.0,SimonDiaz2017,O7.5 Iabf,4.54,4.21,
HD192907,25.0,25.0,SimonDiaz2017,B9 III,,,
HD193183,64.0,51.0,SimonDiaz2017,B1.5 Ib,4.31,3.93,
