star,sample,galaxy,Z_proxy,logTeff,logg,logL_spec,logL_class,vsini,vmac,nuchar,alpha0,gamma,Cw,alpha0_kind,SpType,mass,tau,n_sect,ref,key,log_nuchar,log_alpha0,logL_use,dup_B2020_Shen
Sk -69 31,Ma2024_LMC_BSG,LMC,0.006,,,,,,,0.236,1021.72,4.1,47.7,amplitude_ppm,BSG,,,,prior,SK-6931,-0.6270879970298935,3.0093318947068677,,False
Sk -67 275,Ma2024_LMC_BSG,LMC,0.006,4.174931593528442,,,4.765,63.5,,0.195,889.66,2.2,1.6,amplitude_ppm,BSG,,,,prior,SK-67275,-0.7099653886374819,2.9492240646946035,4.765,False
Sk -66 142,Ma2024_LMC_BSG,LMC,0.006,,,,,,,0.277,953.07,3.0,17.2,amplitude_ppm,BSG,,,,prior,SK-66142,-0.5575202309355514,2.979124799376302,,False
HD 269639,Ma2024_LMC_BSG,LMC,0.006,4.041392685158225,,,4.674,26.5,,0.224,672.25,3.8,36.2,amplitude_ppm,BSG,,,,prior,HD269639,-0.6497519816658371,2.827530810895339,4.674,False
Sk -67 7,Ma2024_LMC_BSG,LMC,0.006,,,,,,,0.344,208.45,2.7,9.0,amplitude_ppm,BSG,,,,prior,SK-677,-0.46344155742846993,2.3190018994623163,,False
Sk -67 279,Ma2024_LMC_BSG,LMC,0.006,,,,,,,0.315,524.19,3.0,20.9,amplitude_ppm,BSG,,,,prior,SK-67279,-0.5016894462103995,2.7194887316311003,,False
Sk -70 31,Ma2024_LMC_BSG,LMC,0.006,4.0813473078041325,,,4.421,33.0,,0.321,472.39,3.2,14.3,amplitude_ppm,BSG,,,,prior,SK-7031,-0.4934949675951279,2.6743006954808792,4.421,False
Sk -68 152,Ma2024_LMC_BSG,LMC,0.006,4.041392685158225,,,4.191,34.0,,0.298,358.37,5.1,22.5,amplitude_ppm,BSG,,,,prior,SK-68152,-0.5257837359237448,2.5543316466938286,4.191,False
Sk -67 88,Ma2024_LMC_BSG,LMC,0.006,,,,,,,0.292,749.95,4.3,35.6,amplitude_ppm,BSG,,,,prior,SK-6788,-0.5346171485515817,2.875032309461098,,False
HD 269721,Ma2024_LMC_BSG,LMC,0.006,4.044539760392411,,,4.66,40.0,,0.2,896.16,3.9,43.3,amplitude_ppm,BSG,,,,prior,HD269721,-0.6989700043360187,2.9523855553246654,4.66,False
HD 269510,Ma2024_LMC_BSG,LMC,0.006,4.041392685158225,,,4.809,39.0,,0.117,331.78,2.5,16.0,amplitude_ppm,BSG,,,,prior,HD269510,-0.9318141382538383,2.5208502028112187,4.809,False
Sk -66 92,Ma2024_LMC_BSG,LMC,0.006,,,,,,,0.277,1143.31,3.4,30.0,amplitude_ppm,BSG,,,,prior,SK-6692,-0.5575202309355514,3.0581640020799745,,False
Sk -67 151,Ma2024_LMC_BSG,LMC,0.006,,,,,,,0.298,299.23,4.8,25.2,amplitude_ppm,BSG,,,,prior,SK-67151,-0.5257837359237448,2.476005132579179,,False
Sk -70 26,Ma2024_LMC_BSG,LMC,0.006,4.0655797147284485,,,4.387,39.5,,0.325,375.17,3.1,15.8,amplitude_ppm,BSG,,,,prior,SK-7026,-0.4881166390211256,2.57422810328016,4.387,False
Sk -67 171,Ma2024_LMC_BSG,LMC,0.006,,,,,,,0.345,662.57,4.4,35.0,amplitude_ppm,BSG,,,,prior,SK-67171,-0.4621809049267259,2.821231767903602,,False
Sk -67 133,Ma2024_LMC_BSG,LMC,0.006,4.220892249219519,,,5.162,53.5,,0.271,1004.97,2.7,9.4,amplitude_ppm,BSG,,,,prior,SK-67133,-0.5670307091255943,3.002153097548626,5.162,False
Sk -67 72,Ma2024_LMC_BSG,LMC,0.006,4.096214585346405,,,4.836,46.5,,0.301,721.37,3.4,21.8,amplitude_ppm,BSG,,,,prior,SK-6772,-0.5214335044061567,2.8581580771210024,4.836,False
HD 46150,Bowman2019_CoRoT,MW,0.014,4.623249290397901,4.0,3.8839382542463405,,100.0,94.0,2.0839762943999998,49205.559,1.877721,7.073,PSD_ppm2_uHz,O5 V((f))z,,,,prior,HD46150,0.3188927744788184,4.692014169975596,3.8839382542463405,False
HD 46223,Bowman2019_CoRoT,MW,0.014,4.633468455579586,4.0,3.924814914973082,,100.0,91.0,1.5329497536,160242.358,1.8082826,22.921,PSD_ppm2_uHz,O4 V((f)),,,,prior,HD46223,0.18552791996077864,5.204777327067182,3.924814914973082,False
HD 46966,Bowman2019_CoRoT,MW,0.014,4.544068044350276,3.8,3.76721327005584,,50.0,66.0,2.5982902656,18249.642,2.1927641,12.602,PSD_ppm2_uHz,O8.5 IV,,,,prior,HD46966,0.4146876662546088,4.261254349398,3.76721327005584,False
HD 45418,Bowman2019_CoRoT,MW,0.014,4.224014811372864,4.2,2.087000338146195,,237.0,,2.6445148704,3203.51,4.8896087,5.59,PSD_ppm2_uHz,B5 V,,,,prior,HD45418,0.42234601344783984,3.5056260840132363,2.087000338146195,False
HD 45517,Bowman2019_CoRoT,MW,0.014,4.0,,,,,,0.8821126368000001,327.068,4.0164748,8.393,PSD_ppm2_uHz,A0 V,,,,prior,HD45517,-0.05447595634501649,2.5146380552737018,,False
HD 45546,Bowman2019_CoRoT,MW,0.014,4.278753600952829,4.0,2.505955496466053,,61.0,,2.0871997056,34626.797,3.2662493,9.865,PSD_ppm2_uHz,B2 V,,,,prior,HD45546,0.31956400483483177,4.539412320900896,2.505955496466053,False
HD 46149,Bowman2019_CoRoT,MW,0.014,4.556302500767287,3.7,3.9161510957238845,,30.0,60.0,1.1703334464,4994.164,6.5129408,8.27,PSD_ppm2_uHz,O8 V,,,,prior,HD46149,0.06830961670315988,3.698462799754531,3.9161510957238845,False
HD 46179,Bowman2019_CoRoT,MW,0.014,4.041392685158225,4.0,1.5565118332876386,,152.0,,1.3099345056,21.717,2.2933918,1.987,PSD_ppm2_uHz,B9 V,,,,prior,HD46179,0.11724958224540176,1.3367998313481106,1.5565118332876386,False
HD 46202,Bowman2019_CoRoT,MW,0.014,4.525044807036846,4.2,3.2911203208021194,,15.0,34.0,2.752230096,537.336,3.0236231,7.858,PSD_ppm2_uHz,O9.2 V,,,,prior,HD46202,0.4396847396091743,2.730245938051664,3.2911203208021194,False
HD 46769,Bowman2019_CoRoT,MW,0.014,4.113943352306837,2.7,3.146714501882085,,72.0,23.0,2.0227148064,35.278,2.1318523,0.908,PSD_ppm2_uHz,B5 II,,,,prior,HD46769,0.3059346535379564,1.547503955893325,3.146714501882085,False
HD 48784,Bowman2019_CoRoT,MW,0.014,3.838849090737255,3.5,1.246337455603758,,110.0,,2.593795824,2299.504,4.0222079,3.192,PSD_ppm2_uHz,F0 V,,,,prior,HD48784,0.41393578670563047,3.3616341693683807,1.246337455603758,False
HD 49677,Bowman2019_CoRoT,MW,0.014,3.963787827345555,4.0,1.2460924020369577,,10.0,,0.9658590336,246.504,2.2987365,6.888,PSD_ppm2_uHz,B9 V,,,,prior,HD49677,-0.015086253912675145,2.39182397093103,1.2460924020369577,False
HD 50747,Bowman2019_CoRoT,MW,0.014,3.8976270912904414,3.5,1.4814494578165027,,70.0,,3.8310446016,2840.821,3.3346001,1.077,PSD_ppm2_uHz,A4 IV,,,,prior,HD50747,0.5833172081344763,3.453443869709784,1.4814494578165027,False
HD 51332,Bowman2019_CoRoT,MW,0.014,3.8260748027008264,4.1,0.5952403034580434,,,,1.5645839903999998,757.89,1.9357792,3.745,PSD_ppm2_uHz,F0 V,,,,prior,HD51332,0.19439888201603317,2.8796061767934265,0.5952403034580434,False
HD 51756,Bowman2019_CoRoT,MW,0.014,4.477121254719663,3.8,3.499426111533388,,28.0,,2.1228141311999997,6458.932,2.2164263,4.888,PSD_ppm2_uHz,B0.5 IV,,,,prior,HD51756,0.32691196998888916,3.8101607122904437,3.499426111533388,False
HD 52130,Bowman2019_CoRoT,MW,0.014,3.9138138523837167,,,,,,3.7586655072,2320.871,5.3152045,21.266,PSD_ppm2_uHz,A2 III/IV,,,,prior,HD52130,0.5750336785095086,3.3656510019185997,,False
HD 174589,Bowman2019_CoRoT,MW,0.014,3.845098040014257,3.5,1.271333252711765,,97.0,,0.7762934592,1856.345,1.4239502,2.688,PSD_ppm2_uHz,F2 III,,,,prior,HD174589,-0.10997407304734481,3.2686586926114867,1.271333252711765,False
HD 174966,Bowman2019_CoRoT,MW,0.014,3.8750612633917,4.2,0.6911861462215375,,126.0,,2.8641394368,401.056,1.2198259,4.006,PSD_ppm2_uHz,A7 III/IV,,,,prior,HD174966,0.45699415719682734,2.6032050179891493,0.6911861462215375,False
HD 174967,Bowman2019_CoRoT,MW,0.014,4.041392685158225,,,,,,1.3048242047999998,404.584,4.2063454,32.48,PSD_ppm2_uHz,B9.5 V,,,,prior,HD174967,0.11555200437309518,2.6070087038200844,,False
HD 174990,Bowman2019_CoRoT,MW,0.014,3.929418925714293,,,,,,2.0905908192,341.897,5.9565225,17.059,PSD_ppm2_uHz,A3 V,,,,prior,HD174990,0.32026903886594804,2.533895290064913,,False
HD 175272,Bowman2019_CoRoT,MW,0.014,3.8260748027008264,4.1,0.5952403034580434,,23.0,,0.8948955168,884.411,2.0133028,3.792,PSD_ppm2_uHz,F5 V,,,,prior,HD175272,-0.04822766761823946,2.9466541355457445,0.5952403034580434,False
HD 175542,Bowman2019_CoRoT,MW,0.014,3.929418925714293,,,,,,2.7363939264,147.397,2.6875427,17.831,PSD_ppm2_uHz,A1 V,,,,prior,HD175542,0.4371786178094143,2.1684886443323643,,False
HD 175640,Bowman2019_CoRoT,MW,0.014,4.079181246047625,4.0,1.7076660768452376,,5.0,,3.0387414816000002,23.213,2.8834658,1.496,PSD_ppm2_uHz,B9 V HgMn,,,,prior,HD175640,0.4826937544102404,1.3657312714016783,1.7076660768452376,False
HD 263425,Bowman2019_CoRoT,MW,0.014,3.9777236052888476,,,,,,0.2822923872,3155.639,1.2824296,25.1,PSD_ppm2_uHz,A0 V,,,,prior,HD263425,-0.549300833654752,3.499087314792347,,False
HD 47485,Bowman2019_CoRoT,MW,0.014,3.863322860120456,2.9,1.944232533136561,,40.0,,10.8635336352,31438.683,12.2180879,56.38,PSD_ppm2_uHz,A5 IV/V,,,,prior,HD47485,1.0359711133423006,4.497464344688852,1.944232533136561,False
HD 48977,Bowman2019_CoRoT,MW,0.014,4.301029995663981,4.2,2.3950610753106623,,25.0,8.0,2.9636132256,30314.154,3.2625348,7.38,PSD_ppm2_uHz,B2.5 V,,,,prior,HD48977,0.4718215242235741,4.4816454525558616,2.3950610753106623,False
HD 50844,Bowman2019_CoRoT,MW,0.014,3.8692317197309762,3.6,1.267867971578642,,58.0,,22.273957497599998,33248.802,6.638781,57.262,PSD_ppm2_uHz,A2 II,,,,prior,HD50844,1.3477973866198092,4.521776001694387,1.267867971578642,False
HD 50870,Bowman2019_CoRoT,MW,0.014,3.8808135922807914,3.9,1.0141954617779028,,38.0,,30.5961385536,4513.878,10.1627352,28.953,PSD_ppm2_uHz,A8 III,,,,prior,HD50870,1.485666618942884,3.654549816894423,1.0141954617779028,False
HD 51193,Bowman2019_CoRoT,MW,0.014,4.361727836017593,3.6,3.2378524367251096,,220.0,,2.1606264864,554739.578,3.0604732,88.077,PSD_ppm2_uHz,B1.5 IVe,,,,prior,HD51193,0.33457969565887236,5.74408915180606,3.2378524367251096,False
HD 51452,Bowman2019_CoRoT,MW,0.014,4.469822015978163,3.9,3.370229156567391,,320.0,,2.0372287104,880984.219,3.1299536,144.21,PSD_ppm2_uHz,B0I Ve,,,,prior,HD51452,0.3090397880030766,5.944968128999332,3.370229156567391,False
HD 51359,Bowman2019_CoRoT,MW,0.014,3.832508912706236,,,,,,26.197954415999998,2200.012,14.3801743,10.686,PSD_ppm2_uHz,F0 IV,,,,prior,HD51359,1.4182673821393652,3.342425049694738,,False
HD 51722,Bowman2019_CoRoT,MW,0.014,3.845098040014257,,,,,,19.4724126144,8629.083,6.2225653,11.397,PSD_ppm2_uHz,A9 V,,,,prior,HD51722,1.2894197635492244,3.9359646463293725,,False
HD 174532,Bowman2019_CoRoT,MW,0.014,3.8573324964312685,3.6,1.2202710783798112,,32.0,,34.815150431999996,1941.594,13.9727879,9.41,PSD_ppm2_uHz,A2 III/IV,,,,prior,HD174532,1.5417682760489062,3.2881584212498582,1.2202710783798112,False
HD 174936,Bowman2019_CoRoT,MW,0.014,3.9030899869919438,4.1,0.9033010406225127,,170.0,,54.29081566079999,625.629,17.018251,25.638,PSD_ppm2_uHz,A3 IV,,,,prior,HD174936,1.734726366509677,2.7963168715224933,0.9033010406225127,False
HD 175445,Bowman2019_CoRoT,MW,0.014,3.929418925714293,4.0,1.1086167955119086,,,,24.1789837536,280.216,3.6303503,4.03,PSD_ppm2_uHz,hA5mA2V,,,,prior,HD175445,1.3834380434445772,2.447492929355627,1.1086167955119086,False
BD +36 4145,Shen2024_Galactic,MW,0.014,4.553883026643875,3.86,3.75,,,,3.9699999999999998,208.88,1.9849999999999999,9.42,amplitude_umag,O8.5 V (n),25.4,0.58,2.0,Shen2024,BD+364145,0.5987905067631151,2.319896858814888,3.75,False
BD +62 2078,Shen2024_Galactic,MW,0.014,4.587710965018911,4.0,3.74,,38.0,,0.24,283.13,1.11,8.79,amplitude_umag,O7 V ((f))z,29.4,0.43,3.0,Shen2024,BD+622078,-0.619788758288394,2.4519858889489092,3.74,False
CPD -47 2963,Shen2024_Galactic,MW,0.014,4.569373909615046,3.51,4.16,,110.0,110.0,0.9450000000000001,1711.21,1.645,6.96,amplitude_umag,O5 I fc,59.6,0.63,2.0,Shen2024,CPD-472963,-0.024568191490737024,3.2333033095088486,4.16,True
HD 101190,Shen2024_Galactic,MW,0.014,4.599883072073688,3.88,3.91,,74.0,,4.08,149.41,2.26,3.75,amplitude_umag,O6 IV ((f)),38.6,0.51,1.0,Shen2024,HD101190,0.6106601630898799,2.174379665748987,3.91,False
HD 101223,Shen2024_Galactic,MW,0.014,4.546542663478131,3.62,3.96,,63.0,63.0,4.325,165.115,2.3049999999999997,4.275,amplitude_umag,O8 V,35.2,0.7,2.0,Shen2024,HD101223,0.6359861118008331,2.2177865288734293,3.96,False
HD 135591,Shen2024_Galactic,MW,0.014,4.544068044350276,3.58,3.99,,60.0,60.0,3.77,224.505,2.12,3.965,amplitude_umag,O8 IV ((f)),37.4,0.71,2.0,Shen2024,HD135591,0.5763413502057929,2.3512260177145254,3.99,True
HD 14434,Shen2024_Galactic,MW,0.014,4.586587304671755,3.96,3.78,,,172.0,5.49,410.14,2.49,10.03,amplitude_umag,O5.5 IV nn(f)p,25.0,0.56,1.0,Shen2024,HD14434,0.7395723444500919,2.612932127083471,3.78,False
HD 149038,Shen2024_Galactic,MW,0.014,4.474216264076255,3.18,4.11,,90.0,79.0,0.49,3354.41,1.66,3.94,amplitude_umag,O9.7 Iab,42.4,0.81,1.0,Shen2024,HD149038,-0.3098039199714863,3.5256161440945175,4.11,False
HD 150574,Shen2024_Galactic,MW,0.014,4.519827993775719,3.6,3.87,,,,0.14,3438.51,0.87,10.49,amplitude_umag,ON9 III (n),27.8,0.73,1.0,Shen2024,HD150574,-0.8538719643217619,3.5363702917109054,3.87,True
HD 152003,Shen2024_Galactic,MW,0.014,4.478566495593843,3.18,4.12,,83.0,83.0,0.3,7939.32,1.36,23.47,amplitude_umag,O9.7 Iab Nwk,42.4,0.8,1.0,Shen2024,HD152003,-0.5228787452803376,3.89978330684846,4.12,True
HD 156154,Shen2024_Galactic,MW,0.014,4.534026106056135,3.31,4.22,,102.0,102.0,0.62,2497.53,1.61,9.91,amplitude_umag,O7.5 Ib (f),64.4,0.66,1.0,Shen2024,HD156154,-0.20760831050174613,3.397510713617222,4.22,True
HD 15629,Shen2024_Galactic,MW,0.014,4.6211762817750355,3.79,4.08,,64.0,71.0,3.49,438.36,2.17,9.66,amplitude_umag,O4.5 V ((fc)),56.2,0.49,1.0,Shen2024,HD15629,0.5428254269591799,2.6418309182595414,4.08,False
HD 156738,Shen2024_Galactic,MW,0.014,4.578639209968072,3.83,3.87,,103.0,103.0,4.03,300.61,2.295,9.879999999999999,amplitude_umag,O6.5 III (f),31.2,0.58,2.0,Shen2024,HD156738,0.6053050461411095,2.478003423598137,3.87,True
HD 188209,Shen2024_Galactic,MW,0.014,4.478566495593843,3.04,4.26,,93.0,76.0,0.255,10333.025,1.44,15.120000000000001,amplitude_umag,O9.5 Iab,58.2,0.72,2.0,Shen2024,HD188209,-0.5934598195660448,4.014227480134309,4.26,False
HD 191978,Shen2024_Galactic,MW,0.014,4.553883026643875,3.81,3.8,,82.0,81.0,1.435,179.64,1.4449999999999998,6.93,amplitude_umag,O8 V,28.4,0.62,2.0,Shen2024,HD191978,0.15685190107001115,2.254403046390677,3.8,False
HD 192001,Shen2024_Galactic,MW,0.014,4.518513939877887,3.83,3.63,,57.0,69.0,1.04,242.42,1.25,7.14,amplitude_umag,O9.5 IV,22.0,0.64,1.0,Shen2024,HD192001,0.01703333929878037,2.3845684468941206,3.63,False
HD 193595,Shen2024_Galactic,MW,0.014,4.578639209968072,3.79,3.91,,61.0,,2.615,223.33,1.565,8.19,amplitude_umag,O7 V ((f)),35.8,0.6,2.0,Shen2024,HD193595,0.4174716932032931,2.3489470659255978,3.91,False
HD 207198,Shen2024_Galactic,MW,0.014,4.519827993775719,3.31,4.16,,97.0,83.0,1.37,866.89,1.79,7.72,amplitude_umag,O8.5 II ((f)),52.4,0.73,3.0,Shen2024,HD207198,0.1367205671564068,2.937963993181159,4.16,False
HD 209975,Shen2024_Galactic,MW,0.014,4.505149978319906,3.3,4.11,,104.0,92.0,0.92,1155.35,1.72,5.0,amplitude_umag,O9 Ib,45.0,0.77,3.0,Shen2024,HD209975,-0.036212172654444715,3.062713568680587,4.11,False
HD 210839,Shen2024_Galactic,MW,0.014,4.553883026643875,3.47,4.14,,,51.0,1.85,751.0,2.29,7.07,amplitude_umag,O6.5 I (n)fp,51.8,0.71,3.0,Shen2024,HD210839,0.26717172840301384,2.8756399370041685,4.14,False
HD 214680,Shen2024_Galactic,MW,0.014,4.546542663478131,3.89,3.69,,43.0,41.0,0.23,107.76,1.1,1.94,amplitude_umag,O9 V,25.0,0.56,1.0,Shen2024,HD214680,-0.638272163982407,2.032457582714929,3.69,False
HD 216532,Shen2024_Galactic,MW,0.014,4.547774705387822,4.04,3.54,,54.0,30.0,2.785,78.345,1.8900000000000001,7.005,amplitude_umag,O8.5 V (n),23.0,0.37,2.0,Shen2024,HD216532,0.44482519950974775,1.894011284892675,3.54,False
HD 217086,Shen2024_Galactic,MW,0.014,4.576341350205793,4.0,3.7,,,59.0,4.87,233.62,2.03,7.11,amplitude_umag,O7 V nn((f))z,27.2,0.46,3.0,Shen2024,HD217086,0.6875289612146344,2.368510019595464,3.7,False
HD 218915,Shen2024_Galactic,MW,0.014,4.492760389026838,3.22,4.14,,88.0,93.0,0.645,4272.76,1.68,10.82,amplitude_umag,O9.2 Iab,47.0,0.78,2.0,Shen2024,HD218915,-0.19044028536473223,3.630708499275678,4.14,False
HD 225146,Shen2024_Galactic,MW,0.014,4.451786435524291,3.11,4.09,,88.0,94.0,0.11499999999999999,16275.175,1.2349999999999999,19.985,amplitude_umag,O9.7 Iab,36.4,0.85,2.0,Shen2024,HD225146,-0.9393021596463883,4.211525667048262,4.09,False
HD 228841,Shen2024_Galactic,MW,0.014,4.576341350205793,3.88,3.82,,,117.0,5.0649999999999995,254.57999999999998,2.15,9.05,amplitude_umag,O6.5 V n((f)),29.0,0.56,2.0,Shen2024,HD228841,0.7045794496962992,2.4058242821502596,3.82,False
HD 34078,Shen2024_Galactic,MW,0.014,4.537819095073274,4.07,3.47,,32.0,31.0,0.25,163.36,1.47,3.74,amplitude_umag,O9.5 V,20.4,0.38,1.0,Shen2024,HD34078,-0.6020599913279624,2.213145724742835,3.47,False
HD 34656,Shen2024_Galactic,MW,0.014,4.556302500767287,3.5,4.12,,77.0,87.0,2.08,854.25,1.79,8.66,amplitude_umag,O7.5 II (f),51.0,0.68,1.0,Shen2024,HD34656,0.31806333496276157,2.9315849874708,4.12,False
HD 36861,Shen2024_Galactic,MW,0.014,4.546542663478131,3.52,4.06,,77.0,75.0,0.8,246.9,1.18,1.2,amplitude_umag,O8 III ((f)),43.4,0.7,1.0,Shen2024,HD36861,-0.09691001300805639,2.3925210899319325,4.06,True
HD 38666,Shen2024_Galactic,MW,0.014,4.5301996982030825,3.92,3.59,,56.0,56.0,2.415,47.215,1.7149999999999999,2.21,amplitude_umag,O9.5 V,22.0,0.54,4.0,Shen2024,HD38666,0.38291713508753095,1.67407999402218,3.59,True
HD 41161,Shen2024_Galactic,MW,0.014,4.546542663478131,3.84,3.74,,,16.0,5.86,221.85,2.39,5.12,amplitude_umag,O8 V n,26.4,0.61,1.0,Shen2024,HD41161,0.7678976160180907,2.3460594330525737,3.74,False
HD 46056,Shen2024_Galactic,MW,0.014,4.550228353055094,4.01,3.58,,,,6.945,64.1,2.31,7.155,amplitude_umag,O8 V n,23.4,0.49,2.0,Shen2024,HD46056,0.8416722500736344,1.8068580295188175,3.58,True
HD 46150,Shen2024_Galactic,MW,0.014,4.613841821876069,3.81,4.04,,112.0,94.0,5.21,140.92,2.15,4.79,amplitude_umag,O5 V ((f))z,50.6,0.51,1.0,Shen2024,HD46150,0.7168377232995244,2.148972634509205,4.04,True
HD 46223,Shen2024_Galactic,MW,0.014,4.625312450961673,3.73,4.16,,112.0,91.0,5.46,225.8,2.3,6.734999999999999,amplitude_umag,O4 V ((f)),72.2,0.47,2.0,Shen2024,HD46223,0.7371926427047373,2.353723937588949,4.16,True
HD 46485,Shen2024_Galactic,MW,0.014,4.557507201905658,3.88,3.74,,,114.0,2.485,720.44,2.16,7.975,amplitude_umag,O7 V ((f))n var?,27.6,0.57,2.0,Shen2024,HD46485,0.3953263930693509,2.857597817552566,3.74,False
HD 47432,Shen2024_Galactic,MW,0.014,4.463892988985907,3.04,4.21,,63.0,68.0,0.27,6386.69,1.5,4.36,amplitude_umag,O9.7 Ib,53.0,0.79,1.0,Shen2024,HD47432,-0.5686362358410126,3.8052758366908277,4.21,False
HD 48279,Shen2024_Galactic,MW,0.014,4.558708570533166,3.86,3.76,,74.0,74.0,3.7649999999999997,165.48,2.08,4.845000000000001,amplitude_umag,O8.5 V Nstr var?,28.2,0.57,2.0,Shen2024,HD48279,0.5757649805367193,2.2187455122234745,3.76,True
HD 55879,Shen2024_Galactic,MW,0.014,4.494154594018442,3.51,3.86,,61.0,60.0,2.8899999999999997,136.695,1.81,2.6799999999999997,amplitude_umag,O9.7 III,27.8,0.8,2.0,Shen2024,HD55879,0.4608978427565478,2.135752629329177,3.86,True
HD 5689,Shen2024_Galactic,MW,0.014,4.565847818673518,3.72,3.93,,,,4.4,394.02,2.52,10.54,amplitude_umag,O7 V n((f)),34.2,0.65,3.0,Shen2024,HD5689,0.6434526764861874,2.5955182666712378,3.93,False
HD 57682,Shen2024_Galactic,MW,0.014,4.544068044350276,4.13,3.44,,34.0,38.0,1.115,242.60000000000002,1.3900000000000001,4.445,amplitude_umag,O9.2 IV,21.0,0.25,2.0,Shen2024,HD57682,0.04727486738417948,2.3848907965305544,3.44,True
HD 64568,Shen2024_Galactic,MW,0.014,4.671172842715083,3.93,4.14,,53.0,53.0,5.18,119.97,2.08,12.58,amplitude_umag,O3 V ((f*))z,79.4,0.28,1.0,Shen2024,HD64568,0.714329759745233,2.079072658853184,4.14,False
HD 68450,Shen2024_Galactic,MW,0.014,4.48572142648158,3.31,4.02,,77.0,75.0,2.315,662.8149999999999,1.9,3.7800000000000002,amplitude_umag,O9.7 II,32.2,0.81,2.0,Shen2024,HD68450,0.36455099535397195,2.8213923282679914,4.02,False
HD 74920,Shen2024_Galactic,MW,0.014,4.54282542695918,3.66,3.9,,,,3.055,789.99,1.9649999999999999,6.375,amplitude_umag,O7.5 IV n((f)),31.8,0.7,2.0,Shen2024,HD74920,0.48501121457857305,2.8976215938571426,3.9,True
HD 76556,Shen2024_Galactic,MW,0.014,4.578639209968072,3.9,3.8,,,,0.81,1487.44,1.37,5.63,amplitude_umag,O6 IV (n)((f))p,31.6,0.51,1.0,Shen2024,HD76556,-0.09151498112135022,3.172439456286664,3.8,False
HD 90273,Shen2024_Galactic,MW,0.014,4.585460729508501,3.78,3.95,,55.0,55.0,3.125,203.365,1.815,9.3,amplitude_umag,ON7 V ((f)),36.8,0.58,4.0,Shen2024,HD90273,0.494850021680094,2.308276211050782,3.95,True
HD 91572,Shen2024_Galactic,MW,0.014,4.588831725594207,3.84,3.91,,57.0,57.0,0.33999999999999997,2486.61,1.325,9.96,amplitude_umag,O6.5 V ((f))z,36.2,0.56,2.0,Shen2024,HD91572,-0.4685210829577449,3.395607675849097,3.91,False
HD 92504,Shen2024_Galactic,MW,0.014,4.54282542695918,3.7,3.86,,63.0,,3.465,112.25,1.935,7.39,amplitude_umag,O8.5 V (n),30.6,0.68,2.0,Shen2024,HD92504,0.5397032389478256,2.0501863496753607,3.86,False
HD 93222,Shen2024_Galactic,MW,0.014,4.565847818673518,3.63,4.02,,90.0,,2.465,280.885,1.82,7.69,amplitude_umag,O7 V ((f)),38.6,0.65,2.0,Shen2024,HD93222,0.39181692361324877,2.4485285473497838,4.02,False
HD 93250,Shen2024_Galactic,MW,0.014,4.653212513775344,3.86,4.14,,84.0,,4.904999999999999,202.025,2.45,5.055,amplitude_umag,O4 IV (fc),74.2,0.35,2.0,Shen2024,HD93250,0.6906390117159673,2.305405115437894,4.14,False
HD 93843,Shen2024_Galactic,MW,0.014,4.571708831808688,3.53,4.15,,120.0,120.0,2.12,780.3199999999999,1.75,7.41,amplitude_umag,O5 III (fc),55.6,0.63,2.0,Shen2024,HD93843,0.32633586092875144,2.892272738247491,4.15,True
HD 96715,Shen2024_Galactic,MW,0.014,4.6551384348113825,3.91,4.1,,86.0,86.0,7.09,115.62,2.23,7.25,amplitude_umag,O4 V ((f))z,57.6,0.34,3.0,Shen2024,HD96715,0.8506462351830665,2.0630329650390964,4.1,True
HD 97848,Shen2024_Galactic,MW,0.014,4.551449997972875,3.67,3.93,,77.0,77.0,1.69,272.05,1.49,9.27,amplitude_umag,O8 V,33.6,0.68,3.0,Shen2024,HD97848,0.22788670461367352,2.4346487302419235,3.93,False
HD 99546,Shen2024_Galactic,MW,0.014,4.568201724066995,3.71,3.95,,60.0,,2.3,186.45,1.55,6.74,amplitude_umag,O7.5 V ((f)) Nstr,37.0,0.65,3.0,Shen2024,HD99546,0.36172783601759284,2.2705623876973258,3.95,False
HDE 242926,Shen2024_Galactic,MW,0.014,4.5910646070264995,4.07,3.68,,52.0,52.0,0.28,240.99,1.08,11.62,amplitude_umag,O7 V z,29.4,0.29,1.0,Shen2024,HD242926,-0.5528419686577808,2.381999021683067,3.68,False
HDE 303308,Shen2024_Galactic,MW,0.014,4.613841821876069,3.9,3.95,,67.0,,0.71,323.82,1.35,1.7,amplitude_umag,O4.5 V ((fc)),41.8,0.48,1.0,Shen2024,HD303308,-0.14874165128092473,2.5103036684488576,3.95,False
HD 155913,Shen2024_Galactic,MW,0.014,4.628388930050312,4.02,3.88,,,,4.970000000000001,268.58,1.9100000000000001,9.34,amplitude_umag,O4.5 V n((f)),38.2,0.37,2.0,Shen2024,HD155913,0.6963563887333322,2.4290736694904385,3.88,True
HD 192281,Shen2024_Galactic,MW,0.014,4.61066016308988,3.82,4.01,,,0.0,5.18,341.1,2.45,4.67,amplitude_umag,O4.5 IV (n)(f),38.6,0.79,5.0,Shen2024,HD192281,0.714329759745233,2.5328817194073974,4.01,False
