property,d_dlogL,d_dlogTeff,n,R2
vmac,0.2914863046425576,0.09734376978420878,832,0.4361742779727845
alpha0,1.5449537667651552,-3.1303259963126826,196,0.534920766610633
nuchar,-0.23330231314933686,1.5311645865301087,196,0.09227454356268117
gamma,0.1509152426304745,-2.099963458499281,196,0.0983528920579747
