target,model,predictor,coef,lo,hi,n
log_nuchar,logL_spec+logTeff,logL_spec,-0.2279763645822683,-0.3167119138359673,-0.1409382089349221,196
log_nuchar,logL_spec+logTeff,logTeff,1.52768944067228,1.202101497284228,1.8816298307649528,196
log_nuchar,logL_spec+logTeff+log_vsini,logL_spec,-0.2621103896726203,-0.3525191197546388,-0.1737111257092232,152
log_nuchar,logL_spec+logTeff+log_vsini,logTeff,1.2032817772875124,0.8557495364692113,1.557361914207111,152
log_nuchar,logL_spec+logTeff+log_vsini,log_vsini,0.3369110282727533,0.2502477679083093,0.4228666868089739,152
log_alpha0,logL_spec+logTeff,logL_spec,1.5568098698801651,1.4296757289914594,1.6798495443990673,196
log_alpha0,logL_spec+logTeff,logTeff,-3.1644692862540547,-3.827653117137284,-2.5453216508627463,196
log_alpha0,logL_spec+logTeff+log_vmac,logL_spec,1.432796701956137,1.271850420571439,1.5789035440019643,144
log_alpha0,logL_spec+logTeff+log_vmac,logTeff,-3.0387243381549087,-3.8100969288405833,-2.3116123772048427,144
log_alpha0,logL_spec+logTeff+log_vmac,log_vmac,0.2816930397285656,0.1487946968468539,0.4645709084307433,144
log_alpha0,tau+log_mass,tau,1.9058005506374676,1.615340619440682,2.2255379713757795,126
log_alpha0,tau+log_mass,log_mass,1.8312613126094117,1.5686760079516675,2.1018914055990163,126
log_nuchar,tau+log_mass,tau,-0.1524328297932217,-0.48950640147604124,0.19663175341115524,126
log_nuchar,tau+log_mass,log_mass,-0.17988444077519034,-0.49096421629244485,0.12329557158222235,126
