star,source,SpType,logTeff,logLspec,logg,vmac,vsini,tau,logM,logR
HD224990,SimonDiaz2017,B4 III,4.13,2.33,,40.0,22.0,0.97718050426462,0.676249475485519,0.7642216986865754
HD225094,SimonDiaz2017,B3 Iab,4.2,4.06,,57.0,34.0,1.0007869373916445,1.4690227502320723,1.8959178349079109
HD225160,SimonDiaz2017,O8 Iabf,4.52,4.2,,107.0,85.0,0.8823448000906292,1.6726145551505245,1.4191176824550835
HD226868,SimonDiaz2017,O9.7 Iabp var,4.47,4.14,,81.0,112.0,0.9742412756192133,1.5736387753573682,1.435281071013913
HD23300,SimonDiaz2017,B6 V,4.14,2.42,,21.0,19.0,0.9817214343432102,0.7203255201329944,0.8161920549964018
HD23302,SimonDiaz2017,B6 III,4.13,2.83,,54.0,180.0,1.0014084447493876,0.8412631644090285,1.0994106088193163
HD23338,SimonDiaz2017,B6 IV,4.11,2.61,,24.0,107.0,1.00109035502238,0.7543296668580513,0.9876256071306032
HD23408,SimonDiaz2017,B8 III,4.08,2.69,,22.0,30.0,1.0018579409446235,0.7825923493609246,1.097638148837672
HD23630,SimonDiaz2017,B7 III,4.12,2.87,,48.0,160.0,1.001587951039029,0.8570520322470405,1.148031574743057
HD23675,SimonDiaz2017,B0.5 III,4.43,3.88,,77.0,51.0,0.993199065586126,1.3838798517257689,1.294347427057937
HD237211,SimonDiaz2017,O9 Ib,4.52,4.09,,86.0,48.0,0.8711831818175897,1.6086507730440731,1.3319052821330448
HD24398,SimonDiaz2017,B1 Ib,4.38,3.83,,59.0,40.0,1.00084082872404,1.3227883295222582,1.3422556400372023
HD24431,SimonDiaz2017,O9 III,4.54,3.91,,51.0,65.0,0.7932573499799671,1.5039737698308284,1.1501352000706877
HD24432,SimonDiaz2017,B3 II,4.15,3.68,,49.0,32.0,1.0020038742163524,1.2197939864113898,1.6737983973984982
HD24587,SimonDiaz2017,B5 V,4.14,2.15,,19.0,31.0,0.8158982137263667,0.6625792890473435,0.654515944079837
HD24640,SimonDiaz2017,B1.5 V,4.26,2.6,,78.0,128.0,0.7760318578624187,0.8323595120745845,0.7184191891356737
HD250289,SimonDiaz2017,B2 III:e,4.32,3.76,,48.0,101.0,1.001198095819827,1.2726077914876144,1.3997238326021493
HD250290,SimonDiaz2017,B3 Ib,4.2,3.79,,34.0,41.0,1.0017786206094623,1.2782021068548557,1.6536084743919253
HD25204,SimonDiaz2017,B3 IV,4.2,2.79,,54.0,71.0,0.9998971014583296,0.839538254178213,0.9379115672678467
HD25443,SimonDiaz2017,B0.5 III,4.44,3.64,,70.0,39.0,0.8894066189370737,1.2920214009408095,1.1071869409632822
HD256725,SimonDiaz2017,O5.5,4.51,4.04,,27.0,68.0,0.8864205096423495,1.5476666637604477,1.293584984998526
HD25914,SimonDiaz2017,B6 Ia,4.16,4.16,,33.0,33.0,1.0004533882852589,1.5290406789865942,2.0433743208788084
HD26398,SimonDiaz2017,B7 III,4.2,2.72,,51.0,142.0,0.9888301499962936,0.827461204201871,0.8916349509877322
HD27192,SimonDiaz2017,B1.5 IV,4.33,3.17,,79.0,153.0,0.9678140837918996,1.0091629309935604,0.944252809399554
HD2729,SimonDiaz2017,B6 V,4.15,2.57,,49.0,106.0,0.9965640012767664,0.7528777449750554,0.8760215666496955
HD27396,SimonDiaz2017,B4 IV,4.21,2.58,,45.0,22.0,0.901455170316992,0.801342422158873,0.7950048657949215
HD27563,SimonDiaz2017,B5 III,4.16,2.61,,26.0,33.0,0.9992358279510868,0.7681664228417239,0.8921865613432267
HD28114,SimonDiaz2017,B6 IV,4.17,2.66,,24.0,21.0,0.9989009249942444,0.7862287547318393,0.903819107772324
HD28446B,SimonDiaz2017,B1 IV:,4.47,3.3,,24.0,12.0,0.5363374536006841,1.202261420835704,0.8324010307042278
HD28503,SimonDiaz2017,B7 III,4.12,2.43,,19.0,62.0,0.9962217667113524,0.7032657944796,0.8422883426502611
HD28843,SimonDiaz2017,B9 III,4.09,2.45,,60.0,113.0,1.0008004323710171,0.6964609029483708,0.9148373244670088
HD2905,SimonDiaz2017,B0.7 Ia,4.4,4.06,,82.0,59.0,0.9999626177703884,1.4738858307987108,1.493105689099163
HD29227,SimonDiaz2017,B7 III,4.12,2.32,,20.0,19.0,0.9836336240640908,0.6796801608808338,0.7850582863173737
HD29248,SimonDiaz2017,B2 III,4.37,3.04,,40.0,32.0,0.7529144038698539,1.0363023003920189,0.82451353768369
HD30122,SimonDiaz2017,B5 III,4.17,2.68,,20.0,17.0,1.0004039119557713,0.7936872131359103,0.9247720026829324
HD30211,SimonDiaz2017,B4 IV,4.18,2.82,,33.0,132.0,1.0007082762223378,0.8432390656989549,0.9974498938083372
HD30614,SimonDiaz2017,O9 Ia,4.51,4.19,,119.0,99.0,0.8939254860764425,1.6646841316326224,1.4331070318558536
HD30677,SimonDiaz2017,B1 II-III((n)),4.33,3.94,,36.0,167.0,1.0010966246946438,1.3894882502830144,1.5276011330120032
HD30836,SimonDiaz2017,B2 III,4.29,3.16,,30.0,39.0,0.9961463679239604,0.9910949860028953,0.9982109285935836
HD31327,SimonDiaz2017,B2.5 Ib,4.26,3.59,,53.0,35.0,1.0014206500210634,1.1874405119256084,1.402101303210917
HD3240,SimonDiaz2017,B7 III,4.09,2.34,,33.0,68.0,0.9997349062503902,0.6635768324308978,0.843942468110818
HD32612,SimonDiaz2017,B2.5 IV,4.28,2.7,,20.0,56.0,0.7862990003661927,0.8697491168291781,0.7464158334093891
HD3360,SimonDiaz2017,B2 IV,4.29,2.91,,17.0,23.0,0.968441276206891,0.91629454033544,0.8859672204197578
HD3369,SimonDiaz2017,B5 V,4.17,2.56,,19.0,18.0,0.9814043853139915,0.7720408432465378,0.8526142825820742
HD3379,SimonDiaz2017,B2.5 IV,4.22,2.47,,57.0,47.0,0.7985740566674073,0.7779882104726975,0.7060511558971366
HD34078,SimonDiaz2017,O9.5 V,4.53,3.53,,31.0,17.0,0.493503279662772,1.3371678881300904,0.8958049861414058
HD34085,SimonDiaz2017,B8 Ia,4.1,4.1,,51.0,38.0,1.0013181889280367,1.475523237579137,2.1107287187465484
HD34503,SimonDiaz2017,B5 III,4.13,2.79,,32.0,34.0,1.001314785105384,0.8234414588653038,1.0692879783083429
HD34656,SimonDiaz2017,O7.5 II(f),4.57,4.17,,87.0,44.0,0.8084940989103968,1.6879494686722716,1.3116567932849013
HD34759,SimonDiaz2017,B5 V,4.16,2.4,,30.0,58.0,0.930908749616944,0.7247699047654771,0.7702028079732143
HD34989,SimonDiaz2017,B1 V,4.43,3.03,,12.0,48.0,0.4057635000314195,1.0788190628953769,0.7214268142357668
HD35039,SimonDiaz2017,B2 IV-V,4.3,2.87,,20.0,11.0,0.8642487411382672,0.9539508417953791,0.8509228222978614
HD35299,SimonDiaz2017,B1.5 V,4.37,2.69,,15.0,8.0,0.2247827966068859,0.9542128092451556,0.6053987784064714
HD35468,SimonDiaz2017,B2 III,4.29,2.99,,27.0,53.0,0.9286252286936396,0.95101573592021,0.9081110029621104
HD35497,SimonDiaz2017,B7 III,4.1,2.54,,18.0,58.0,1.0009968830895173,0.727734646055296,0.9560348009654772
HD35600,SimonDiaz2017,B9 Ib,4.08,3.13,,32.0,24.0,1.0018909568780316,0.9745209037661924,1.4144547808221888
HD35619,SimonDiaz2017,O7.5 V((f))z,4.58,3.8,,62.0,43.0,0.5694521730788182,1.49843278620412,1.0106867397646724
HD35633,SimonDiaz2017,B0.5 IV,4.53,4.24,,123.0,176.0,0.8882580646851169,1.6909758484933868,1.4309021635018129
HD35912,SimonDiaz2017,B2 V,4.28,2.47,,21.0,10.0,0.527186105523233,0.8199394441436657,0.6069595984302031
HD36267,SimonDiaz2017,B5 V,4.18,2.2,,46.0,136.0,0.7169479601502233,0.6911979258659494,0.6133443425543539
HD36285,SimonDiaz2017,B2 IV-V,4.31,2.65,,19.0,11.0,0.6060668819111851,0.8842996704291077,0.6698118964457335
HD36351,SimonDiaz2017,B1.5 V,4.34,2.74,,17.0,30.0,0.5234611392746783,0.9502909481896946,0.678651258893881
HD36371,SimonDiaz2017,B5 Iab,4.16,3.97,,45.0,35.0,1.0015499640997405,1.398318001185092,1.8890112373721508
HD36408,SimonDiaz2017,B7 II,4.06,2.45,,29.0,52.0,1.0015771688400277,0.6941339965698075,0.9739120338523996
HD36430,SimonDiaz2017,B2 V,4.28,2.4,,30.0,13.0,0.408566952387026,0.80612007339349,0.5656759939791755
HD36483,SimonDiaz2017,O9.5 IV(n),4.51,3.64,,72.0,174.0,0.7110800605693444,1.3447737235239698,0.9944509514100226
HD36486,SimonDiaz2017,O9.5 II Nwk,4.51,3.99,,96.0,128.0,0.8714202804131984,1.527807748416766,1.2643199672548728
HD36512,SimonDiaz2017,O9.7 V,4.53,3.3,,25.0,15.0,0.0436452032540624,1.2784734881850577,0.7520777688132793
HD36591,SimonDiaz2017,B1 IV,4.43,3.03,,19.0,9.0,0.4057635000314195,1.0788190628953769,0.7214268142357668
HD36629,SimonDiaz2017,B2 Vv,4.29,2.47,,18.0,10.0,0.4575016818605878,0.8324404437169198,0.5930724824909581
HD36822,SimonDiaz2017,B0.2 IV,4.46,3.34,,38.0,18.0,0.6493804044779175,1.2016986747602882,0.87757549263959
HD36861,SimonDiaz2017,O8 III((f)),4.55,4.06,,75.0,51.0,0.8203213267769675,1.6097798221497923,1.2601107910519302
HD36862,SimonDiaz2017,B0.5 V,4.4,2.9,,5.0,75.0,0.3476224882243657,1.04105986809758,0.6849604544172466
HD36959,SimonDiaz2017,B1 V,4.39,2.86,,14.0,12.0,0.411602323661125,0.9978896313159868,0.6750117800829328
HD36960,SimonDiaz2017,B0.5 V,4.46,3.33,,37.0,22.0,0.6398032292680396,1.200503456513488,0.8725133323549098
HD37020,SimonDiaz2017,B0.5 V,4.48,3.13,,15.0,55.0,0.143580283693098,1.1757582434673588,0.7164441982485389
HD37022,SimonDiaz2017,O7 Vp,4.59,3.58,,56.0,26.0,0.1165950509467782,1.4451051087071471,0.8596115163141546
HD37041,SimonDiaz2017,O9.5 IVp,4.54,3.31,,47.0,133.0,0.0114918594262193,1.300887383586861,0.7517961148043832
HD37042,SimonDiaz2017,B2-B5,4.47,3.08,,13.0,33.0,0.1440201399306944,1.14587475086355,0.6993984767241325
HD37043,SimonDiaz2017,O9 III var,4.52,3.96,,84.0,104.0,0.8486428511154458,1.516428185166831,1.222977335777895
HD37061,SimonDiaz2017,O9 V,4.45,3.01,,93.0,191.0,0.1608999580045764,1.1137382978947152,0.6850915531713566
HD37128,SimonDiaz2017,B0 Ia,4.47,4.05,,85.0,42.0,0.9722600497694462,1.506525772480786,1.3581011402951342
HD37209,SimonDiaz2017,B2 IV,4.38,2.76,,15.0,50.0,0.2153089258405136,0.999023744017334,0.6310609134771409
HD37320,SimonDiaz2017,B8 III,4.09,2.34,,26.0,27.0,0.9997349062503902,0.6635768324308978,0.843942468110818
HD37366,SimonDiaz2017,O9.5 IV,4.52,3.26,,39.0,18.0,0.0503502700877582,1.2550080355789548,0.740627028907905
HD37468D,SimonDiaz2017,B2 V,4.3,2.79,,48.0,197.0,0.7911613810552749,0.902935848536814,0.7678272626754434
HD37481,SimonDiaz2017,B1.5 IV,4.34,2.78,,21.0,73.0,0.5954796470377064,0.9541379175170231,0.7057471647606521
HD37711,SimonDiaz2017,B3 IV,4.21,2.61,,51.0,71.0,0.9347248166993628,0.7985493570714742,0.8096843517866301
HD37742,SimonDiaz2017,O9.2 Ib var Nwk,4.52,4.3,,100.0,116.0,0.9806375245149028,1.4015380266143973,1.33741453660418
HD37744,SimonDiaz2017,B1.5 V,4.37,2.81,,11.0,37.0,0.4660837293518024,0.9716491394632476,0.6741469539568019
HD3827,SimonDiaz2017,B0.7 V((n)),4.36,3.42,,22.0,177.0,0.987442151980337,1.1348828966507458,1.0839732200430867
HD38771,SimonDiaz2017,B0.5 Ia,4.47,4.06,,83.0,43.0,0.9738601528018224,1.5173941383016063,1.3738673476064622
HD3901,SimonDiaz2017,B2 V,4.21,2.73,,19.0,129.0,0.9839926134221818,0.8380156638761228,0.889024637700403
HD3950,SimonDiaz2017,B1 III,4.38,3.53,,55.0,46.0,0.9894767474666054,1.1911360707529008,1.129030685840165
HD40111,SimonDiaz2017,B1 Ib,4.43,3.79,,58.0,145.0,0.978545006146843,1.3423212117046042,1.229063576039181
HD41117,SimonDiaz2017,B2 Ia,4.27,4.21,,67.0,43.0,1.0000461708275068,1.5977151023561946,1.8863566965002263
HD4142,SimonDiaz2017,B5 V,4.19,2.65,,29.0,189.0,0.9948289516897704,0.7989408272178077,0.8693902931962607
HD41692,SimonDiaz2017,B5 IV,4.12,2.71,,20.0,30.0,1.0012658876948612,0.7940428428413328,1.0383299552313416
HD42087,SimonDiaz2017,B2.5 Ib,4.27,3.9,,56.0,39.0,1.0014554779840774,1.3641950670542464,1.6186701056575412
HD42088,SimonDiaz2017,O6 V((f))z,4.6,3.96,,67.0,40.0,0.6472562723285393,1.6028711524858743,1.1091268201500597
HD42352,SimonDiaz2017,B1 III,4.37,3.37,,47.0,163.0,0.9632754472132508,1.1215588073296918,1.0346447969229378
HD42400,SimonDiaz2017,B5 II,4.17,3.46,,34.0,25.0,1.001648094730516,1.1227199810472333,1.4753030743457178
HD42401,SimonDiaz2017,B2.5 V,4.28,2.99,,59.0,129.0,0.950540645854408,0.9493448047607757,0.9294117411606588
HD4253,SimonDiaz2017,B9 II,4.09,2.66,,24.0,145.0,1.0016183290079326,0.7715366692073817,1.057467434377196
HD43384,SimonDiaz2017,B3 Iab,4.18,4.02,,52.0,30.0,1.000780399226732,1.4299436308047972,1.887216921368934
HD43818,SimonDiaz2017,B0 II,4.48,4.15,,71.0,62.0,0.9700099966039109,1.5815619337177529,1.4269660460063591
HD44743,SimonDiaz2017,B1 II-III,4.37,3.2,,40.0,26.0,0.8570278710433393,1.073236256610726,0.9195959754525002
HD44811,SimonDiaz2017,O7 V(n)z,4.57,3.77,,48.0,26.0,0.5880771301160881,1.4700040617891978,1.0021625472027942
HD46064,SimonDiaz2017,B1.5 V,4.27,2.83,,29.0,59.0,0.8972742634757108,0.9020420231895464,0.8494628636835284
HD46075,SimonDiaz2017,B6 III,4.11,2.19,,18.0,53.0,0.9601501402509088,0.6422226038919622,0.7342324962783366
HD46149,SimonDiaz2017,O8.5 V,4.56,3.61,,60.0,31.0,0.4163074630427733,1.408054756611078,0.9095392718260946
HD46150,SimonDiaz2017,O5 V((f))z,4.61,3.98,,94.0,66.0,0.6172088958871761,1.6280625054277396,1.1078150647079756
HD46202,SimonDiaz2017,O9.2 V,4.54,3.46,,34.0,20.0,0.2964141175358579,1.3396350557268772,0.8418569293641244
HD46223,SimonDiaz2017,O4 V((f)),4.64,4.11,,91.0,58.0,0.6254439253617636,1.7352032275111509,1.1678101416360986
HD46328,SimonDiaz2017,B0.7 IV,4.39,3.22,,20.0,9.0,0.8206418212106631,1.1103046860459351,0.9163662324135154
HD4636,SimonDiaz2017,B9 III,4.07,2.28,,23.0,98.0,1.0003067475235443,0.6390947555461646,0.8441691656060403
HD46573,SimonDiaz2017,O7 V((f))z,4.56,4.0,,109.0,88.0,0.7789321999083468,1.570025417978376,1.1859565954514195
HD46769,SimonDiaz2017,B8 Ib,4.1,3.23,,23.0,69.0,1.0017208986813997,1.0198591992294042,1.4495885827208432
HD46966,SimonDiaz2017,O8.5 IV,4.55,3.75,,66.0,38.0,0.6641643838910211,1.4347617500387932,1.0192972032072785
HD47240,SimonDiaz2017,B1 II,4.29,4.08,,74.0,111.0,1.0004246779820936,1.4769235756441494,1.7199608630772676
HD47417,SimonDiaz2017,B0 IV,4.47,3.67,,123.0,107.0,0.8440583702787949,1.3309733222242313,1.0841447490521756
HD47432,SimonDiaz2017,O9.7 Ib,4.51,4.09,,68.0,97.0,0.8872100096498642,1.60245277612516,1.351519212305464
HD47839,SimonDiaz2017,O7 V((f))z var,4.58,3.74,,65.0,39.0,0.4959558274993059,1.4738464336895567,0.968931903072788
HD47964,SimonDiaz2017,B8 III,4.09,2.54,,17.0,52.0,1.00121858299704,0.7279270867340711,0.9768897379584578
HD48038,SimonDiaz2017,B2 III,4.28,3.51,,52.0,150.0,1.0010830256595895,1.1414965689480272,1.2873284726537797
HD48279,SimonDiaz2017,O8.5 Vz Nstr var?,4.56,3.74,,90.0,140.0,0.6015782331219777,1.445038112455645,0.9944971217051046
HD4841,SimonDiaz2017,B5 Ia,4.12,3.99,,59.0,37.0,1.0014615151560105,1.4062687190021044,1.9838346828770528
HD48434,SimonDiaz2017,B0 III,4.48,3.93,,82.0,42.0,0.9684979306275828,1.4310940322866763,1.2452680863768848
HD48691,SimonDiaz2017,B0.5 IV,4.44,3.56,,58.0,52.0,0.8586994421884795,1.2609741131175245,1.0541304678286856
HD48807,SimonDiaz2017,B7 Iab,4.07,3.68,,35.0,33.0,1.0024221792425887,1.217779750512549,1.839398102063924
HD49340,SimonDiaz2017,B7 III,4.12,2.86,,28.0,190.0,1.0015841515125932,0.8547248912252975,1.1442587813307206
HD49606,SimonDiaz2017,B7 III,4.13,2.51,,25.0,19.0,1.0003223883507375,0.7259613380383118,0.8830272909218165
HD5005A,SimonDiaz2017,O4 V((fc)),4.62,4.03,,86.0,65.0,0.6208544186741815,1.6718919124634068,1.1371974205929751
HD50707,SimonDiaz2017,B1 Ib,4.38,3.31,,46.0,24.0,0.8885349540277346,1.105618743762696,0.9665356808222548
HD51309,SimonDiaz2017,B3 II,4.2,3.64,,43.0,27.0,1.0017714519902252,1.20222027716509,1.5447746100535722
HD51688,SimonDiaz2017,B8 III,4.1,2.26,,19.0,33.0,0.997852015056982,0.6475865025022866,0.7766123968832418
HD52273,SimonDiaz2017,B2 III,4.29,3.18,,25.0,86.0,0.999107501548148,1.0041075395997765,1.0251406656587574
HD53138,SimonDiaz2017,B3 Iab,4.23,4.13,,56.0,38.0,1.0003502727612903,1.5168025352029704,1.8912568925695616
HD53244,SimonDiaz2017,B8 II,4.14,2.74,,21.0,36.0,1.0010221505933696,0.8049780232159301,1.0155164788049182
HD53929,SimonDiaz2017,B9 III,4.09,2.44,,26.0,25.0,1.0007505887734138,0.6936249933541547,0.9086074983766856
HD53975,SimonDiaz2017,O7.5 Vz,4.55,4.0,,77.0,186.0,0.7991484533749311,1.555093553010276,1.1959465895989372
HD54764,SimonDiaz2017,B1 II,4.3,4.16,,87.0,123.0,1.0000883219885717,1.5354309092538534,1.7662349832083308
HD54879,SimonDiaz2017,O9.7 V,4.52,3.16,,10.0,8.0,0.0024062749965002,1.228136919215209,0.7070137235884227
HD55213,SimonDiaz2017,B7 III,4.11,2.62,,12.0,184.0,1.001109783438033,0.7588939833893582,0.99367039216128
HD55879,SimonDiaz2017,O9.7 III,4.51,3.71,,60.0,29.0,0.7591207084386157,1.3673901984142156,1.036898296637794
HD57061,SimonDiaz2017,O9 II,4.51,4.01,,93.0,56.0,0.8815057611323537,1.5339906100574732,1.2775144334184354
HD57236,SimonDiaz2017,O8.5 V,4.58,3.51,,34.0,29.0,0.0387629983336556,1.414352115465884,0.8251772672443728
HD57539,SimonDiaz2017,B5 III,4.13,2.64,,13.0,171.0,1.000821814076301,0.7687955225210421,0.9690416532044428
HD57682,SimonDiaz2017,O9.2 IV,4.54,3.62,,38.0,16.0,0.5504040255009541,1.372203916043905,0.9351554638179932
HD58350,SimonDiaz2017,B5 Ia,4.16,4.29,,64.0,41.0,1.0158461436043644,1.4962691077363408,2.0984660369526265
HD60308,SimonDiaz2017,B2 Iab,4.22,4.05,,54.0,44.0,1.0006976094794235,1.4570813741179338,1.840153188702326
HD60325,SimonDiaz2017,B2 IIIp,4.27,3.42,,54.0,117.0,1.001008696836582,1.1033897903637793,1.2471668783285752
HD61068,SimonDiaz2017,B2 III,4.39,3.08,,23.0,11.0,0.7150018986929697,1.0369236698203836,0.8052112538579399
HD61347,SimonDiaz2017,O9 Ib,4.49,4.23,,78.0,115.0,0.9163907144453364,1.6714594074206846,1.492964187098934
HD62747,SimonDiaz2017,B2 II,4.34,3.36,,29.0,100.0,0.9886017172095908,1.1032168136372758,1.072373528923521
HD63975,SimonDiaz2017,B8 II,4.08,2.81,,20.0,27.0,1.002015612946617,0.8336063538360582,1.1844005729993945
HD6675,SimonDiaz2017,B0.2 III,4.48,3.68,,61.0,35.0,0.8197607757592092,1.3314614591372853,1.0625013086374346
HD66834,SimonDiaz2017,B3 III,4.24,3.42,,17.0,176.0,1.0012028464081106,1.103255824135,1.307823724640517
HD68099,SimonDiaz2017,B6 III,4.12,2.52,,26.0,56.0,1.0005274230338153,0.7259193446067538,0.9074952342902636
HD69686,SimonDiaz2017,B8,4.18,2.31,,42.0,173.0,0.8058825049719162,0.715832403980697,0.6764813721464723
HD71833,SimonDiaz2017,B8 II,4.1,2.65,,20.0,32.0,1.0014049113003451,0.7694207374251172,1.0338205159298797
HD7374,SimonDiaz2017,B8 III,4.07,2.06,,20.0,19.0,0.9201327308301144,0.6018278609786829,0.708272798297824
HD77770,SimonDiaz2017,B2 IV,4.23,3.08,,8.0,27.0,1.0007640045019792,0.9563010097094362,1.0866361499125574
HD7902,SimonDiaz2017,B6 Ib,4.12,3.93,,55.0,35.0,1.0020419455396763,1.366835810190138,1.9327180311612384
HD829,SimonDiaz2017,B2 V,4.23,2.76,,21.0,12.0,0.9953322281600054,0.8365561160502321,0.8605114698817404
HD886,SimonDiaz2017,B2 IV,4.33,2.95,,16.0,8.0,0.8051063410320981,0.954019742404834,0.8065758363266569
HD90994,SimonDiaz2017,B6 V,4.14,2.0,,54.0,77.0,0.6798591473526949,0.6231157835451853,0.559570961538015
HD91316,SimonDiaz2017,B1 Iab,4.37,4.0,,70.0,45.0,1.0000669850471802,1.4284521683666882,1.4957552840909027
HD9311,SimonDiaz2017,B5 Ib,4.12,3.57,,55.0,30.0,1.0020931112055624,1.1818369258630157,1.6734985695049638
HD97991,SimonDiaz2017,B1 V,4.36,2.97,,9.0,140.0,0.7292081201945135,0.995144060942222,0.7857042989844114
BD+001617A,deBurgos2024,O9.2V,4.52244423350632,3.460718026680018,4.02,8.0,36.0,0.4480771041814962,1.297637784286681,0.8589589851847516
BD+001617C,deBurgos2024,O9.5IV,4.507855871695831,3.5023645794380625,3.92,121.0,3.0,0.5793652250577302,1.2955816024513631,0.90348126070928
BD+353955,deBurgos2024,B0.7Iab,4.3979400086720375,4.062701127342887,2.92,67.0,52.0,0.9999815136942896,1.4733468926324378,1.4979626367652057
BD+453341,deBurgos2024,B1II,4.394451680826216,4.108747815959601,2.86,91.0,84.0,0.9997266620180733,1.5160426708996029,1.5490788021368918
BD+483437,deBurgos2024,B1Ib,4.3979400086720375,3.832701127342887,3.15,54.0,37.0,1.000678144312804,1.3251761892873537,1.3086256549645825
BD+552770,deBurgos2024,B1.5III,4.437750562820388,3.471943343936289,3.67,59.0,43.0,0.823987495300263,1.2260742143384842,0.9984929014942618
BD+56508,deBurgos2024,B2.0V,4.401400540781544,3.386543255780912,3.61,51.0,40.0,0.8724469138909507,1.1722439224478702,1.0041789250384296
BD+56525,deBurgos2024,B0.5V,4.350248018334163,3.49193316599139,3.3,63.0,136.0,1.0005813668236907,1.1629681781561918,1.1589720604534497
BD+56527,deBurgos2024,B1.5II,4.357934847000454,3.892680480656553,2.93,58.0,97.0,1.001039095064329,1.364603578051409,1.4373310834540522
BD+56553,deBurgos2024,B1IV,4.378397900948138,3.4745326964472887,3.43,34.0,36.0,0.9997421006466584,1.160936731870279,1.0938537042102503
BD+56576,deBurgos2024,B1III,4.3747483460101035,3.339934476695152,3.55,30.0,15.0,0.9962365994369508,1.0715910391075043,0.9872778644853664
BD+56578,deBurgos2024,BN2II-III,4.354108439147401,3.5773748492443422,3.23,49.0,55.0,1.00064049607164,1.188282919045324,1.1992288238331368
BD+56640,deBurgos2024,B2III:,4.451786435524291,3.4380868347519,3.76,53.0,176.0,0.7625066515754054,1.2265470484129424,0.953722076276408
BD+57247,deBurgos2024,O9.5IV,4.513217600067939,3.433811492926495,4.01,28.0,22.0,0.4562765694837318,1.291429858215867,0.8575603153269047
BD+57252,deBurgos2024,B1IV,4.376576957056512,3.4372489208807866,3.46,72.0,25.0,0.9743063226781266,1.1482746507122976,1.0658621002001814
BD+57520,deBurgos2024,B1III,4.414973347970818,3.5208344845380104,3.53,40.0,25.0,0.9082657732387396,1.2161470410384023,1.063319825063803
BD+59387,deBurgos2024,B2.5IIN-weak,4.3222192947339195,3.709818271590415,2.97,93.0,64.0,1.0010954534531045,1.2449331819563143,1.357881010436367
BD+59388,deBurgos2024,BN2.5III,4.311753861055754,3.457956536877754,3.18,38.0,13.0,1.0007817148934652,1.1248377269502914,1.1932943071277935
BD+59451,deBurgos2024,B1Ib-II,4.4031205211758175,3.963423177358007,3.04,34.0,130.0,1.0002155994447135,1.40954136873906,1.4056148372945232
BD+59461,deBurgos2024,B1II,4.372912002970106,3.4525891045351624,3.43,52.0,26.0,0.9749415543491184,1.150374944077482,1.0756430365236185
BD+602525,deBurgos2024,B0.5III,4.439332693830263,3.708271867975789,3.44,44.0,24.0,0.9793137907110858,1.278499895497475,1.1379897558456724
BD+602615,deBurgos2024,B0.5Ib(n),4.421603926869831,4.227356800134061,2.85,75.0,127.0,0.9936011894767788,1.6216519543836696,1.6008108921256048
BD+602631,deBurgos2024,B0.5III,4.419955748489758,3.9107640866137694,3.16,52.0,126.0,0.9973360089328622,1.389396148231922,1.3293314435934582
BD+602644,deBurgos2024,B1III,4.376576957056512,3.377248920880786,3.52,36.0,15.0,0.9529117423056552,1.1238037863565993,1.0241516970712383
BD+60279,deBurgos2024,B2II,4.357934847000454,3.5226804806565535,3.3,31.0,42.0,1.0005455582837264,1.1629715939886915,1.1461214718191834
BD+60333,deBurgos2024,B5Ib,4.17897694729317,3.766848881827416,2.34,50.0,25.0,1.0018935311225814,1.2683882535341242,1.682568654703054
BD+60339,deBurgos2024,B6Iabe,4.167317334748176,3.820210431647439,2.24,56.0,21.0,1.001908018756211,1.2931873065080854,1.7420270913275042
BD+60343A,deBurgos2024,B6Ia,4.2878017299302265,3.612148012375642,2.93,33.0,30.0,1.0012257597139518,1.1866585164035337,1.3447795387782338
BD+60345,deBurgos2024,B0II:,4.45484486000851,3.9203205326887782,3.29,64.0,32.0,0.9842591788060792,1.4177264960180955,1.282691301229478
BD+60351,deBurgos2024,B6Iab,4.232996110392154,3.5929255342233533,2.73,38.0,16.0,1.001581082400872,1.187992605064629,1.4578295665844627
BD+60369,deBurgos2024,B2II,4.324282455297693,3.688070913845509,3.0,64.0,94.0,1.0010503359400624,1.2283063722997116,1.3327644147371738
BD+60493,deBurgos2024,B0.5Ia,4.416640507338281,4.207503122007861,2.85,106.0,57.0,0.9921413768867164,1.6188507139827442,1.604659285644914
BD+60499,deBurgos2024,O9.5V,4.513217600067939,3.673811492926495,3.77,30.0,25.0,0.7291547355989932,1.3681566541554313,1.0179962124621462
BD+6073,deBurgos2024,B1Ib,4.392696953259666,4.0417289056934,2.92,62.0,140.0,1.0000117276615357,1.4633929418324363,1.4941243671445232
BD+61175,deBurgos2024,B3II,4.238046103128795,3.6931255051699177,2.65,51.0,13.0,1.0015614513732525,1.228685694335897,1.5074111169677404
BD+612509,deBurgos2024,B0.5Ib,4.451786435524291,3.948086834751899,3.25,103.0,49.0,0.9871017527383924,1.4409393696089945,1.3162710151226815
BD+612526,deBurgos2024,B1.5II,4.365487984890899,3.542893032218335,3.31,56.0,11.0,0.991126017121592,1.1910106077417288,1.1514282154861624
BD+612529,deBurgos2024,B1Ib,4.371067862271736,4.04521254174168,2.83,83.0,45.0,1.0001237598327453,1.4635352416099294,1.539642269563781
