star,source,SpType,logTeff,logLspec,logg,vmac,vsini,tau,logM,logR
HD148605,SimonDiaz2017,B2.5 V,4.28,2.6,,83.0,186.0,0.7116956033992105,0.8470949608576898,0.6929635260876572
HD149438,SimonDiaz2017,B0 V,4.51,3.11,,10.0,7.0,0.0024008393882432,1.2013830788195143,0.6921345499991528
HD14956,SimonDiaz2017,B2 Ia,4.28,3.99,,84.0,50.0,1.0004687262201784,1.4230389067772928,1.6747041791740107
HD154445,SimonDiaz2017,B1.5 V,4.34,3.15,,27.0,122.0,0.943132585562076,1.0150717314232982,0.9303283434173708
HD155763,SimonDiaz2017,B6 III,4.12,2.47,,23.0,42.0,1.000289794882741,0.7104632150817227,0.8728716643993378
HD155806,SimonDiaz2017,O7.5 V((f))z(e),4.53,4.02,,95.0,47.0,0.8437331106555639,1.5504972387366185,1.243283512702174
HD15629,SimonDiaz2017,O4.5 V((fc)),4.63,4.07,,71.0,80.0,0.614995885948913,1.705090304491453,1.1511322068802594
HD156633,SimonDiaz2017,B1.5 Vp,4.27,2.87,,64.0,128.0,0.999799155939584,0.8737601366251537,0.8693753840596157
HD157056,SimonDiaz2017,OB,4.36,2.81,,22.0,19.0,0.5324974195351179,0.9541573932462036,0.6836883802478788
HD157857,SimonDiaz2017,O6.5 II(f),4.56,4.18,,64.0,114.0,0.8273411937002805,1.6856886195619845,1.3358044097271404
HD161480,SimonDiaz2017,B6,4.14,2.26,,16.0,18.0,0.8768175203407492,0.6810375611408043,0.7105231551727689
HD161573,SimonDiaz2017,B4,4.22,2.55,,21.0,47.0,0.8596757965590496,0.7948630799229928,0.7541086037376791
HD162094,SimonDiaz2017,B3 V,4.19,2.39,,98.0,95.0,0.8376572850800816,0.7444872560502002,0.7132741874416267
HD162978,SimonDiaz2017,O8 II((f)),4.54,4.09,,102.0,58.0,0.8395000127700191,1.6196859985925458,1.2962802601668189
HD163472,SimonDiaz2017,B2 IV-V,4.32,2.86,,13.0,67.0,0.786806603500742,0.9540363981552944,0.7948688479944683
HD163800,SimonDiaz2017,O7.5 III((f)),4.55,4.16,,105.0,59.0,0.8392338731603765,1.6720141404519335,1.3411201082342732
HD164353,SimonDiaz2017,B5 Ib,4.16,3.57,,52.0,25.0,1.0019246008344325,1.1823970215303663,1.5952334782033848
HD164438,SimonDiaz2017,O9.2 IV,4.51,3.91,,85.0,76.0,0.8610419047457065,1.4801744126995684,1.1985066947181189
HD164492,SimonDiaz2017,O7.5 Vz,4.59,3.65,,52.0,33.0,0.2563546227642396,1.4715381770437015,0.9031073980660256
HD164794,SimonDiaz2017,O4 V((f))z,4.65,4.11,,94.0,56.0,0.5889153220938705,1.7464560437304102,1.150526943856636
HD16582,SimonDiaz2017,B2 IV,4.34,2.94,,19.0,9.0,0.7916616933603504,0.994389862056794,0.8201875774171401
HD166182,SimonDiaz2017,B2 IV,4.31,3.27,,16.0,41.0,0.9955494672485142,1.0556458417079415,1.0587414599906693
HD166546,SimonDiaz2017,O9.5 IV,4.49,3.86,,69.0,42.0,0.8817205672421063,1.4342471379078303,1.1917879174072217
HD167264,SimonDiaz2017,O9.7 Iab,4.48,4.02,,83.0,59.0,0.9742550354072832,1.490795582666909,1.3193559490067197
HD167633,SimonDiaz2017,O6.5 V((f)),4.58,4.01,,111.0,139.0,0.73839672367491,1.6113055436781885,1.1770420812060605
HD167659,SimonDiaz2017,O7 II-III(f),4.57,4.07,,98.0,59.0,0.7761640705090529,1.6312907112257489,1.2305015470315326
HD167838,SimonDiaz2017,B5 Ia,4.18,3.82,,45.0,40.0,1.0018529330749173,1.2967702815743167,1.719851662542356
HD168075,SimonDiaz2017,O7 V(n)((f))z,4.57,3.84,,94.0,81.0,0.6640972979912567,1.5011268735874408,1.0575430435580568
HD169454,SimonDiaz2017,B1 Ia,4.26,4.24,,68.0,54.0,1.0000470103632797,1.621439129533933,1.9361661538318753
HD170740,SimonDiaz2017,B2 IV-V,4.28,2.75,,19.0,42.0,0.8265717501004326,0.8851545786278646,0.7811225921762668
HD17081,SimonDiaz2017,B7 V,4.12,2.4,,24.0,18.0,0.9899169652216688,0.7062936567262695,0.8272812540739838
HD171301,SimonDiaz2017,B8 IV,4.07,2.08,,23.0,33.0,0.9538937772371456,0.601806549512947,0.7273871482628202
HD171589,SimonDiaz2017,O7.5 II(f),4.56,4.1,,94.0,93.0,0.8071417418892658,1.6470224330332552,1.2772425265413316
HD172028,SimonDiaz2017,B2 V,4.36,2.81,,16.0,91.0,0.5324974195351179,0.9541573932462036,0.6836883802478788
HD173936,SimonDiaz2017,B7 III,4.08,1.99,,25.0,120.0,0.8830629575731629,0.6018473955304237,0.6736337213315196
HD174298,SimonDiaz2017,B1.5 IV,4.37,2.87,,16.0,31.0,0.5455073270826701,0.9968970814559338,0.7132083223437338
HD175156,SimonDiaz2017,B5 II,4.15,3.24,,22.0,22.0,1.0014894955808484,1.0204302871126694,1.3544220660094024
