star,sample,tier,logTeff,logLspec,alpha0,a0flag,nuchar,gamma,vsini,tau,logM,logR,frot,rotflag
HD 152147,Bowman2020_Galactic,A,4.48,4.04,3879.566,1,1.1396,2.43834,91.0,0.9707602298223088,1.506968824003399,1.3352103739025545,0.0831271496432049,0
HD 36960,Bowman2020_Galactic,A,4.46,3.31,30.868,1,1.83618,2.46009,23.0,0.6135945461120834,1.1912917959365676,0.8551921512731956,0.0634523272652559,0
HD 37042,Bowman2020_Galactic,A,4.47,3.06,57.494,1,1.20717,1.84494,33.0,0.0865192137797175,1.1459634542053667,0.6867355078599936,0.1341807771133454,0
HD 43112,Bowman2020_Galactic,A,4.41,2.95,6.269,1,0.76982,1.16679,7.0,0.4104901116350142,1.0406403184355757,0.7002558792204301,0.0275901480898582,0
HD 35912,Bowman2020_Galactic,A,4.26,2.44,241.602,1,2.08064,3.01021,11.0,0.6094850306305746,0.7967056547732675,0.6211315469613601,0.0520203187488193,0
HD 48977,Bowman2020_Galactic,A,4.25,2.61,311.431,1,1.46731,2.33096,26.0,0.8200024255482423,0.8323432673110056,0.7460196906592015,0.092228581276956,0
HD 34816,Bowman2020_Galactic,A,4.46,3.22,61.383,1,0.66173,1.34255,25.0,0.4742991638353563,1.1748806963772855,0.7963740915534597,0.0789728457474039,0
HD 46328,Bowman2020_Galactic,A,4.4,3.28,54.479,1,1.08885,1.34896,7.0,0.8118010081864728,1.1106187171256414,0.9102904219989782,0.0170105943756863,0
HD 50707,Bowman2020_Galactic,A,4.38,3.31,132.11,1,4.27661,1.75206,29.0,0.8885349540277346,1.105618743762696,0.9665356808222548,0.0619119079346551,0
HD 37481,Bowman2020_Galactic,A,4.34,2.78,26.284,1,1.23368,3.20558,74.0,0.5954796470377064,0.9541379175170231,0.7057471647606521,0.2880026114578126,0
HD 37209,Bowman2020_Galactic,A,4.38,2.76,26.461,1,0.826,2.35097,50.0,0.2153089258405136,0.999023744017334,0.6310609134771409,0.2311111835363845,0
HD 26912,Bowman2020_Galactic,A,4.2,2.61,299.788,1,1.15152,3.05793,53.0,0.9828158772562232,0.7769166466473411,0.8184656138245314,0.1591190314298053,0
HD 37711,Bowman2020_Galactic,A,4.21,2.61,916.636,1,0.86817,3.34037,68.0,0.9347248166993628,0.7985493570714742,0.8096843517866301,0.2083226213392725,0
HD 57539,Bowman2020_Galactic,A,4.13,2.54,154.777,1,2.60349,3.06784,162.0,1.0004666705504917,0.7361177789398596,0.9050402193124004,0.3984617756836152,0
HD 41753,Bowman2020_Galactic,A,4.23,2.61,302.331,1,1.27728,3.47522,25.0,0.8699836036905976,0.8193563482867627,0.777221658556668,0.0825334920644304,0
HD 224990,Bowman2020_Galactic,A,4.13,2.33,23.296,1,1.57162,2.09149,20.0,0.97718050426462,0.676249475485519,0.7642216986865754,0.0680330854693846,0
HD 48434,Bowman2020_Galactic,A,4.48,3.93,1647.09,1,1.47146,2.00588,48.0,0.9684979306275828,1.4310940322866763,1.2452680863768848,0.0539367807506502,0
HD 61068,Bowman2020_Galactic,A,4.39,3.08,198.12,1,1.36075,1.35714,12.0,0.7150018986929697,1.0369236698203836,0.8052112538579399,0.0371434177604494,0
HD 35468,Bowman2020_Galactic,A,4.29,2.99,86.576,1,0.80155,1.95155,53.0,0.9286252286936396,0.95101573592021,0.9081110029621104,0.1294424538808583,0
HD 44743,Bowman2020_Galactic,A,4.37,3.2,133.771,1,1.96975,1.3504,24.0,0.8570278710433393,1.073236256610726,0.9195959754525002,0.0570856745214077,0
HD 54764,Bowman2020_Galactic,A,4.3,3.97,1949.927,1,0.96136,2.04624,123.0,1.0007557699214384,1.4073810075712794,1.6136058346507904,0.0591849312616719,0
HD 52089,Bowman2020_Galactic,A,4.34,3.6,222.135,1,1.30671,1.63586,26.0,1.0007796654674532,1.1914190617246383,1.241907865788649,0.0294426809572268,0
HD 51309,Bowman2020_Galactic,A,4.2,3.64,1572.988,1,0.66617,2.15494,27.0,1.0017714519902252,1.20222027716509,1.5447746100535722,0.0152230272527774,0
HD 46769,Bowman2020_Galactic,A,4.11,3.16,6.763,1,1.02897,2.76723,70.0,1.001744091484536,0.9840144405580512,1.3738192721120517,0.0585046840971672,0
HD 27563,Bowman2020_Galactic,A,4.16,2.61,264.68,1,0.97211,3.49058,34.0,0.9992358279510868,0.7681664228417239,0.8921865613432267,0.0861398728682102,0
HD 53244,Bowman2020_Galactic,A,4.14,2.74,10.428,1,0.79102,3.30717,36.0,1.0010221505933696,0.8049780232159301,1.0155164788049182,0.0686590662367872,0
HD 37128,Bowman2020_Galactic,A,4.47,4.05,2562.785,1,0.87736,2.28089,55.0,0.9722600497694462,1.506525772480786,1.3581011402951342,0.0476621270462193,0
HD 38771,Bowman2020_Galactic,A,4.47,4.06,1159.94,1,0.87575,1.91176,53.0,0.9738601528018224,1.5173941383016063,1.3738673476064622,0.0442915004253572,0
HD 53138,Bowman2020_Galactic,A,4.23,4.13,1313.016,1,0.44918,2.39756,37.0,1.0003502727612903,1.5168025352029704,1.8912568925695616,0.0093941329508382,0
HD 39985,Bowman2020_Galactic,A,4.11,2.34,8.6,1,1.02655,1.82852,26.0,0.989525174297445,0.6842479746692163,0.8089936411818608,0.0797795491234154,0
HD 37061,Bowman2020_Galactic,A,4.49,3.07,34.886,1,1.64256,2.41671,210.0,0.0035505344775997,1.1734820721483672,0.6773417106675492,0.8725482560357171,1
HD 37742,Bowman2020_Galactic,A,4.47,4.15,829.56,1,1.41864,2.41592,122.0,0.9742900165711388,1.589312969853259,1.4540927856781272,0.0847576517273795,0
HD 57682,Bowman2020_Galactic,A,4.54,3.62,159.073,1,1.11609,1.16316,12.0,0.5504040255009541,1.372203916043905,0.9351554638179932,0.0275383333660245,0
HD 54879,Bowman2020_Galactic,A,4.52,3.16,32.96,1,1.26842,3.41894,7.0,0.0024062749965002,1.228136919215209,0.7070137235884227,0.0271641542044912,0
BD +36 4145,Shen2024_Galactic,A,4.553883026643875,3.75,208.88,1,3.97,1.985,,0.6435400859009561,1.4402862825486047,1.0117273196316183,,0
BD +62 2078,Shen2024_Galactic,A,4.587710965018911,3.74,283.13,1,0.24,1.11,38.0,0.4438863741161593,1.4926640138624827,0.9629525107610972,0.0817980511407679,0
HD 101190,Shen2024_Galactic,A,4.599883072073688,3.91,149.41,1,4.08,2.26,74.0,0.586504652052853,1.5687627612925166,1.0593878621245436,0.1275721069737724,0
HD 101223,Shen2024_Galactic,A,4.546542663478131,3.96,165.115,1,4.325,2.3049999999999997,63.0,0.7930667827402664,1.536088227798784,1.178079994938694,0.0826365971476618,0
HD 14434,Shen2024_Galactic,A,4.586587304671755,3.78,410.14,1,5.49,2.49,,0.5153893510287965,1.5009468881294568,0.9910568381124018,,0
HD 149038,Shen2024_Galactic,A,4.474216264076255,4.11,3354.41,1,0.49,1.66,90.0,0.9877798200243488,1.5397990819597227,1.3995938542165995,0.0708860090727829,0
HD 15629,Shen2024_Galactic,A,4.6211762817750355,4.08,438.36,1,3.49,2.17,64.0,0.6558295197430501,1.697005212061186,1.1712072870984995,0.085287337663273,0
HD 188209,Shen2024_Galactic,A,4.478566495593843,4.26,10333.025,1,0.255,1.44,93.0,0.936146132063726,1.6788562928909103,1.5357459362410113,0.0535363653516457,0
HD 191978,Shen2024_Galactic,A,4.553883026643875,3.8,179.64,1,1.435,1.4449999999999998,82.0,0.6939363277410057,1.4613117338323467,1.0494964110772969,0.1446203179724848,0
HD 192001,Shen2024_Galactic,A,4.518513939877887,3.63,242.42,1,1.04,1.25,57.0,0.6918021436870434,1.3668902751316976,0.996054746832922,0.1136925427374923,0
HD 193595,Shen2024_Galactic,A,4.578639209968072,3.91,223.33,1,2.615,1.565,61.0,0.6805399484416785,1.5414646173248132,1.094464754653612,0.0970011651952814,0
HD 207198,Shen2024_Galactic,A,4.519827993775719,4.16,866.89,1,1.37,1.79,97.0,0.8791580480641985,1.6532451124076732,1.3893309590789842,0.0782262742010733,0
HD 209975,Shen2024_Galactic,A,4.505149978319906,4.11,1155.35,1,0.92,1.72,104.0,0.8934692542315226,1.6113272613123486,1.374405995815137,0.0868038952584663,0
HD 210839,Shen2024_Galactic,A,4.553883026643875,4.14,751.0,1,1.85,2.29,,0.8290135512188054,1.6630148900635735,1.3164964370686305,,0
HD 214680,Shen2024_Galactic,A,4.546542663478131,3.69,107.76,1,0.23,1.1,43.0,0.6073065451328509,1.4073637430346393,0.9767194112958112,0.0896728380730765,1
HD 216532,Shen2024_Galactic,A,4.547774705387822,3.54,78.345,1,2.785,1.89,54.0,0.3762114226326046,1.3753566307362848,0.8813098531962474,0.1402800065183983,0
HD 217086,Shen2024_Galactic,A,4.576341350205793,3.7,233.62,1,4.87,2.03,,0.4604890030335478,1.4624378989554767,0.9513601487861252,,0
HD 218915,Shen2024_Galactic,A,4.492760389026838,4.14,4272.76,1,0.645,1.68,88.0,0.9171024326500696,1.6183580975805691,1.4183633877003805,0.06637906873975,0
HD 225146,Shen2024_Galactic,A,4.451786435524291,4.09,16275.175,1,0.1149999999999999,1.235,88.0,0.9940964896071678,1.5283494425173372,1.4303316203430372,0.0645747781148444,1
HD 228841,Shen2024_Galactic,A,4.576341350205793,3.82,254.58,1,5.0649999999999995,2.15,,0.6070383242776017,1.4998677817960784,1.0281527253453098,,0
HD 34078,Shen2024_Galactic,A,4.537819095073274,3.47,163.36,1,0.25,1.47,32.0,0.3300551821275403,1.3392593288914607,0.8498911960782237,0.0893656570902128,1
HD 34656,Shen2024_Galactic,A,4.556302500767287,4.12,854.25,1,2.08,1.79,77.0,0.8195098068331892,1.653440335260985,1.2962274739663755,0.0769440641780383,0
HD 41161,Shen2024_Galactic,A,4.546542663478131,3.74,221.85,1,5.86,2.39,,0.6724862916482981,1.4297495604491326,1.0211496865750982,,0
HD 46485,Shen2024_Galactic,A,4.557507201905658,3.74,720.44,1,2.485,2.16,,0.610580700609532,1.441142166307547,0.9965137901879276,,0
HD 47432,Shen2024_Galactic,A,4.463892988985907,4.21,6386.69,1,0.27,1.5,63.0,0.9578684579803692,1.6329402857367523,1.5100000909897684,0.0384815298456976,0
HD 5689,Shen2024_Galactic,A,4.565847818673518,3.93,394.02,1,4.4,2.52,,0.7274596222934478,1.5361978964998697,1.1227197189560068,,0
HD 64568,Shen2024_Galactic,A,4.671172842715083,4.14,119.97,1,5.18,2.08,53.0,0.4995301241358965,1.832422486106832,1.16645273921215,0.0714060485978692,0
HD 68450,Shen2024_Galactic,A,4.48572142648158,4.02,662.8149999999999,1,2.315,1.9,77.0,0.9771042566144486,1.4879225182245983,1.3059219685372905,0.0752455164609393,0
HD 76556,Shen2024_Galactic,A,4.578639209968072,3.8,1487.44,1,0.81,1.37,,0.5775226396483422,1.4956445081499294,1.012464032456788,,0
HD 91572,Shen2024_Galactic,A,4.588831725594207,3.91,2486.61,1,0.3399999999999999,1.325,57.0,0.6420965699133437,1.5587212589844688,1.0823164485820516,0.0932116676170753,0
HD 92504,Shen2024_Galactic,A,4.54282542695918,3.86,112.25,1,3.465,1.935,63.0,0.7652840259488654,1.481184238703226,1.1083014277821448,0.0970400457110676,0
