filename,id,latest_version_id,content_type,size_bytes
hrd_interpolated_grids.csv.gz,bead8790-df38-411d-912f-1d3842143552,d3831844-670a-4cca-8b73-0d5e811d5be0,application/gzip,2725182
hrd_interpolated_grids.npz,22b79dec-3654-4f1c-b7ad-cf764df8bfeb,f5c14708-ab5f-49ee-80d0-6f10dff2e615,application/octet-stream,1320739
hrd_interpolated_grids_v2.csv.gz,8d3f89fe-6d29-4a45-9a43-485974717880,5b2880c6-9f55-4b1c-9ee7-c64aef1d4653,application/gzip,3243458
hrd_interpolated_grids_v2.npz,bb1c2052-1d66-4636-a82a-8323817e55fd,b8244da2-cc76-42f7-8a0d-5fce81fd5677,application/octet-stream,1626075
hrd_predictions_tracks.csv,64230693-f072-487d-80f4-426625c0bde5,b668d06f-0a59-4341-add4-7257d425fd3b,text/csv,887
macroturbulence_catalog.csv,eb1c1c6b-01ff-4071-9253-cfd6caafcbfd,624e462d-5471-47ac-970b-0a2969ee8d7b,text/csv,58812
macroturbulence_evol.csv,6b3e46fe-2ece-4a47-802e-e009fc597738,dd29c64d-df65-4121-9718-725a60a3a01e,text/csv,170689
main.tex,e178fda9-d639-4024-8ed6-582943b757f8,11177316-08dd-4a4b-9d79-fe401ed14920,text/x-latex,47095
make_figures.py,3e4fe81c-3875-426b-b6fa-60978017d4c1,f26bb5b8-9197-43f7-bce8-ad2f79838277,text/x-python,24662
manuscript.pdf,3e7c019f-834b-4dfc-a77f-162f5c3cfa0c,0ede482b-bac6-4fb7-ad16-51024dcf1ed0,application/pdf,1518004
master_rednoise_catalog.csv,c6c7fc80-0afc-4cc5-adad-aa5cbb642fb5,5839b5b3-8289-4dc9-8a3d-0b85890bfa1b,text/csv,44265
master_rednoise_catalog.parquet,84f62491-3e02-4650-8a03-eea9a874acaa,74af49a5-bdf0-4502-9527-dcdc8e4bdcbc,application/octet-stream,36814
master_rednoise_catalog_v2.csv,6f94c5ae-ca30-4884-b67e-a4b68ef95d23,d34b640a-c471-47b8-b121-acd7515e5b97,text/csv,91338
master_rednoise_catalog_v2.parquet,b50bc8f1-8a2e-4782-9b07-38e09a626d40,000f7d1a-4ac6-4eec-81a1-3629b5611e2f,application/vnd.apache.parquet,55522
multivariate_fits.csv,43a9cbc1-a081-48af-9b76-ca50c9a27ea8,ce1a8752-19f2-4c60-9d5a-4fcc1215c818,text/csv,446
multivariate_fits_v2.csv,1dbe2d6b-67ab-4e71-939b-d5f048388bb7,8bb974e0-2801-4ae8-92cb-b0f326559d01,text/csv,1463
outliers.csv,dc10a364-32ae-47b4-8626-6ff2bc849006,b5bba187-c947-485b-b84d-2a7dae2a5c72,text/csv,769
outline.md,d1e52b22-a6ff-4fb1-a35c-33a8c3b3869b,a458ad17-aaae-449f-9bf4-e5bf4c9fb4e1,text/markdown,3673
paper_bundle.tar.gz,22959bf5-8abd-4f16-a27f-dcff952a04b3,ad4296c7-ab24-400b-a014-9c74e97aabfd,application/gzip,1438706
rednoise_sHRD_extended.csv,688ad68e-82f1-474c-8a15-e4e9db9c9bd9,25e3a1a8-3657-4c9f-8a40-1b401094d429,text/csv,31641
rednoise_sHRD_extended_evol.csv,27e0d391-37bd-41e1-b1f0-a57adb74fea0,114af09b-6e33-4161-a82e-8948b966202a,text/csv,95135
refs.bib,b0392b40-427c-4bdf-804a-046e216a96b5,6fb38479-5dfb-4c58-bc0e-adbd2caac61a,text/plain,15567
report.html,cfa8931b-b7d2-4bef-b411-47b320d1d9e9,1e05e523-90a9-48ec-b377-20a0185287a4,text/html,2741665
report.md,0751d772-4dbd-4506-9a30-7b049d0a9024,b49fdb35-a458-4501-bfc9-58b0cd41b96c,text/markdown,13748
report.pdf,845e23c0-19fe-43b1-bcf6-9b4932c11594,d33bf73d-3f0b-4ec9-afff-4d7b864c159d,application/pdf,4909837
report_v2.html,e94dc554-0ec5-4929-acb8-f969fe170abc,150f493f-9186-4777-9397-00206c0c8a46,text/html,4416379
report_v2.md,a5c14559-e78a-48ba-8ee4-3c67f9417689,7a20fea4-b15f-44c9-b1dd-1bed70cc073c,text/markdown,22893
report_v2.pdf,1c741751-7830-482c-939b-11066dd51291,c8a7a69c-57b0-4609-b42f-378a91755bd5,application/pdf,6105859
rotation_test.csv,9fcc42a5-7dd8-4b1e-86f2-77c818774da0,9f5de9cc-6249-4398-a75d-4f4283c9cf6a,text/csv,253
tab_fits.tex,760d0ee3-ae25-43c4-b4b3-0de8ca9798a9,44170422-fb30-42bd-8eca-92c0c67a54cd,text/x-latex,1892
tab_onset.tex,b9d43635-521b-4c9b-b745-79a25b52b3e0,f3481a01-341c-4d65-9b50-ed40be2dca02,text/x-latex,1389
tab_regions.tex,ec6686b5-3083-412d-b7c3-074cc2c4172e,05730e91-06d3-44c4-bed0-5f8cc8a91f23,text/x-latex,837
tab_samples.tex,320f52d1-078e-4723-bddd-d5da5a2c84d4,5047560d-0bb8-47a8-b4b0-6df4e80742a4,text/x-latex,1942
tab_vmac.tex,1ae9edb1-9860-4738-87c8-6b9fd0b445fc,88dd1b2c-d06b-4cb3-9d6f-035e560953c8,text/x-latex,716
table_macroturbulence.csv,4aa640b5-d88c-452d-a3e6-f0fb9b62f1cb,ee54df1c-579f-42bb-9c24-f203653d1ad2,text/csv,101639
table_macroturbulence.mrt,ab5ed620-ba36-4d28-920e-35aa3ed627f5,1b60a940-5035-4928-900e-0907a8e41aa1,application/octet-stream,78645
table_rednoise_shrd.csv,84b910a2-11cf-4abb-a73d-37f54ba61de5,295de78b-5f8d-44c1-9b25-fff24a280642,text/csv,50766
table_rednoise_shrd.mrt,b74dbc49-34fa-48fe-9ab6-72520d6e1e51,8db52ec1-93be-4675-98c1-94b483cb3799,application/octet-stream,45380
theory_predictions.md,7e0c0256-5f93-4f26-9c61-55de97f61cb9,914e85ed-31ae-46ef-a8f1-f36817d4899c,text/markdown,8223
