quantity,mass,dlog_median,dlog_p05,dlog_p95,dlog_median_late_MS,frac_MS_both_have_FeCZ
b_FeCZ_max,12,0,0,0,0,1
b_FeCZ_max,13,0,0,0,0,1
b_FeCZ_max,14,0,0,0,0,1
b_FeCZ_max,15,0,0,0,0,1
b_FeCZ_max,16,0,0,0,0,1
b_FeCZ_max,17,0,0,0,0,1
b_FeCZ_max,18,0,0,0,0,1
b_FeCZ_max,19,0,0,0.005168,0,1
b_FeCZ_max,20,0,0,0.03053,0.014,1
b_FeCZ_max,21,0,0,0.05719,0.04475,1
b_FeCZ_max,22,0,0,0.07324,0.06883,1
b_FeCZ_max,23,0,0,0.08893,0.08516,1
b_FeCZ_max,24,0,0,0.1007,0.0988,1
b_FeCZ_max,25,0,0,0.1093,0.1091,1
b_FeCZ_max,30,0.1109,0,0.155,0.1383,1
b_FeCZ_max,40,0.168,0.0001007,0.2184,0.1282,0.82
b_FeCZ_max,50,0.2265,0.1387,0.2545,nan,0.66
b_FeCZ_max,60,0.2388,0.1548,0.2795,nan,0.51
FeCZ_B_shutoff_conv,7,0,0,0,0,0.22
FeCZ_B_shutoff_conv,7.5,0,0,0,0,0.45
FeCZ_B_shutoff_conv,8,0,0,0,0,0.63
FeCZ_B_shutoff_conv,9,0,0,0,0,0.9
FeCZ_B_shutoff_conv,10,0,0,0,0,1
FeCZ_B_shutoff_conv,11,0,0,0,0,1
FeCZ_B_shutoff_conv,12,0,0,0,0,1
FeCZ_B_shutoff_conv,13,0,0,0,0,1
FeCZ_B_shutoff_conv,14,0,0,0,0,1
FeCZ_B_shutoff_conv,15,0,0,0,0,1
FeCZ_B_shutoff_conv,16,0,0,0,0,1
FeCZ_B_shutoff_conv,17,0,0,0,0,1
FeCZ_B_shutoff_conv,18,0,0,0,0,1
FeCZ_B_shutoff_conv,19,0,0,0.00941,0,1
FeCZ_B_shutoff_conv,20,0,0,0.06223,0.02355,1
FeCZ_B_shutoff_conv,21,0,0,0.1248,0.08619,1
FeCZ_B_shutoff_conv,22,0,0,0.2118,0.1574,1
FeCZ_B_shutoff_conv,23,0,0,0.3658,0.2552,1
FeCZ_B_shutoff_conv,24,0,0,1.076,0.4671,1
FeCZ_B_shutoff_conv,25,0,0,1.268,1.011,1
FeCZ_B_shutoff_conv,30,0.08367,0,1.337,0.263,1
FeCZ_B_shutoff_conv,40,0.2504,-0.1912,1.294,0.05925,0.82
FeCZ_B_shutoff_conv,50,0.2643,-0.3811,1.27,nan,0.66
FeCZ_B_shutoff_conv,60,0.06628,-0.3956,0.5132,nan,0.51
