scenario,v_pred,a_pred,nu_pred,vmac_n,vmac_rms,vmac_dBIC,vmac_floor,vmac_a,vmac_slope_logL,vmac_slope_logTeff,vmac_slope_tau,vmac_slope_logM,vmac_hot_n,vmac_hot_rms,vmac_hot_dBIC,vmac_hot_floor,vmac_hot_a,vmac_hot_slope_logL,vmac_hot_slope_logTeff,vmac_hot_slope_tau,vmac_hot_slope_logM,alpha0_n,alpha0_rms,alpha0_dBIC,alpha0_floor,alpha0_a,alpha0_slope_logL,alpha0_slope_logTeff,alpha0_slope_tau,alpha0_slope_logM,nuchar_n,nuchar_rms,nuchar_dBIC,nuchar_a,nuchar_slope_logL,nuchar_slope_logTeff,nuchar_slope_tau,nuchar_slope_logM,joint_dBIC,ratio_logL,ratio_tau,ratio_logM
S0 MLT at the FeCZ,"v_c,max",F_c/F,1/(2pi t_c),530,0.2258,29.49,32.01,-0.1414,0.359,-0.5523,0.3154,0.5002,455,0.2171,105.6,33.58,-0.1616,0.4122,-0.2562,0.2963,0.6117,180,0.4418,35.15,169.8,3.799,1.377,-3.547,1.392,1.193,173,0.4793,51.09,0.6174,0.7252,0.4814,0.5359,1.194,115.7,3.835,4.414,2.384
S1 incoherent cells,"v_c,max",F_c/F x cells,1/(2pi t_c),530,0.2258,29.49,32.01,-0.1414,0.359,-0.5523,0.3154,0.5002,455,0.2171,105.6,33.58,-0.1616,0.4122,-0.2562,0.2963,0.6117,180,0.432,27.02,188.1,4.886,1.468,-4.066,1.435,1.189,173,0.4793,51.09,0.6174,0.7252,0.4814,0.5359,1.194,107.6,4.091,4.55,2.376
S2 Cantiello+09 microturbulence,C09 microturb,M_s^2 [C09 microturb],v_s/(2pi H_s) [C09 microturb],530,0.2279,39.42,31.95,-0.707,0.3785,-0.7649,0.3874,0.4492,455,0.22,117.5,33.59,-0.727,0.4031,-0.5844,0.3804,0.4929,180,0.463,51.98,186.1,1.804,1.225,-3.31,1.325,0.9873,173,0.5728,112.7,-1.067,1.134,-1.251,1.23,1.255,204.1,3.237,3.42,2.198
"S3 M_x F_c waves, v saturated","sat[wave M_x F_c, v_g=v]",M_x F_c/F,1/(2pi t_c),529,0.2222,14.38,25.33,-0.05116,0.3202,-0.2179,0.3012,0.5197,455,0.2105,77.52,21.65,-0.003659,0.3969,-0.1476,0.3739,0.5762,180,0.4512,42.72,192.7,4.227,1.321,-3.428,1.305,1.155,173,0.4793,51.09,0.6174,0.7252,0.4814,0.5359,1.194,108.2,4.125,4.333,2.224
"S3t M_t F_c waves, v saturated","sat[wave M_t F_c, v_g=v]",M_t F_c/F,1/(2pi t_c),529,0.2211,9.171,25.4,-0.04701,0.3262,-0.2289,0.3036,0.528,455,0.2095,73.25,21.84,-0.001453,0.4057,-0.1433,0.3736,0.5921,180,0.4516,43.04,194.2,4.24,1.322,-3.429,1.3,1.16,173,0.4793,51.09,0.6174,0.7252,0.4814,0.5359,1.194,103.3,4.051,4.28,2.197
"S3c as S3, cells-diluted flux","sat[wave M_x F_c, v_g=v]",M_x F_c/F x cells,1/(2pi t_c),529,0.2222,14.38,25.33,-0.05116,0.3202,-0.2179,0.3012,0.5197,455,0.2105,77.52,21.65,-0.003659,0.3969,-0.1476,0.3739,0.5762,180,0.4427,35.82,207,5.301,1.4,-3.883,1.345,1.145,173,0.4793,51.09,0.6174,0.7252,0.4814,0.5359,1.194,101.3,4.371,4.465,2.203
S4 core IGW (undamped),"core IGW, v_g=c_s",core IGW flux/F*,core turnover,531,0.2181,-6.519,19.23,-0.1105,0.302,0.0744,0.1147,0.6071,455,0.1971,17.68,10.07,-0.01465,0.4703,0.4885,0.1225,0.9058,180,0.5373,105.6,1.038e-06,6.246,0.4418,0.06391,0.1727,0.7903,180,0.4292,16.26,2.399,0.1934,-0.6263,0.2587,0.1042,115.3,1.463,1.505,1.302
