sample,y,x,coef,lo,hi,n_rows,n_tracks
MW w0.2 | tau+logM,log_rho,tau,-0.5348,-0.6387,-0.4913,2362,18
MW w0.2 | tau+logM,log_rho,logM,-2.1754,-2.3223,-1.9632,2362,18
MW w0.2 | tau+logM,log_nuc,tau,0.1503,-0.0112,0.3988,2362,18
MW w0.2 | tau+logM,log_nuc,logM,1.3517,0.9522,1.6049,2362,18
MW w0.4 | sHRD domain,log_v,logLspec,2.1836,2.0584,2.2913,3890,26
MW w0.4 | sHRD domain,log_v,logTeff,-7.2372,-7.6346,-6.6676,3890,26
MW w0.4 | sHRD domain,log_F,logLspec,4.1219,3.9896,4.2643,3890,26
MW w0.4 | sHRD domain,log_F,logTeff,-12.4803,-13.4460,-11.6421,3890,26
MW w0.4 | sHRD domain,log_rho,logLspec,-1.5197,-1.6060,-1.4296,3390,26
MW w0.4 | sHRD domain,log_rho,logTeff,1.8856,1.5854,2.0790,3390,26
MW w0.4 | sHRD domain,log_nuc,logLspec,0.7676,0.7024,0.8407,3390,26
MW w0.4 | sHRD domain,log_nuc,logTeff,-3.4061,-3.9531,-2.7943,3390,26
MW w0.4 | sHRD domain,log_mach,logLspec,2.0714,1.9660,2.1744,3390,26
MW w0.4 | sHRD domain,log_mach,logTeff,-8.1743,-8.7454,-7.4295,3390,26
"MW w0.4 | hot, 3.16<logL<3.70",log_v,logLspec,2.3565,2.2451,2.5020,2295,16
"MW w0.4 | hot, 3.16<logL<3.70",log_v,logTeff,-8.7635,-9.0559,-8.4615,2295,16
"MW w0.4 | hot, 3.16<logL<3.70",log_F,logLspec,4.3227,4.2129,4.4590,2295,16
"MW w0.4 | hot, 3.16<logL<3.70",log_F,logTeff,-15.2010,-15.6576,-14.6563,2295,16
"MW w0.4 | hot, 3.16<logL<3.70",log_mach,logLspec,2.3282,2.2149,2.4598,2026,16
"MW w0.4 | hot, 3.16<logL<3.70",log_mach,logTeff,-9.9918,-10.2306,-9.7377,2026,16
"MW w0.4 | hot, 3.70<logL<4.40",log_v,logLspec,2.5775,2.1561,2.9215,1397,13
"MW w0.4 | hot, 3.70<logL<4.40",log_v,logTeff,-1.1198,-2.0853,-0.1675,1397,13
"MW w0.4 | hot, 3.70<logL<4.40",log_F,logLspec,3.2242,2.6580,3.7228,1397,13
"MW w0.4 | hot, 3.70<logL<4.40",log_F,logTeff,-3.9424,-5.2488,-2.5563,1397,13
"MW w0.4 | hot, 3.70<logL<4.40",log_mach,logLspec,1.4755,1.1580,1.8438,1273,13
"MW w0.4 | hot, 3.70<logL<4.40",log_mach,logTeff,-0.9784,-1.8880,-0.2894,1273,13
MW w0.4 | tau+logM,log_v,tau,1.8647,1.7766,1.9568,3587,18
MW w0.4 | tau+logM,log_v,logM,1.2556,0.7724,1.5716,3587,18
MW w0.4 | tau+logM,log_F,tau,3.3783,3.2846,3.4614,3587,18
MW w0.4 | tau+logM,log_F,logM,2.4200,1.8311,2.7480,3587,18
MW w0.4 | tau+logM,log_rho,tau,-0.7323,-0.7874,-0.6799,3187,18
MW w0.4 | tau+logM,log_rho,logM,-1.8510,-1.9657,-1.6771,3187,18
MW w0.4 | tau+logM,log_nuc,tau,0.7462,0.6617,0.8447,3187,18
MW w0.4 | tau+logM,log_nuc,logM,0.3457,-0.0421,0.6221,3187,18
