w,region,n_cells,median_offset_dex,p16,p84,offset_dlogL,offset_dlogT,model_dlogL,model_dlogT,gp_dlogL,gp_dlogT
0.000,OB (logT>4.3),3491,0.489,0.325,0.616,0.057,-1.127,-0.306,2.964,-0.249,1.837
0.000,all,7114,0.788,0.429,1.671,-0.038,-2.152,-0.120,2.763,-0.158,0.611
0.200,OB (logT>4.3),3402,0.489,0.267,1.004,-0.455,-0.055,0.227,1.888,-0.228,1.833
0.200,all,6712,0.930,0.375,1.526,-0.221,-1.958,0.076,2.614,-0.145,0.657
0.400,OB (logT>4.3),3336,0.500,0.287,0.899,-0.335,0.361,0.081,1.511,-0.253,1.872
0.400,all,6903,0.897,0.397,1.596,-0.087,-1.943,-0.079,2.566,-0.165,0.623
