scenario,v_pred,a_pred,nu_pred,vmac_n,vmac_rms,vmac_dBIC,vmac_floor,vmac_a,vmac_slope_logL,vmac_slope_logTeff,vmac_slope_tau,vmac_slope_logM,vmac_hot_n,vmac_hot_rms,vmac_hot_dBIC,vmac_hot_floor,vmac_hot_a,vmac_hot_slope_logL,vmac_hot_slope_logTeff,vmac_hot_slope_tau,vmac_hot_slope_logM,alpha0_n,alpha0_rms,alpha0_dBIC,alpha0_floor,alpha0_a,alpha0_slope_logL,alpha0_slope_logTeff,alpha0_slope_tau,alpha0_slope_logM,nuchar_n,nuchar_rms,nuchar_dBIC,nuchar_a,nuchar_slope_logL,nuchar_slope_logTeff,nuchar_slope_tau,nuchar_slope_logM,joint_dBIC,ratio_logL_lo,ratio_logL_hi,ratio_tau_lo,ratio_tau_hi,ratio_logM_lo,ratio_logM_hi,ratio_logL,ratio_tau,ratio_logM
S0 MLT at the FeCZ,"v_c,max",F_c/F,1/(2pi t_c),460,0.227,-15.71,27.72,-0.003731,0.351,-0.2465,0.2363,0.5998,392,0.2158,47.82,25.8,0.02477,0.4819,0.02878,0.2598,0.8209,166,0.442,23.6,111,3.683,1.37,-3.171,1.309,1.26,163,0.4135,-1.421,0.4257,-0.3594,3.576,-0.8201,0.5738,6.464,3.569,4.422,5.057,6.426,1.901,2.398,3.903,5.538,2.1
S1 incoherent cells,"v_c,max",F_c/F x cells,1/(2pi t_c),460,0.227,-15.71,27.72,-0.003731,0.351,-0.2465,0.2363,0.5998,392,0.2158,47.82,25.8,0.02477,0.4819,0.02878,0.2598,0.8209,166,0.4353,18.48,163.6,4.832,1.452,-3.858,1.358,1.19,163,0.4135,-1.421,0.4257,-0.3594,3.576,-0.8201,0.5738,1.35,3.79,4.669,5.187,6.784,1.789,2.276,4.137,5.747,1.984
S2 Cantiello+09 microturbulence,C09 microturb,M_s^2 [C09 microturb],v_s/(2pi H_s) [C09 microturb],460,0.2824,185,47.52,-1.406,0.004993,-0.02303,0.006924,8.835e-05,392,0.269,220.8,51.7,-11.13,4.699e-13,-5.767e-12,1.375e-12,-1.03e-12,166,0.587,117.7,425.5,-7.066,6.179e-13,-2.614e-11,6.436e-12,-9.285e-12,163,0.6441,143,0.07236,-0.897,-1.337,-0.165,-2.12,445.8,-1.249e-05,135.3,1.518e-11,880.6,-160.2,1650,1.238e-10,9.295e-10,-1.051e-07
"S3 M_x F_c waves, v saturated","sat[wave M_x F_c, v_g=v]",M_x F_c/F,1/(2pi t_c),460,0.2366,22.23,22.52,-0.07783,0.237,0.1872,0.1202,0.5151,392,0.2091,23.14,3.904,0.1308,0.4339,0.2958,0.2482,0.7836,166,0.4485,28.41,136.3,4.195,1.354,-3.077,1.249,1.3,163,0.4135,-1.421,0.4257,-0.3594,3.576,-0.8201,0.5738,49.22,5.16,6.526,9.415,11.99,2.261,2.868,5.714,10.39,2.523
"S3t M_t F_c waves, v saturated","sat[wave M_t F_c, v_g=v]",M_t F_c/F,1/(2pi t_c),460,0.2358,19.21,22.6,-0.05246,0.2672,0.03317,0.1721,0.5137,392,0.2098,25.68,5.666,0.1413,0.4643,0.006973,0.3337,0.743,166,0.4201,6.691,132.8,5.167,1.531,-4.501,1.585,1.011,163,0.4135,-1.421,0.4257,-0.3594,3.576,-0.8201,0.5738,24.48,5.176,6.4,8.353,10.64,1.755,2.279,5.73,9.209,1.969
"S3c as S3, cells-diluted flux","sat[wave M_x F_c, v_g=v]",M_x F_c/F x cells,1/(2pi t_c),460,0.2366,22.23,22.52,-0.07783,0.237,0.1872,0.1202,0.5151,392,0.2091,23.14,3.904,0.1308,0.4339,0.2958,0.2482,0.7836,166,0.4455,26.18,179.2,5.316,1.381,-3.593,1.261,1.18,163,0.4135,-1.421,0.4257,-0.3594,3.576,-0.8201,0.5738,46.99,5.251,6.579,9.459,12.21,2.057,2.65,5.828,10.49,2.29
S4 core IGW (undamped),"core IGW, v_g=c_s",core IGW flux/F*,core turnover,463,0.2235,-27.15,18.11,-0.08556,0.2876,0.1838,0.09767,0.6291,392,0.2063,12.54,8.143,0.01756,0.4679,0.5376,0.1247,0.9399,166,0.5236,79.81,2.392e-06,6.219,0.462,0.005646,0.1929,0.8131,166,0.4208,5.862,2.421,0.2031,-0.6938,0.2574,0.09054,58.52,1.488,1.748,1.81,2.205,1.202,1.393,1.607,1.975,1.292
