scenario,v_pred,a_pred,nu_pred,vmac_n,vmac_rms,vmac_dBIC,vmac_floor,vmac_a,vmac_slope_logL,vmac_slope_logTeff,vmac_slope_tau,vmac_slope_logM,vmac_hot_n,vmac_hot_rms,vmac_hot_dBIC,vmac_hot_floor,vmac_hot_a,vmac_hot_slope_logL,vmac_hot_slope_logTeff,vmac_hot_slope_tau,vmac_hot_slope_logM,alpha0_n,alpha0_rms,alpha0_dBIC,alpha0_floor,alpha0_a,alpha0_slope_logL,alpha0_slope_logTeff,alpha0_slope_tau,alpha0_slope_logM,nuchar_n,nuchar_rms,nuchar_dBIC,nuchar_a,nuchar_slope_logL,nuchar_slope_logTeff,nuchar_slope_tau,nuchar_slope_logM,joint_dBIC,ratio_logL,ratio_tau,ratio_logM
S0 MLT at the FeCZ,"v_c,max",F_c/F,1/(2pi t_c),537,0.2146,-22.9,26.89,-0.03333,0.3612,-0.3031,0.2517,0.603,450,0.2053,54.05,25.44,-0.01459,0.4831,0.09572,0.2531,0.8276,180,0.4437,27.56,83.51,3.728,1.448,-3.247,1.534,1.421,177,0.3945,-15.25,0.4066,-0.5265,3.409,-0.9471,0.2271,-10.58,4.008,6.095,2.356
S1 incoherent cells,"v_c,max",F_c/F x cells,1/(2pi t_c),537,0.2146,-22.9,26.89,-0.03333,0.3612,-0.3031,0.2517,0.603,450,0.2053,54.05,25.44,-0.01459,0.4831,0.09572,0.2531,0.8276,180,0.4397,24.31,154.1,4.798,1.542,-4.076,1.592,1.33,177,0.3945,-15.25,0.4066,-0.5265,3.409,-0.9471,0.2271,-13.83,4.27,6.325,2.206
S2 Cantiello+09 microturbulence,C09 microturb,M_s^2 [C09 microturb],v_s/(2pi H_s) [C09 microturb],537,0.2816,268.9,45.7,-0.2009,0.08078,-0.3722,0.121,0.01487,450,0.2648,283.4,52.1,-0.3181,0.04367,-0.3252,0.09016,-0.01363,180,0.5994,135.9,306.1,4.376,0.4072,-3.454,0.9289,-0.5264,177,0.6352,153.4,0.2302,-0.5329,-3.201,0.4955,-2.004,558.1,5.041,7.677,-35.41
"S3 M_x F_c waves, v saturated","sat[wave M_x F_c, v_g=v]",M_x F_c/F,1/(2pi t_c),537,0.224,23.16,20.94,-0.04037,0.2424,0.1928,0.1109,0.5286,450,0.1977,20.29,0.5431,0.1604,0.4421,0.4657,0.2099,0.827,180,0.454,35.86,119.1,4.213,1.407,-3.079,1.431,1.438,177,0.3945,-15.25,0.4066,-0.5265,3.409,-0.9471,0.2271,43.77,5.803,12.9,2.72
"S3t M_t F_c waves, v saturated","sat[wave M_t F_c, v_g=v]",M_t F_c/F,1/(2pi t_c),537,0.2217,12.17,21.08,-0.01205,0.2862,-0.02262,0.1997,0.5342,450,0.1977,20.44,3.77,0.1652,0.487,0.08369,0.3521,0.7934,180,0.4153,3.792,131.9,5.208,1.653,-4.885,1.86,1.174,177,0.3945,-15.25,0.4066,-0.5265,3.409,-0.9471,0.2271,0.7143,5.776,9.315,2.198
"S3c as S3, cells-diluted flux","sat[wave M_x F_c, v_g=v]",M_x F_c/F x cells,1/(2pi t_c),537,0.224,23.16,20.94,-0.04037,0.2424,0.1928,0.1109,0.5286,450,0.1977,20.29,0.5431,0.1604,0.4421,0.4657,0.2099,0.827,180,0.451,33.46,171.2,5.268,1.476,-3.826,1.487,1.317,177,0.3945,-15.25,0.4066,-0.5265,3.409,-0.9471,0.2271,41.37,6.09,13.41,2.491
S4 core IGW (undamped),"core IGW, v_g=c_s",core IGW flux/F*,core turnover,537,0.2128,-32.05,18.84,-0.09782,0.2975,0.104,0.1,0.6189,450,0.1982,22.61,9.772,-0.009677,0.4669,0.5177,0.114,0.9089,180,0.5492,104.4,5.902,6.239,0.4403,0.1904,0.147,0.841,180,0.4288,16.07,2.398,0.2149,-0.5533,0.2561,0.1715,88.37,1.48,1.47,1.359
S5 v_c + M_t F_c/F + turnover,"v_c,max",M_t F_c/F,1/(2pi t_c),537,0.2146,-22.9,26.89,-0.03333,0.3612,-0.3031,0.2517,0.603,450,0.2053,54.05,25.44,-0.01459,0.4831,0.09572,0.2531,0.8276,180,0.4153,3.792,131.9,5.208,1.653,-4.885,1.86,1.174,177,0.3945,-15.25,0.4066,-0.5265,3.409,-0.9471,0.2271,-34.35,4.576,7.39,1.947
