scenario,v_pred,a_pred,nu_pred,vmac_n,vmac_rms,vmac_dBIC,vmac_floor,vmac_a,vmac_slope_logL,vmac_slope_logTeff,vmac_slope_tau,vmac_slope_logM,vmac_hot_n,vmac_hot_rms,vmac_hot_dBIC,vmac_hot_floor,vmac_hot_a,vmac_hot_slope_logL,vmac_hot_slope_logTeff,vmac_hot_slope_tau,vmac_hot_slope_logM,alpha0_n,alpha0_rms,alpha0_dBIC,alpha0_floor,alpha0_a,alpha0_slope_logL,alpha0_slope_logTeff,alpha0_slope_tau,alpha0_slope_logM,nuchar_n,nuchar_rms,nuchar_dBIC,nuchar_a,nuchar_slope_logL,nuchar_slope_logTeff,nuchar_slope_tau,nuchar_slope_logM,joint_dBIC,ratio_logL,ratio_tau,ratio_logM
S0 MLT at the FeCZ,"v_c,max",F_c/F,1/(2pi t_c),530,0.2173,-11.49,28.7,-0.05537,0.3639,-0.3208,0.2426,0.5958,456,0.2075,64.42,28.04,-0.04613,0.4655,0.03705,0.2354,0.7866,180,0.4416,34.95,108.3,3.7,1.367,-3.063,1.369,1.315,177,0.4061,-4.785,0.4333,-0.4259,3.755,-0.9289,0.4685,18.68,3.756,5.643,2.207
S1 incoherent cells,"v_c,max",F_c/F x cells,1/(2pi t_c),530,0.2173,-11.49,28.7,-0.05537,0.3639,-0.3208,0.2426,0.5958,456,0.2075,64.42,28.04,-0.04613,0.4655,0.03705,0.2354,0.7866,180,0.4332,28.06,168.3,4.787,1.478,-3.917,1.438,1.257,177,0.4061,-4.785,0.4333,-0.4259,3.755,-0.9289,0.4685,11.79,4.062,5.93,2.11
S2 Cantiello+09 microturbulence,C09 microturb,M_s^2 [C09 microturb],v_s/(2pi H_s) [C09 microturb],530,0.2792,254,46.4,-0.2941,0.06815,-0.2999,0.09459,0.01543,456,0.265,287.7,54.73,-1.073,0.006991,-0.06628,0.01684,-0.006454,180,0.5973,143.7,330.9,4.121,0.2914,-2.165,0.5761,-0.3148,177,0.6412,156.8,0.07936,-0.8527,-1.583,-0.09376,-2.077,554.5,4.276,6.091,-20.41
"S3 M_x F_c waves, v saturated","sat[wave M_x F_c, v_g=v]",M_x F_c/F,1/(2pi t_c),530,0.2245,22.94,22.35,-0.06693,0.2596,0.158,0.125,0.5384,456,0.1996,29.16,5.135,0.112,0.4425,0.3271,0.2355,0.788,180,0.4485,40.57,134.8,4.204,1.362,-3.001,1.313,1.363,177,0.4061,-4.785,0.4333,-0.4259,3.755,-0.9289,0.4685,58.72,5.247,10.5,2.532
"S3t M_t F_c waves, v saturated","sat[wave M_t F_c, v_g=v]",M_t F_c/F,1/(2pi t_c),530,0.2235,18.36,22.52,-0.04655,0.2874,0.01127,0.1786,0.5382,456,0.2003,32.58,7.218,0.1164,0.4655,0.06999,0.3166,0.7525,180,0.4089,7.272,135,5.141,1.57,-4.636,1.7,1.083,177,0.4061,-4.785,0.4333,-0.4259,3.755,-0.9289,0.4685,20.85,5.463,9.515,2.013
"S3c as S3, cells-diluted flux","sat[wave M_x F_c, v_g=v]",M_x F_c/F x cells,1/(2pi t_c),530,0.2245,22.94,22.35,-0.06693,0.2596,0.158,0.125,0.5384,456,0.1996,29.16,5.135,0.112,0.4425,0.3271,0.2355,0.788,180,0.4445,37.3,184.3,5.262,1.416,-3.675,1.342,1.25,177,0.4061,-4.785,0.4333,-0.4259,3.755,-0.9289,0.4685,55.45,5.454,10.73,2.322
S4 core IGW (undamped),"core IGW, v_g=c_s",core IGW flux/F*,core turnover,532,0.2127,-32.36,18.72,-0.1005,0.3149,0.08146,0.1108,0.6349,456,0.1975,19.32,10.44,-0.01952,0.4718,0.4595,0.1233,0.9035,180,0.5374,105.6,1.373e-06,6.257,0.4545,0.02937,0.1885,0.8002,180,0.4279,15.15,2.405,0.1705,-0.5905,0.2439,0.0747,88.43,1.443,1.702,1.26
S5 v_c + M_t F_c/F + turnover,"v_c,max",M_t F_c/F,1/(2pi t_c),530,0.2173,-11.49,28.7,-0.05537,0.3639,-0.3208,0.2426,0.5958,456,0.2075,64.42,28.04,-0.04613,0.4655,0.03705,0.2354,0.7866,180,0.4089,7.272,135,5.141,1.57,-4.636,1.7,1.083,177,0.4061,-4.785,0.4333,-0.4259,3.755,-0.9289,0.4685,-9,4.314,7.007,1.818
