model_number,Minit,M,Xc,logTeff,logL,logLspec,tau_Fe,beta_Fe,kap_Fe,T_Fe,r_Fe_R,Gamma_Fe,Y_Fe,tau_ratio,v_c,mach_max,tau_crit,t_th_zone,t_th_above,t_th_peak,t_th_top,nu_turn,FeCZ_ncells,tau_top,tau_bot,nu_th_zone,nu_th_above,nu_th_peak,nu_th_top
7905,120,118.552,0.688998,4.72585,6.23679,4.16106,99.8537,0.100991,0.927259,157976,0.981054,1.033,21.412,0.0201724,54.4476,0.286125,4950,24791.2,24923.9,2572.17,132.704,3.05412,228,15.8658,218.31,0.554673,0.55172,5.34607,103.622
14655,120,117.149,0.638997,4.71717,6.24751,4.17695,107.257,0.0885884,0.903764,157659,0.978166,1.04433,20.063,0.0250262,63.7538,0.321259,4285.77,39885.7,40064.2,3778.15,178.521,2.81386,243,17.2249,239.148,0.34476,0.343224,3.63961,77.0275
21002,120,115.692,0.588998,4.70689,6.25805,4.19293,118.554,0.0760786,0.881722,157889,0.974187,1.05704,18.2802,0.0311568,72.7933,0.352563,3805.08,66483,66732.1,6083.18,249.038,2.43552,240,18.9794,268.109,0.206835,0.206063,2.26049,55.2164
26852,120,114.173,0.538993,4.69416,6.26843,4.20905,136.369,0.0642967,0.862074,158802,0.96842,1.07256,16.0296,0.0394458,81.1414,0.378122,3457.13,118862,119227,11005.2,364.722,1.97813,247,21.307,313.002,0.115688,0.115335,1.2495,37.7027
32155,120,112.586,0.488999,4.67827,6.27874,4.22543,160.181,0.0555802,0.845287,159351,0.960679,1.09208,13.8552,0.0499831,88.3483,0.397932,3204.7,224713,225284,20613,571.487,1.56854,254,24.6203,381.588,0.0611936,0.0610384,0.667104,24.0618
36719,120,110.938,0.438988,4.65827,6.28911,4.24221,197.754,0.0484835,0.831508,160374,0.949321,1.11657,11.4665,0.0651035,93.9109,0.409684,3037.53,439147,440124,42408.9,977.614,1.18431,260,29.55,485.347,0.031313,0.0312434,0.324248,14.0659
40475,120,109.251,0.388994,4.63319,6.29954,4.2593,248.73,0.0443184,0.821023,160369,0.934497,1.14673,9.39322,0.0843591,97.1712,0.413925,2948.47,873623,875482,84815.5,1858.7,0.882114,266,37.1577,635.92,0.0157402,0.0157068,0.162128,7.39816
43363,120,107.574,0.33898,4.60157,6.31025,4.27672,345.173,0.0405718,0.814279,162049,0.910623,1.18385,7.05416,0.11705,97.5364,0.409261,2948.94,1.89622e+06,1.90022e+06,200806,3999.36,0.606525,279,49.2413,921.323,0.00725179,0.00723653,0.0684789,3.4383
45404,120,106.011,0.288975,4.56151,6.32146,4.29429,500.271,0.0391219,0.811655,163013,0.877714,1.22876,5.11167,0.164234,94.5684,0.395914,3046.09,4.12374e+06,4.13375e+06,470636,10013.9,0.402887,294,69.7692,1394.84,0.00333459,0.00332651,0.0292179,1.37319
46640,120,104.708,0.238966,4.51114,6.3332,4.3114,767.322,0.0395995,0.81373,163541,0.831896,1.28145,3.52674,0.234794,88.1012,0.371819,3268.07,9.20604e+06,9.23564e+06,1.12579e+06,29607.8,0.254851,313,106.898,2265.13,0.00149369,0.0014889,0.0122146,0.464438
47240,120,103.811,0.188866,4.44707,6.34552,4.32746,1310.22,0.0416269,0.821045,164843,0.764279,1.34173,2.23467,0.35793,78.4891,0.339167,3660.55,2.13402e+07,2.14462e+07,3.04048e+06,106046,0.149836,329,180.034,4006.82,0.00064437,0.000641184,0.00452264,0.12967
