Z,w,L_first_FeCZ,L_v1,L_v3,L_v10,L_F1e3,L_F1e2,L_F1e1
MW,0.000,2.575,2.725,3.075,3.575,2.875,3.575,4.075
MW,0.200,2.575,2.725,3.075,3.575,2.875,3.525,4.125
MW,0.400,2.575,2.675,3.025,3.575,2.825,3.525,4.125
MW,0.600,2.525,2.625,2.975,3.525,2.775,3.525,4.125
