parameter,threshold,logLspec,lo,hi,n_models,n_tracks
Gamma_Fe,0.400,3.108,3.103,3.116,329,28
Gamma_Fe,0.800,3.649,3.648,3.655,329,28
Gamma_Fe,0.900,3.757,3.753,3.759,329,28
Gamma_Fe,1.000,3.875,3.872,3.887,329,28
mach_max,0.200,3.750,3.724,3.824,329,28
v_c,3.000,3.021,2.900,3.047,329,28
Y_Fe,1.000,3.290,3.158,3.319,329,28
