parameter,threshold,logLspec,lo,hi,n_models,n_tracks
Gamma_Fe,0.400,3.561,3.559,3.562,458,34
Gamma_Fe,0.800,4.078,4.075,4.083,458,34
Gamma_Fe,0.900,4.189,4.187,4.191,458,34
Gamma_Fe,1.000,4.285,4.285,4.287,458,34
mach_max,0.200,4.263,4.258,4.265,458,34
v_c,3.000,4.080,4.005,4.085,458,34
Y_Fe,1.000,2.871,2.560,2.913,458,34
