axis,obs_dalpha0,obs_dvmac,obs_ratio,obs_ratio_lo,obs_ratio_hi,w0.0_dlogF,w0.0_dlogv,w0.0_dlogrho,w0.0_ratio,w0.0_ratio_lo,w0.0_ratio_hi,w0.0_naive_ratio,w0.0_beta_alpha,w0.0_beta_v,w0.2_dlogF,w0.2_dlogv,w0.2_dlogrho,w0.2_ratio,w0.2_ratio_lo,w0.2_ratio_hi,w0.2_naive_ratio,w0.2_beta_alpha,w0.2_beta_v,w0.4_dlogF,w0.4_dlogv,w0.4_dlogrho,w0.4_ratio,w0.4_ratio_lo,w0.4_ratio_hi,w0.4_naive_ratio,w0.4_beta_alpha,w0.4_beta_v
logL_spec,1.545,0.291,5.309,4.914,5.773,2.846,1.356,-1.160,2.100,2.030,2.192,2.145,0.543,0.215,2.868,1.332,-1.095,2.152,2.074,2.247,2.178,0.539,0.218,2.893,1.336,-1.096,2.164,2.063,2.281,2.180,0.534,0.218
tau,1.732,0.272,6.368,4.882,8.617,2.313,0.747,-0.376,3.096,3.000,3.187,2.497,0.749,0.364,2.309,0.745,-0.380,3.098,3.001,3.199,2.490,0.750,0.365,2.310,0.754,-0.390,3.064,2.974,3.152,2.483,0.750,0.361
log M,1.321,0.603,2.191,1.755,2.663,1.771,1.652,-1.904,1.072,0.816,1.269,1.848,0.746,0.365,1.775,1.653,-1.909,1.074,0.811,1.270,1.845,0.744,0.365,1.396,1.563,-1.902,0.893,0.742,1.008,1.783,0.946,0.386
