scenario,observable,mode,n,dBIC,a,floor,rms,free_beta,free_dBIC
S2 Cantiello+09 microturbulence,alpha0,fixed omega 0.4,177,132.7,4.302,313.4,0.586,,
S2 Cantiello+09 microturbulence,alpha0,fixed omega 0.6,177,130.5,4.465,302.8,0.5823,,
"S3 M_x F_c waves, v saturated",alpha0,per-star omega,177,39.54,4.205,132.4,0.4504,,
"S3 M_x F_c waves, v saturated",alpha0,fixed omega 0.0,177,39.88,4.203,135.4,0.4509,,
"S3 M_x F_c waves, v saturated",alpha0,fixed omega 0.2,177,39.79,4.202,134.3,0.4507,,
"S3 M_x F_c waves, v saturated",alpha0,fixed omega 0.4,177,39.46,4.2,130.5,0.4503,,
"S3 M_x F_c waves, v saturated",alpha0,fixed omega 0.6,177,38.48,4.206,125.7,0.4491,,
"S3t M_t F_c waves, v saturated",alpha0,per-star omega,177,6.8,5.174,134.9,0.4106,,
"S3t M_t F_c waves, v saturated",alpha0,fixed omega 0.0,177,6.44,5.145,135,0.4102,,
"S3t M_t F_c waves, v saturated",alpha0,fixed omega 0.2,177,5.957,5.148,135.5,0.4097,,
"S3t M_t F_c waves, v saturated",alpha0,fixed omega 0.4,177,5.528,5.167,137,0.4092,,
"S3t M_t F_c waves, v saturated",alpha0,fixed omega 0.6,177,5.055,5.205,139.3,0.4086,,
"S3c as S3, cells-diluted flux",alpha0,per-star omega,177,35.14,5.265,182.8,0.4449,,
"S3c as S3, cells-diluted flux",alpha0,fixed omega 0.0,177,35.86,5.266,185.9,0.4458,,
"S3c as S3, cells-diluted flux",alpha0,fixed omega 0.2,177,35.55,5.261,184.9,0.4454,,
"S3c as S3, cells-diluted flux",alpha0,fixed omega 0.4,177,34.84,5.26,181.5,0.4445,,
"S3c as S3, cells-diluted flux",alpha0,fixed omega 0.6,177,33.92,5.267,177.8,0.4433,,
S4 core IGW (undamped),alpha0,per-star omega,178,104.8,6.254,3.181e-07,0.5391,,
S4 core IGW (undamped),alpha0,fixed omega 0.0,178,104,6.258,2.495e-06,0.5379,,
S4 core IGW (undamped),alpha0,fixed omega 0.2,178,105.7,6.251,4.966,0.5406,,
S4 core IGW (undamped),alpha0,fixed omega 0.4,178,106.5,6.253,2.146e-06,0.5417,,
S4 core IGW (undamped),alpha0,fixed omega 0.6,178,108.3,6.237,12.17,0.5445,,
S5 v_c + M_t F_c/F + turnover,alpha0,per-star omega,177,6.8,5.174,134.9,0.4106,,
S5 v_c + M_t F_c/F + turnover,alpha0,fixed omega 0.0,177,6.44,5.145,135,0.4102,,
S5 v_c + M_t F_c/F + turnover,alpha0,fixed omega 0.2,177,5.957,5.148,135.5,0.4097,,
S5 v_c + M_t F_c/F + turnover,alpha0,fixed omega 0.4,177,5.528,5.167,137,0.4092,,
S5 v_c + M_t F_c/F + turnover,alpha0,fixed omega 0.6,177,5.055,5.205,139.3,0.4086,,
S0 MLT at the FeCZ,nuchar,per-star omega,175,-9.969,0.4212,,0.4015,0.6691,-11.61
S0 MLT at the FeCZ,nuchar,fixed omega 0.0,175,-6.039,0.4307,,0.4061,0.6272,-10.01
S0 MLT at the FeCZ,nuchar,fixed omega 0.2,175,-11.02,0.4257,,0.4003,0.6819,-12.03
S0 MLT at the FeCZ,nuchar,fixed omega 0.4,175,-15.43,0.4154,,0.3953,0.7409,-14.04
S0 MLT at the FeCZ,nuchar,fixed omega 0.6,175,-17.19,0.4009,,0.3933,0.7739,-14.74
S1 incoherent cells,nuchar,per-star omega,175,-9.969,0.4212,,0.4015,0.6691,-11.61
S1 incoherent cells,nuchar,fixed omega 0.0,175,-6.039,0.4307,,0.4061,0.6272,-10.01
