scenario,v_pred,a_pred,nu_pred,vmac_n,vmac_rms,vmac_dBIC,vmac_floor,vmac_a,vmac_slope_logL,vmac_slope_logTeff,vmac_slope_tau,vmac_slope_logM,vmac_hot_n,vmac_hot_rms,vmac_hot_dBIC,vmac_hot_floor,vmac_hot_a,vmac_hot_slope_logL,vmac_hot_slope_logTeff,vmac_hot_slope_tau,vmac_hot_slope_logM,alpha0_n,alpha0_rms,alpha0_dBIC,alpha0_floor,alpha0_a,alpha0_slope_logL,alpha0_slope_logTeff,alpha0_slope_tau,alpha0_slope_logM,nuchar_n,nuchar_rms,nuchar_dBIC,nuchar_a,nuchar_slope_logL,nuchar_slope_logTeff,nuchar_slope_tau,nuchar_slope_logM,joint_dBIC,ratio_logL_lo,ratio_logL_hi,ratio_tau_lo,ratio_tau_hi,ratio_logM_lo,ratio_logM_hi,ratio_logL,ratio_tau,ratio_logM
S0 MLT at the FeCZ,"v_c,max",F_c/F,1/(2pi t_c),532,0.2159,-14.32,27.5,-0.04455,0.3696,-0.3152,0.2513,0.6101,454,0.2062,57.52,26.83,-0.03564,0.4741,0.06079,0.2438,0.8047,181,0.4459,30.33,91.7,3.714,1.419,-3.157,1.429,1.381,178,0.3975,-11.83,0.4218,-0.4841,3.546,-0.9135,0.3481,4.174,3.51,4.374,5.066,6.607,2.033,2.633,3.84,5.687,2.263
S1 incoherent cells,"v_c,max",F_c/F x cells,1/(2pi t_c),532,0.2159,-14.32,27.5,-0.04455,0.3696,-0.3152,0.2513,0.6101,454,0.2062,57.52,26.83,-0.03564,0.4741,0.06079,0.2438,0.8047,181,0.441,26.39,155.6,4.791,1.521,-4.027,1.493,1.291,178,0.3975,-11.83,0.4218,-0.4841,3.546,-0.9135,0.3481,0.2349,3.753,4.629,5.251,6.917,1.915,2.452,4.115,5.938,2.115
S2 Cantiello+09 microturbulence,C09 microturb,M_s^2 [C09 microturb],v_s/(2pi H_s) [C09 microturb],532,0.2806,264.6,45.31,-0.185,0.08609,-0.3889,0.119,0.019,454,0.2648,284.9,52.41,-0.4393,0.03302,-0.2612,0.0671,-0.01454,181,0.5979,136.6,300.9,4.287,0.3775,-2.949,0.772,-0.4355,178,0.6434,159.6,0.1407,-0.7463,-2.218,0.109,-2.083,560.8,1.745,7.845,3.135,10.21,-35.06,-8.114,4.385,6.485,-22.93
"S3 M_x F_c waves, v saturated","sat[wave M_x F_c, v_g=v]",M_x F_c/F,1/(2pi t_c),532,0.2233,21.22,20.85,-0.04744,0.2615,0.1661,0.1272,0.5479,454,0.1988,24.17,3.418,0.1285,0.4438,0.3807,0.2274,0.8055,181,0.455,37.68,121.7,4.208,1.394,-3.069,1.355,1.402,178,0.3975,-11.83,0.4218,-0.4841,3.546,-0.9135,0.3481,47.08,4.897,6.027,9.716,12.56,2.342,2.944,5.333,10.65,2.559
"S3t M_t F_c waves, v saturated","sat[wave M_t F_c, v_g=v]",M_t F_c/F,1/(2pi t_c),532,0.2219,14.55,21.03,-0.02418,0.2958,-0.0112,0.1944,0.5494,454,0.1992,26.3,5.89,0.1334,0.4742,0.07913,0.3278,0.7701,181,0.4162,5.381,127.8,5.173,1.626,-4.749,1.746,1.147,178,0.3975,-11.83,0.4218,-0.4841,3.546,-0.9135,0.3481,8.095,5.118,6.112,8.175,10.39,1.893,2.408,5.498,8.98,2.088
"S3c as S3, cells-diluted flux","sat[wave M_x F_c, v_g=v]",M_x F_c/F x cells,1/(2pi t_c),532,0.2233,21.22,20.85,-0.04744,0.2615,0.1661,0.1272,0.5479,454,0.1988,24.17,3.418,0.1285,0.4438,0.3807,0.2274,0.8055,181,0.4525,35.69,171.9,5.264,1.455,-3.788,1.394,1.276,178,0.3975,-11.83,0.4218,-0.4841,3.546,-0.9135,0.3481,45.08,5.094,6.229,9.898,13,2.111,2.682,5.565,10.96,2.329
S4 core IGW (undamped),"core IGW, v_g=c_s",core IGW flux/F*,core turnover,533,0.2132,-28.89,18.86,-0.1044,0.3108,0.08938,0.1075,0.6325,454,0.1978,19.67,10.52,-0.02217,0.4698,0.4791,0.1206,0.9048,181,0.546,103.7,5.936e-06,6.246,0.4674,0.1041,0.1688,0.8583,181,0.4275,15.72,2.404,0.1879,-0.5995,0.2503,0.1051,90.48,1.4,1.587,1.394,1.81,1.244,1.431,1.504,1.57,1.357
S5 v_c + M_t F_c/F + turnover,"v_c,max",M_t F_c/F,1/(2pi t_c),532,0.2159,-14.32,27.5,-0.04455,0.3696,-0.3152,0.2513,0.6101,454,0.2062,57.52,26.83,-0.03564,0.4741,0.06079,0.2438,0.8047,181,0.4162,5.381,127.8,5.173,1.626,-4.749,1.746,1.147,178,0.3975,-11.83,0.4218,-0.4841,3.546,-0.9135,0.3481,-20.77,4.065,4.907,6.223,8.027,1.694,2.175,4.4,6.945,1.88
