observable,logTeff,logLspec,vsini,omega,omega_from_vsini
alpha0,4.477,4.01,57,0.3517,True
alpha0,4.516,3.46,40,0.08151,True
alpha0,4.534,3.66,38,0.08654,True
alpha0,4.579,3.81,87,0.229,True
alpha0,4.592,4.11,22,0.1864,True
alpha0,4.476,3.77,,0.3018,False
alpha0,4.477,4.15,102,0.6,True
alpha0,4.505,4.04,70,0.6,True
alpha0,4.543,3.79,81,0.2177,True
alpha0,4.516,4.03,37,0.2315,True
alpha0,4.524,3.62,74,0.1638,True
alpha0,4.471,3.67,,0.3018,False
alpha0,4.442,4.09,,0.3018,False
alpha0,4.556,3.89,45,0.1464,True
alpha0,4.449,4.04,,0.3018,False
alpha0,4.632,4.11,,0.3018,False
alpha0,4.583,4.18,,0.3018,False
alpha0,4.553,4.14,,0.3018,False
alpha0,4.571,3.73,,0.3018,False
alpha0,4.572,4.05,85,0.6,True
alpha0,4.548,3.89,,0.3018,False
alpha0,4.544,4.04,45,0.2867,True
alpha0,4.584,3.63,77,0.1591,True
alpha0,4.473,3.48,,0.3018,False
alpha0,4.599,4.05,88,0.6,True
alpha0,4.522,4.22,108,0.6,True
alpha0,4.544,3.78,69,0.1814,True
alpha0,4.487,4.25,82,0.6,True
alpha0,4.606,3.89,,0.3018,False
alpha0,4.571,3.73,,0.3018,False
alpha0,4.489,3.43,,0.3018,False
alpha0,4.559,3.67,,0.3018,False
alpha0,4.537,3.7,,0.3018,False
alpha0,4.519,3.44,33,0.0666,True
alpha0,4.571,3.73,,0.3018,False
alpha0,4.456,3.93,,0.3018,False
alpha0,4.477,3.8,,0.3018,False
alpha0,4.618,3.95,,0.3018,False
alpha0,4.691,4.08,,0.3018,False
alpha0,4.595,3.84,,0.3018,False
alpha0,4.501,3.51,,0.3018,False
alpha0,4.62,3.9,87,0.247,True
alpha0,4.58,3.91,71,0.2325,True
alpha0,4.554,3.99,103,0.6,True
alpha0,4.584,3.72,10,0.02273,True
alpha0,4.52,3.55,,0.3018,False
alpha0,4.529,3.72,89,0.2186,True
alpha0,4.507,3.61,78,0.1734,True
alpha0,4.603,3.88,82,0.2343,True
alpha0,4.556,4.11,138,0.6,True
alpha0,4.555,4.03,84,0.6,True
alpha0,4.554,4.23,105,0.6,True
alpha0,4.56,4.09,92,0.6,True
alpha0,4.54,4.12,95,0.6,True
alpha0,4.509,3.72,,0.3018,False
alpha0,4.505,4.11,100,0.6,True
alpha0,4.493,4.14,114,0.6,True
alpha0,4.474,3.64,,0.3018,False
alpha0,4.48,4.09,65,0.6,True
alpha0,4.447,4.27,100,0.3018,False
alpha0,4.458,3.83,48,0.1479,True
alpha0,4.581,3.95,9,0.03316,True
alpha0,4.574,4.05,90,0.6,True
alpha0,4.602,3.81,76,0.1895,True
alpha0,4.61,3.88,,0.3018,False
alpha0,4.603,3.89,61,0.1788,True
alpha0,4.519,3.95,140,0.6,True
alpha0,4.573,3.78,43,0.1089,True
alpha0,4.591,3.63,,0.3018,False
alpha0,4.6,4.02,73,0.3557,True
alpha0,4.613,4.09,90,0.6,True
alpha0,4.567,3.89,,0.3018,False
alpha0,4.5,3.65,,0.3018,False
alpha0,4.507,3.84,54,0.1645,True
alpha0,4.501,3.61,,0.3018,False
alpha0,4.555,3.94,,0.3018,False
alpha0,4.533,3.99,78,0.4324,True
nuchar,4.66,4.1,59,0.3238,True
nuchar,4.62,4.16,60,0.6,True
nuchar,4.63,3.88,278,0.6,True
nuchar,4.61,4.03,71,0.3459,True
nuchar,4.59,3.95,55,0.1981,True
nuchar,4.59,3.6,96,0.1902,True
nuchar,4.58,3.7,43,0.09639,True
nuchar,4.56,3.74,181,0.4468,True
nuchar,4.55,3.85,262,0.6,True
nuchar,4.56,3.93,77,0.2849,True
nuchar,4.55,3.76,131,0.3325,True
nuchar,4.55,3.58,370,0.6,True
nuchar,4.53,3.59,111,0.238,True
nuchar,4.54,3.9,291,0.6,True
nuchar,4.54,3.99,60,0.3018,True
nuchar,4.54,3.82,332,0.6,True
nuchar,4.54,3.28,134,0.3018,False
nuchar,4.5,3.7,193,0.5141,True
nuchar,4.59,4.16,70,0.6,True
nuchar,4.57,4.15,58,0.6,True
nuchar,4.58,3.87,65,0.1916,True
nuchar,4.55,4.06,53,0.3949,True
nuchar,4.52,3.87,252,0.6,True
nuchar,4.51,3.94,82,0.3641,True
nuchar,4.49,3.85,26,0.08139,True
nuchar,4.49,3.85,101,0.3326,True
nuchar,4.57,4.16,67,0.6,True
nuchar,4.53,4.22,62,0.6,True
nuchar,4.5,4.15,124,0.6,True
nuchar,4.51,4.01,57,0.345,True
nuchar,4.49,4.15,71,0.6,True
nuchar,4.48,4.14,59,0.6,True
nuchar,4.48,4.28,65,0.3018,False
nuchar,4.48,4.12,65,0.6,True
nuchar,4.48,4.04,91,0.6,True
nuchar,4.46,3.31,23,0.04691,True
nuchar,4.47,3.06,33,0.3018,False
nuchar,4.41,2.95,7,0.01442,True
nuchar,4.26,2.44,11,0.02559,True
nuchar,4.25,2.61,26,0.06417,True
nuchar,4.46,3.22,25,0.05032,True
nuchar,4.4,3.28,7,0.01542,True
nuchar,4.38,3.31,29,0.07057,True
nuchar,4.2,2.61,53,0.1325,True
nuchar,4.21,2.61,68,0.1795,True
nuchar,4.23,2.61,25,0.0638,True
nuchar,4.13,2.33,20,0.05546,True
nuchar,4.48,3.93,48,0.1955,True
nuchar,4.29,2.99,53,0.1382,True
nuchar,4.37,3.2,24,0.05897,True
nuchar,4.16,2.61,34,0.1213,True
nuchar,4.47,4.05,55,0.5486,True
nuchar,4.47,4.06,53,0.5926,True
nuchar,4.11,2.34,26,0.3018,False
nuchar,4.49,3.07,210,0.3018,False
nuchar,4.47,4.15,122,0.6,True
nuchar,4.54,3.62,12,0.02621,True
nuchar,4.554,3.75,,0.3018,False
nuchar,4.588,3.74,38,0.08804,True
nuchar,4.6,3.91,74,0.2312,True
nuchar,4.547,3.96,63,0.2678,True
nuchar,4.587,3.78,,0.3018,False
nuchar,4.474,4.11,90,0.6,True
nuchar,4.621,4.08,64,0.3953,True
nuchar,4.479,4.26,93,0.6,True
nuchar,4.554,3.8,82,0.222,True
nuchar,4.519,3.63,57,0.1278,True
nuchar,4.579,3.91,61,0.1982,True
nuchar,4.52,4.16,97,0.6,True
nuchar,4.505,4.11,104,0.6,True
nuchar,4.554,4.14,,0.3018,False
nuchar,4.547,3.69,43,0.09999,True
nuchar,4.548,3.54,54,0.1109,True
nuchar,4.576,3.7,,0.3018,False
nuchar,4.493,4.14,88,0.6,True
nuchar,4.452,4.09,88,0.6,True
nuchar,4.576,3.82,,0.3018,False
nuchar,4.538,3.47,32,0.06416,True
nuchar,4.556,4.12,77,0.6,True
nuchar,4.547,3.74,,0.3018,False
nuchar,4.558,3.74,,0.3018,False
nuchar,4.464,4.21,63,0.6,True
nuchar,4.566,3.93,,0.3018,False
nuchar,4.671,4.14,53,0.3536,True
nuchar,4.486,4.02,77,0.6,True
nuchar,4.579,3.8,,0.3018,False
nuchar,4.589,3.91,57,0.1818,True
nuchar,4.543,3.86,63,0.1957,True
nuchar,4.566,4.02,90,0.6,True
nuchar,4.653,4.14,84,0.6,True
nuchar,4.551,3.93,77,0.2934,True
nuchar,4.568,3.95,60,0.231,True
nuchar,4.591,3.68,52,0.1111,True
nuchar,4.614,3.95,67,0.2258,True
nuchar,4.611,4.01,,0.3018,False
nuchar,4.529,3.47,29,0.05866,True
nuchar,4.49,4.23,105,0.6,True
nuchar,4.505,3.61,50,0.1112,True
nuchar,4.559,4.07,,0.3018,False
nuchar,4.521,4.12,103,0.6,True
nuchar,4.544,4.07,92,0.6,True
nuchar,4.477,4.06,131,0.6,True
nuchar,4.593,3.87,79,0.2251,True
nuchar,4.534,3.92,,0.3018,False
nuchar,4.592,4.14,,0.3018,False
nuchar,4.588,3.94,65,0.2307,True
nuchar,4.477,4.01,57,0.3517,True
nuchar,4.516,3.46,40,0.08151,True
nuchar,4.534,3.66,38,0.08654,True
nuchar,4.579,3.81,87,0.229,True
nuchar,4.592,4.11,22,0.1864,True
nuchar,4.476,3.77,,0.3018,False
nuchar,4.477,4.15,102,0.6,True
nuchar,4.505,4.04,70,0.6,True
nuchar,4.543,3.79,81,0.2177,True
nuchar,4.516,4.03,37,0.2315,True
nuchar,4.524,3.62,74,0.1638,True
nuchar,4.471,3.67,,0.3018,False
nuchar,4.442,4.09,,0.3018,False
nuchar,4.556,3.89,45,0.1464,True
nuchar,4.449,4.04,,0.3018,False
nuchar,4.632,4.11,,0.3018,False
nuchar,4.583,4.18,,0.3018,False
nuchar,4.553,4.14,,0.3018,False
nuchar,4.571,3.73,,0.3018,False
nuchar,4.572,4.05,85,0.6,True
nuchar,4.548,3.89,,0.3018,False
nuchar,4.544,4.04,45,0.2867,True
nuchar,4.584,3.63,77,0.1591,True
nuchar,4.473,3.48,,0.3018,False
nuchar,4.599,4.05,88,0.6,True
nuchar,4.522,4.22,108,0.6,True
nuchar,4.544,3.78,69,0.1814,True
nuchar,4.487,4.25,82,0.6,True
nuchar,4.606,3.89,,0.3018,False
nuchar,4.571,3.73,,0.3018,False
nuchar,4.489,3.43,,0.3018,False
nuchar,4.559,3.67,,0.3018,False
nuchar,4.537,3.7,,0.3018,False
nuchar,4.519,3.44,33,0.0666,True
nuchar,4.571,3.73,,0.3018,False
nuchar,4.456,3.93,,0.3018,False
nuchar,4.477,3.8,,0.3018,False
nuchar,4.618,3.95,,0.3018,False
nuchar,4.691,4.08,,0.3018,False
nuchar,4.595,3.84,,0.3018,False
nuchar,4.501,3.51,,0.3018,False
nuchar,4.62,3.9,87,0.247,True
nuchar,4.58,3.91,71,0.2325,True
nuchar,4.554,3.99,103,0.6,True
nuchar,4.584,3.72,10,0.02273,True
nuchar,4.52,3.55,,0.3018,False
nuchar,4.529,3.72,89,0.2186,True
nuchar,4.507,3.61,78,0.1734,True
nuchar,4.603,3.88,82,0.2343,True
nuchar,4.556,4.11,138,0.6,True
nuchar,4.555,4.03,84,0.6,True
nuchar,4.554,4.23,105,0.6,True
nuchar,4.56,4.09,92,0.6,True
nuchar,4.54,4.12,95,0.6,True
nuchar,4.509,3.72,,0.3018,False
nuchar,4.505,4.11,100,0.6,True
nuchar,4.493,4.14,114,0.6,True
nuchar,4.474,3.64,,0.3018,False
nuchar,4.48,4.09,65,0.6,True
nuchar,4.447,4.27,100,0.3018,False
nuchar,4.458,3.83,48,0.1479,True
nuchar,4.581,3.95,9,0.03316,True
nuchar,4.574,4.05,90,0.6,True
nuchar,4.602,3.81,76,0.1895,True
nuchar,4.61,3.88,,0.3018,False
nuchar,4.603,3.89,61,0.1788,True
nuchar,4.519,3.95,140,0.6,True
nuchar,4.573,3.78,43,0.1089,True
nuchar,4.591,3.63,,0.3018,False
nuchar,4.6,4.02,73,0.3557,True
nuchar,4.613,4.09,90,0.6,True
nuchar,4.567,3.89,,0.3018,False
nuchar,4.5,3.65,,0.3018,False
nuchar,4.507,3.84,54,0.1645,True
nuchar,4.501,3.61,,0.3018,False
nuchar,4.555,3.94,,0.3018,False
nuchar,4.533,3.99,78,0.4324,True
