observable,logTeff,logLspec,vsini,omega,omega_from_vsini
vmac,4.52,4.09,51,0.6,True
vmac,4.15,2.37,122,0.3272,True
vmac,4.35,2.99,11,0.02689,True
vmac,4.33,3.42,186,0.6,True
vmac,4.13,2.33,22,0.06101,True
vmac,4.52,4.2,85,0.6,True
vmac,4.47,4.14,112,0.6,True
vmac,4.14,2.42,19,0.05285,True
vmac,4.43,3.88,51,0.282,False
vmac,4.52,4.09,48,0.6,True
vmac,4.54,3.91,65,0.2346,True
vmac,4.14,2.15,31,0.282,False
vmac,4.26,2.6,128,0.3107,True
vmac,4.2,2.79,71,0.2527,True
vmac,4.44,3.64,39,0.09124,True
vmac,4.51,4.04,68,0.6,True
vmac,4.2,2.72,142,0.3967,True
vmac,4.33,3.17,153,0.4916,True
vmac,4.15,2.57,106,0.3503,True
vmac,4.21,2.58,22,0.05508,True
vmac,4.16,2.61,33,0.1178,True
vmac,4.17,2.66,21,0.0762,True
vmac,4.47,3.3,12,0.02425,True
vmac,4.12,2.43,62,0.2133,True
vmac,4.4,4.06,59,0.6,True
vmac,4.12,2.32,19,0.282,False
vmac,4.37,3.04,32,0.07558,True
vmac,4.51,4.19,99,0.6,True
vmac,4.29,3.16,39,0.1436,True
vmac,4.09,2.34,68,0.282,False
vmac,4.28,2.7,56,0.1356,True
vmac,4.17,2.56,18,0.05086,True
vmac,4.22,2.47,47,0.1169,True
vmac,4.53,3.53,17,0.03538,True
vmac,4.57,4.17,44,0.6,True
vmac,4.16,2.4,58,0.1567,True
vmac,4.43,3.03,48,0.09704,True
vmac,4.37,2.69,8,0.0168,True
vmac,4.29,2.99,53,0.1382,True
vmac,4.58,3.8,43,0.1111,True
vmac,4.53,4.24,176,0.6,True
vmac,4.28,2.47,10,0.02277,True
vmac,4.18,2.2,136,0.3372,True
vmac,4.31,2.65,11,0.02507,True
vmac,4.28,2.4,13,0.02918,True
vmac,4.51,3.64,174,0.3962,True
vmac,4.51,3.99,128,0.6,True
vmac,4.53,3.3,15,0.282,False
vmac,4.43,3.03,9,0.01819,True
vmac,4.29,2.47,10,0.02246,True
vmac,4.46,3.34,18,0.03691,True
vmac,4.55,4.06,51,0.3779,True
vmac,4.4,2.9,75,0.1568,True
vmac,4.39,2.86,12,0.02566,True
vmac,4.46,3.33,22,0.04503,True
vmac,4.48,3.13,55,0.107,True
vmac,4.59,3.58,26,0.05052,True
vmac,4.54,3.31,133,0.282,False
vmac,4.47,3.08,33,0.06426,True
vmac,4.52,3.96,104,0.6,True
vmac,4.45,3.01,191,0.3781,True
vmac,4.47,4.05,42,0.3459,True
vmac,4.09,2.34,27,0.282,False
vmac,4.52,3.26,18,0.282,False
vmac,4.3,2.79,197,0.493,True
vmac,4.21,2.61,71,0.1875,True
vmac,4.52,4.3,116,0.282,False
vmac,4.36,3.42,177,0.6,True
vmac,4.47,4.06,43,0.3897,True
vmac,4.21,2.73,129,0.346,True
vmac,4.38,3.53,46,0.1276,True
vmac,4.43,3.79,145,0.4457,True
vmac,4.19,2.65,189,0.5125,True
vmac,4.6,3.96,40,0.1447,True
vmac,4.37,3.37,163,0.6,True
vmac,4.28,2.99,129,0.3489,True
vmac,4.48,4.15,62,0.6,True
vmac,4.37,3.2,26,0.06388,True
vmac,4.57,3.77,26,0.06514,True
vmac,4.27,2.83,59,0.1483,True
vmac,4.11,2.19,53,0.282,False
vmac,4.56,3.61,31,0.06574,True
vmac,4.61,3.98,66,0.252,True
vmac,4.54,3.46,20,0.03984,True
vmac,4.64,4.11,58,0.3846,True
vmac,4.39,3.22,9,0.02046,True
vmac,4.56,4,88,0.5289,True
vmac,4.55,3.75,38,0.09489,True
vmac,4.47,3.67,107,0.2562,True
vmac,4.51,4.09,97,0.6,True
vmac,4.58,3.74,39,0.09187,True
vmac,4.56,3.74,140,0.3382,True
vmac,4.48,3.93,42,0.171,True
vmac,4.44,3.56,52,0.1158,True
vmac,4.62,4.03,65,0.2983,True
vmac,4.38,3.31,24,0.0584,True
vmac,4.1,2.26,33,0.282,False
vmac,4.55,4,186,0.6,True
vmac,4.51,3.71,29,0.07084,True
vmac,4.51,4.01,56,0.3379,True
vmac,4.58,3.51,29,0.282,False
vmac,4.54,3.62,16,0.03495,True
vmac,4.49,4.23,115,0.6,True
vmac,4.34,3.36,100,0.3267,True
vmac,4.48,3.68,35,0.08357,True
vmac,4.18,2.31,173,0.4349,True
vmac,4.07,2.06,19,0.282,False
vmac,4.23,2.76,12,0.03154,True
vmac,4.14,2,77,0.282,False
vmac,4.36,2.97,140,0.3388,True
vmac,4.522,3.461,36,0.07298,True
vmac,4.508,3.502,3,0.006259,True
vmac,4.398,4.063,52,0.6,True
vmac,4.394,4.109,84,0.6,True
vmac,4.438,3.472,43,0.09261,True
vmac,4.401,3.387,40,0.08906,True
vmac,4.378,3.475,36,0.09539,True
vmac,4.375,3.34,15,0.03779,True
vmac,4.452,3.438,176,0.3727,True
vmac,4.513,3.434,22,0.0445,True
vmac,4.377,3.437,25,0.06566,True
vmac,4.415,3.521,25,0.05555,True
vmac,4.373,3.453,26,0.07026,True
vmac,4.439,3.708,24,0.05989,True
vmac,4.422,4.227,127,0.6,True
vmac,4.42,3.911,126,0.282,False
vmac,4.377,3.377,15,0.03809,True
vmac,4.455,3.92,32,0.1277,True
vmac,4.417,4.208,57,0.6,True
vmac,4.513,3.674,25,0.0585,True
vmac,4.452,3.948,49,0.2211,True
vmac,4.365,3.543,11,0.04029,True
vmac,4.504,3.956,59,0.2693,True
vmac,4.439,3.258,6,0.01233,True
vmac,4.423,4.224,61,0.6,True
vmac,4.433,4.043,62,0.6,True
vmac,4.391,4.165,63,0.6,True
vmac,4.509,3.458,11,0.0225,True
vmac,4.391,3.505,23,0.06016,True
vmac,4.417,3.418,55,0.1184,True
vmac,4.529,3.527,33,0.06865,True
vmac,4.428,4.263,63,0.282,False
vmac,4.382,3.469,179,0.6,True
vmac,4.507,4.197,57,0.6,True
vmac,4.43,4.09,52,0.6,True
vmac,4.422,4.057,49,0.4966,True
vmac,4.444,3.977,117,0.6,True
vmac,4.378,4.105,47,0.6,True
vmac,4.428,3.473,37,0.08023,True
vmac,4.459,3.909,149,0.6,True
vmac,4.394,3.629,19,0.05072,True
vmac,4.512,4.038,87,0.6,True
vmac,4.481,3.977,36,0.1719,True
vmac,4.403,3.773,146,0.6,True
vmac,4.438,4.172,72,0.6,True
vmac,4.496,4.183,82,0.6,True
vmac,4.413,3.844,162,0.6,True
vmac,4.365,3.353,10,0.02643,True
vmac,4.441,3.895,51,0.1836,True
vmac,4.428,3.633,155,0.3695,True
vmac,4.403,3.713,36,0.282,False
vmac,4.42,3.441,36,0.0777,True
vmac,4.4,3.69,23,0.282,False
vmac,4.344,3.399,33,0.1066,True
vmac,4.389,3.548,157,0.6,True
vmac,4.362,3.528,88,0.3291,True
vmac,4.369,3.398,164,0.6,True
vmac,4.391,3.655,38,0.282,False
vmac,4.489,4.265,117,0.6,True
vmac,4.354,4.187,55,0.6,True
vmac,4.396,3.356,123,0.2853,True
vmac,4.452,4.198,69,0.6,True
vmac,4.436,3.876,88,0.282,False
vmac,4.474,3.898,30,0.1099,True
vmac,4.398,4.043,114,0.6,True
vmac,4.438,4.122,99,0.6,True
vmac,4.5,4.25,58,0.6,True
vmac,4.461,4.205,74,0.6,True
vmac,4.479,3.715,18,0.04481,True
vmac,4.458,4.212,73,0.6,True
vmac,4.417,4.248,54,0.6,True
vmac,4.38,4.182,55,0.6,True
