scenario,v_pred,a_pred,nu_pred,vmac_n,vmac_rms,vmac_dBIC,vmac_floor,vmac_a,vmac_slope_logL,vmac_slope_logTeff,vmac_slope_tau,vmac_slope_logM,vmac_hot_n,vmac_hot_rms,vmac_hot_dBIC,vmac_hot_floor,vmac_hot_a,vmac_hot_slope_logL,vmac_hot_slope_logTeff,vmac_hot_slope_tau,vmac_hot_slope_logM,alpha0_n,alpha0_rms,alpha0_dBIC,alpha0_floor,alpha0_a,alpha0_slope_logL,alpha0_slope_logTeff,alpha0_slope_tau,alpha0_slope_logM,nuchar_n,nuchar_rms,nuchar_dBIC,nuchar_a,nuchar_slope_logL,nuchar_slope_logTeff,nuchar_slope_tau,nuchar_slope_logM,joint_dBIC,ratio_logL_lo,ratio_logL_hi,ratio_tau_lo,ratio_tau_hi,ratio_logM_lo,ratio_logM_hi,ratio_logL,ratio_tau,ratio_logM
S0 MLT at the FeCZ,"v_c,max",F_c/F,1/(2pi t_c),527,0.2175,-13.28,28.72,-0.05799,0.3623,-0.3127,0.241,0.595,456,0.2071,62.94,27.83,-0.04556,0.467,0.03928,0.2371,0.789,179,0.4415,33.65,103,3.704,1.384,-3.114,1.393,1.328,177,0.4005,-9.774,0.4284,-0.4496,3.632,-0.9102,0.3977,10.6,3.468,4.257,5.058,6.622,2.004,2.564,3.82,5.781,2.231
S1 incoherent cells,"v_c,max",F_c/F x cells,1/(2pi t_c),527,0.2175,-13.28,28.72,-0.05799,0.3623,-0.3127,0.241,0.595,456,0.2071,62.94,27.83,-0.04556,0.467,0.03928,0.2371,0.789,179,0.4338,27.38,166,4.784,1.484,-3.951,1.444,1.271,177,0.4005,-9.774,0.4284,-0.4496,3.632,-0.9102,0.3977,4.328,3.749,4.589,5.186,6.881,1.891,2.475,4.098,5.995,2.136
S2 Cantiello+09 microturbulence,C09 microturb,M_s^2 [C09 microturb],v_s/(2pi H_s) [C09 microturb],527,0.2788,248.3,46.87,-0.3076,0.06508,-0.2952,0.09093,0.01271,456,0.2649,287.3,54.07,-0.8127,0.01307,-0.1178,0.02979,-0.01016,179,0.5945,140.2,320.8,4.181,0.3091,-2.644,0.6797,-0.4295,177,0.6423,157.4,0.09169,-0.8486,-1.878,-0.0271,-2.142,546,3.596e-09,8.826,1.206e-07,12.43,-59.14,-1.386e-06,4.749,7.475,-33.78
"S3 M_x F_c waves, v saturated","sat[wave M_x F_c, v_g=v]",M_x F_c/F,1/(2pi t_c),527,0.2251,22.8,22.13,-0.06434,0.2594,0.1507,0.1282,0.5345,456,0.1995,28.55,4.876,0.1144,0.4431,0.3322,0.2351,0.7907,179,0.4491,39.75,131.5,4.205,1.372,-3.005,1.32,1.383,177,0.4005,-9.774,0.4284,-0.4496,3.632,-0.9102,0.3977,52.77,4.795,5.989,8.954,11.8,2.32,2.98,5.289,10.3,2.588
"S3t M_t F_c waves, v saturated","sat[wave M_t F_c, v_g=v]",M_t F_c/F,1/(2pi t_c),527,0.224,17.84,22.32,-0.04352,0.2883,-0.002921,0.1841,0.5341,456,0.2002,32.03,7.118,0.1182,0.4667,0.06645,0.3187,0.754,179,0.4089,6.207,133.2,5.147,1.578,-4.754,1.723,1.071,177,0.4005,-9.774,0.4284,-0.4496,3.632,-0.9102,0.3977,14.28,5.064,6.041,8.358,10.54,1.788,2.267,5.472,9.36,2.004
"S3c as S3, cells-diluted flux","sat[wave M_x F_c, v_g=v]",M_x F_c/F x cells,1/(2pi t_c),527,0.2251,22.8,22.13,-0.06434,0.2594,0.1507,0.1282,0.5345,456,0.1995,28.55,4.876,0.1144,0.4431,0.3322,0.2351,0.7907,179,0.4451,36.6,182.3,5.258,1.422,-3.694,1.344,1.268,177,0.4005,-9.774,0.4284,-0.4496,3.632,-0.9102,0.3977,49.63,4.948,6.148,9.104,12.26,2.112,2.718,5.481,10.48,2.373
S4 core IGW (undamped),"core IGW, v_g=c_s",core IGW flux/F*,core turnover,532,0.2126,-32.91,18.92,-0.1052,0.3147,0.0822,0.11,0.6348,456,0.1973,18.81,10.57,-0.02326,0.4722,0.4586,0.1243,0.9039,180,0.54,107.4,3.264,6.252,0.4705,0.1186,0.1702,0.8566,180,0.4277,14.98,2.405,0.175,-0.5816,0.2429,0.08623,89.48,1.392,1.568,1.39,1.87,1.215,1.411,1.495,1.546,1.349
S5 v_c + M_t F_c/F + turnover,"v_c,max",M_t F_c/F,1/(2pi t_c),527,0.2175,-13.28,28.72,-0.05799,0.3623,-0.3127,0.241,0.595,456,0.2071,62.94,27.83,-0.04556,0.467,0.03928,0.2371,0.789,179,0.4089,6.207,133.2,5.147,1.578,-4.754,1.723,1.071,177,0.4005,-9.774,0.4284,-0.4496,3.632,-0.9102,0.3977,-16.84,4.01,4.785,6.22,8.127,1.598,2.076,4.355,7.152,1.799
