scenario,v_pred,a_pred,nu_pred,vmac_n,vmac_rms,vmac_dBIC,vmac_floor,vmac_a,vmac_slope_logL,vmac_slope_logTeff,vmac_slope_tau,vmac_slope_logM,vmac_hot_n,vmac_hot_rms,vmac_hot_dBIC,vmac_hot_floor,vmac_hot_a,vmac_hot_slope_logL,vmac_hot_slope_logTeff,vmac_hot_slope_tau,vmac_hot_slope_logM,alpha0_n,alpha0_rms,alpha0_dBIC,alpha0_floor,alpha0_a,alpha0_slope_logL,alpha0_slope_logTeff,alpha0_slope_tau,alpha0_slope_logM,nuchar_n,nuchar_rms,nuchar_dBIC,nuchar_a,nuchar_slope_logL,nuchar_slope_logTeff,nuchar_slope_tau,nuchar_slope_logM,joint_dBIC,ratio_logL_lo,ratio_logL_hi,ratio_tau_lo,ratio_tau_hi,ratio_logM_lo,ratio_logM_hi,ratio_logL,ratio_tau,ratio_logM
S0 MLT at the FeCZ,"v_c,max",F_c/F,1/(2pi t_c),394,0.2472,13.74,30.78,-0.06775,0.3823,-0.7121,0.3175,0.4678,326,0.24,76.01,31.79,-0.08414,0.4562,-0.5563,0.3274,0.5828,138,0.4467,16.74,186.4,3.628,1.076,-3.023,0.924,0.7519,131,0.4818,33.28,0.7168,1.308,-2.249,1.047,1.366,63.76,2.371,3.461,2.363,3.675,1.36,1.988,2.816,2.911,1.607
S1 incoherent cells,"v_c,max",F_c/F x cells,1/(2pi t_c),394,0.2472,13.74,30.78,-0.06775,0.3823,-0.7121,0.3175,0.4678,326,0.24,76.01,31.79,-0.08414,0.4562,-0.5563,0.3274,0.5828,138,0.4471,16.97,193.2,4.841,1.076,-3.05,0.9017,0.7446,131,0.4818,33.28,0.7168,1.308,-2.249,1.047,1.366,63.99,2.326,3.487,2.251,3.63,1.305,1.985,2.816,2.84,1.592
S2 Cantiello+09 microturbulence,C09 microturb,M_s^2 [C09 microturb],v_s/(2pi H_s) [C09 microturb],394,0.252,28.9,31.68,-0.7063,0.4136,-1.013,0.3641,0.3914,326,0.2457,91.27,33.15,-0.7297,0.4462,-0.9385,0.3704,0.4224,138,0.4501,18.84,199.7,1.532,1,-2.999,0.8846,0.6103,131,0.5793,81.53,-0.9582,1.929,-4.584,1.783,1.541,129.3,2.072,2.958,2.031,2.967,1.283,1.886,2.419,2.429,1.559
"S3 M_x F_c waves, v saturated","sat[wave M_x F_c, v_g=v]",M_x F_c/F,1/(2pi t_c),393,0.2422,-0.9126,24.7,-0.06392,0.3824,-0.5508,0.3331,0.5148,326,0.2284,43.72,19.24,0.02091,0.5253,-0.7479,0.4642,0.6116,138,0.458,23.66,209.3,4.042,0.9344,-2.654,0.7849,0.6501,131,0.4818,33.28,0.7168,1.308,-2.249,1.047,1.366,56.02,2.051,2.972,1.91,2.98,1.031,1.599,2.443,2.357,1.263
"S3t M_t F_c waves, v saturated","sat[wave M_t F_c, v_g=v]",M_t F_c/F,1/(2pi t_c),393,0.2409,-5.373,24.71,-0.05649,0.3902,-0.5597,0.3355,0.5271,326,0.227,39.76,19.36,0.02574,0.5387,-0.739,0.4646,0.637,138,0.4586,23.99,209.7,4.06,0.9298,-2.626,0.7773,0.6549,131,0.4818,33.28,0.7168,1.308,-2.249,1.047,1.366,51.89,1.972,2.918,1.878,2.936,1.017,1.58,2.383,2.317,1.242
"S3c as S3, cells-diluted flux","sat[wave M_x F_c, v_g=v]",M_x F_c/F x cells,1/(2pi t_c),393,0.2422,-0.9126,24.7,-0.06392,0.3824,-0.5508,0.3331,0.5148,326,0.2284,43.72,19.24,0.02091,0.5253,-0.7479,0.4642,0.6116,138,0.4585,23.94,215.6,5.24,0.9263,-2.665,0.7635,0.6311,131,0.4818,33.28,0.7168,1.308,-2.249,1.047,1.366,56.3,2.008,2.998,1.862,2.924,1.006,1.584,2.422,2.292,1.226
S4 core IGW (undamped),"core IGW, v_g=c_s",core IGW flux/F*,core turnover,397,0.2403,-6.947,18.94,-0.1089,0.2447,0.2217,0.0922,0.5752,326,0.2154,5.541,6.565,0.04081,0.4617,0.6218,0.1284,0.9796,138,0.4758,34.14,0.0001281,6.104,0.4161,0.1456,0.156,0.7985,138,0.4086,-5.863,2.459,0.2603,-0.8447,0.2709,0.1253,21.33,1.377,1.841,1.391,1.916,1.13,1.483,1.701,1.692,1.388
