scenario,v_pred,a_pred,nu_pred,vmac_n,vmac_rms,vmac_dBIC,vmac_floor,vmac_a,vmac_slope_logL,vmac_slope_logTeff,vmac_slope_tau,vmac_slope_logM,vmac_hot_n,vmac_hot_rms,vmac_hot_dBIC,vmac_hot_floor,vmac_hot_a,vmac_hot_slope_logL,vmac_hot_slope_logTeff,vmac_hot_slope_tau,vmac_hot_slope_logM,alpha0_n,alpha0_rms,alpha0_dBIC,alpha0_floor,alpha0_a,alpha0_slope_logL,alpha0_slope_logTeff,alpha0_slope_tau,alpha0_slope_logM,nuchar_n,nuchar_rms,nuchar_dBIC,nuchar_a,nuchar_slope_logL,nuchar_slope_logTeff,nuchar_slope_tau,nuchar_slope_logM,joint_dBIC,ratio_logL_lo,ratio_logL_hi,ratio_tau_lo,ratio_tau_hi,ratio_logM_lo,ratio_logM_hi,ratio_logL,ratio_tau,ratio_logM
S0 MLT at the FeCZ,"v_c,max",F_c/F,1/(2pi t_c),459,0.2295,-2.633,28.38,0.04117,0.3729,-0.3263,0.257,0.6072,395,0.2193,55.95,27.84,0.04904,0.4776,-0.07186,0.2695,0.7831,167,0.4368,23.13,139.1,3.78,1.381,-3.352,1.309,1.205,161,0.388,-22.41,0.4465,-0.2394,2.92,-0.5869,0.5024,-1.917,3.237,4.186,4.376,5.921,1.699,2.261,3.704,5.092,1.984
S1 incoherent cells,"v_c,max",F_c/F x cells,1/(2pi t_c),459,0.2295,-2.633,28.38,0.04117,0.3729,-0.3263,0.257,0.6072,395,0.2193,55.95,27.84,0.04904,0.4776,-0.07186,0.2695,0.7831,167,0.4327,20.02,185.3,4.972,1.409,-3.832,1.307,1.11,161,0.388,-22.41,0.4465,-0.2394,2.92,-0.5869,0.5024,-5.024,3.286,4.326,4.335,6.035,1.546,2.141,3.778,5.086,1.827
S2 Cantiello+09 microturbulence,C09 microturb,M_s^2 [C09 microturb],v_s/(2pi H_s) [C09 microturb],459,0.2798,179.6,41,-0.06076,0.1317,-0.5145,0.1595,0.04202,395,0.269,217.5,48.97,-0.5176,0.0307,-0.2327,0.05967,-0.02296,167,0.5619,107.3,314.2,4.008,0.2971,-1.886,0.5241,-0.2348,161,0.596,115.8,0.008837,-1.063,-2.561,0.07191,-2.484,402.6,0.4304,3.817,0.8242,4.932,-8.932,-3.651e-06,2.257,3.286,-5.588
"S3 M_x F_c waves, v saturated","sat[wave M_x F_c, v_g=v]",M_x F_c/F,1/(2pi t_c),459,0.2317,6.44,22.86,-0.05747,0.2862,0.1032,0.1728,0.569,395,0.2097,20.61,10.53,0.08617,0.4489,0.1148,0.3071,0.7442,167,0.4465,30.47,166.7,4.281,1.331,-3.175,1.213,1.214,161,0.388,-22.41,0.4465,-0.2394,2.92,-0.5869,0.5024,14.49,4.101,5.289,6.152,8.202,1.818,2.452,4.651,7.017,2.134
"S3t M_t F_c waves, v saturated","sat[wave M_t F_c, v_g=v]",M_t F_c/F,1/(2pi t_c),459,0.2312,4.463,23.05,-0.03216,0.3158,-0.05519,0.222,0.5652,395,0.2107,24.43,11.88,0.1003,0.4751,-0.1287,0.3731,0.7126,167,0.4129,4.396,155.2,5.203,1.521,-4.467,1.542,1.004,161,0.388,-22.41,0.4465,-0.2394,2.92,-0.5869,0.5024,-13.55,4.303,5.388,6.16,7.985,1.555,2.007,4.817,6.946,1.777
"S3c as S3, cells-diluted flux","sat[wave M_x F_c, v_g=v]",M_x F_c/F x cells,1/(2pi t_c),459,0.2317,6.44,22.86,-0.05747,0.2862,0.1032,0.1728,0.569,395,0.2097,20.61,10.53,0.08617,0.4489,0.1148,0.3071,0.7442,167,0.4438,28.5,202,5.451,1.329,-3.537,1.199,1.094,161,0.388,-22.41,0.4465,-0.2394,2.92,-0.5869,0.5024,12.53,4.111,5.283,6.055,8.332,1.631,2.24,4.641,6.939,1.922
S4 core IGW (undamped),"core IGW, v_g=c_s",core IGW flux/F*,core turnover,460,0.2247,-21.97,17.3,-0.0746,0.2965,0.2161,0.09769,0.65,395,0.2079,13.79,8.195,0.0186,0.4626,0.5408,0.1229,0.9299,167,0.5228,83.2,1.003e-06,6.218,0.4632,0.04217,0.1894,0.8108,167,0.4216,7.551,2.42,0.206,-0.7305,0.2672,0.07982,68.78,1.438,1.695,1.756,2.171,1.145,1.334,1.562,1.938,1.247
