scenario,v_pred,a_pred,nu_pred,vmac_n,vmac_rms,vmac_dBIC,vmac_floor,vmac_a,vmac_slope_logL,vmac_slope_logTeff,vmac_slope_tau,vmac_slope_logM,vmac_hot_n,vmac_hot_rms,vmac_hot_dBIC,vmac_hot_floor,vmac_hot_a,vmac_hot_slope_logL,vmac_hot_slope_logTeff,vmac_hot_slope_tau,vmac_hot_slope_logM,alpha0_n,alpha0_rms,alpha0_dBIC,alpha0_floor,alpha0_a,alpha0_slope_logL,alpha0_slope_logTeff,alpha0_slope_tau,alpha0_slope_logM,nuchar_n,nuchar_rms,nuchar_dBIC,nuchar_a,nuchar_slope_logL,nuchar_slope_logTeff,nuchar_slope_tau,nuchar_slope_logM,joint_dBIC,ratio_logL_lo,ratio_logL_hi,ratio_tau_lo,ratio_tau_hi,ratio_logM_lo,ratio_logM_hi,ratio_logL,ratio_tau,ratio_logM
S0 MLT at the FeCZ,"v_c,max",F_c/F,1/(2pi t_c),424,0.2489,49.2,33.58,-0.1214,0.2986,-0.482,0.2566,0.4038,359,0.2412,106.9,35.62,-0.1563,0.3375,-0.2918,0.2442,0.4813,147,0.4477,24.27,190.1,3.69,1.156,-3.113,1.041,0.8788,137,0.5416,64.29,0.6678,0.936,0.4144,0.3225,1.672,137.8,3.293,4.614,3.349,5.003,1.839,2.686,3.872,4.055,2.176
S1 incoherent cells,"v_c,max",F_c/F x cells,1/(2pi t_c),424,0.2489,49.2,33.58,-0.1214,0.2986,-0.482,0.2566,0.4038,359,0.2412,106.9,35.62,-0.1563,0.3375,-0.2918,0.2442,0.4813,147,0.443,21.18,196,4.882,1.193,-3.291,1.05,0.8805,137,0.5416,64.29,0.6678,0.936,0.4144,0.3225,1.672,134.7,3.38,4.801,3.364,5.124,1.841,2.701,3.996,4.09,2.18
S2 Cantiello+09 microturbulence,C09 microturb,M_s^2 [C09 microturb],v_s/(2pi H_s) [C09 microturb],424,0.2504,54.24,33.74,-0.7309,0.3226,-0.6871,0.2955,0.3604,359,0.2431,112.5,35.86,-0.7665,0.3384,-0.5599,0.2852,0.3873,147,0.4575,30.66,204.6,1.616,1.017,-2.906,0.9354,0.6978,137,0.5875,86.54,-1.047,1.385,-1.435,0.9574,1.745,171.4,2.719,3.774,2.677,3.826,1.633,2.425,3.154,3.165,1.936
"S3 M_x F_c waves, v saturated","sat[wave M_x F_c, v_g=v]",M_x F_c/F,1/(2pi t_c),424,0.2433,29.94,27.56,-0.09111,0.2908,-0.273,0.2735,0.4499,359,0.2345,86.88,26.12,-0.06426,0.3394,-0.2611,0.316,0.4662,147,0.4598,32.1,214.1,4.113,1.027,-2.765,0.8975,0.7968,137,0.5416,64.29,0.6678,0.936,0.4144,0.3225,1.672,126.3,2.9,4.319,2.684,4.102,1.477,2.227,3.533,3.281,1.771
"S3t M_t F_c waves, v saturated","sat[wave M_t F_c, v_g=v]",M_t F_c/F,1/(2pi t_c),424,0.2421,25.73,27.38,-0.08385,0.2928,-0.2521,0.2695,0.4622,359,0.2332,82.69,25.75,-0.05525,0.3464,-0.2313,0.3136,0.4872,147,0.4605,32.53,214.8,4.125,1.023,-2.744,0.8901,0.8,137,0.5416,64.29,0.6678,0.936,0.4144,0.3225,1.672,122.5,2.829,4.27,2.684,4.166,1.441,2.167,3.496,3.303,1.731
"S3c as S3, cells-diluted flux","sat[wave M_x F_c, v_g=v]",M_x F_c/F x cells,1/(2pi t_c),424,0.2433,29.94,27.56,-0.09111,0.2908,-0.273,0.2735,0.4499,359,0.2345,86.88,26.12,-0.06426,0.3394,-0.2611,0.316,0.4662,147,0.4556,29.39,220.7,5.29,1.054,-2.934,0.909,0.779,137,0.5416,64.29,0.6678,0.936,0.4144,0.3225,1.672,123.6,2.934,4.418,2.668,4.221,1.448,2.182,3.624,3.323,1.732
S4 core IGW (undamped),"core IGW, v_g=c_s",core IGW flux/F*,core turnover,427,0.2282,-24.35,17.07,-0.06849,0.2778,0.257,0.08958,0.6426,360,0.21,8.381,6.642,0.0413,0.4645,0.5974,0.1248,0.9671,148,0.5073,61.95,5.317e-06,6.152,0.395,0.118,0.157,0.7434,148,0.4273,2.345,2.439,0.2304,-0.8347,0.2772,0.08281,39.94,1.109,1.608,1.458,2.044,0.9171,1.257,1.422,1.752,1.157
