# subgrid mass class termination_code min_timestep_limit model_number Xc star_age
MW/w0.4 M80 running running None 117239 0.012773890805569055 3321527.069653573
MW/w0.4 M100 running running None 120673 0.07777046496986045 2830635.792510691
MW/w0.4 M120 running running None 118564 0.14226885898297972 2454517.5585611127
MW/w0.6 M5.0 fail_ms min_timestep_limit 1e-08 889 0.004892839060642135 102493286.41664702
MW/w0.6 M5.2 fail_ms min_timestep_limit 1e-08 904 0.005076731234907419 93553579.25150132
MW/w0.6 M5.4 fail_ms min_timestep_limit 1e-08 920 0.0049182521762430546 85559257.08803977
MW/w0.6 M5.6 fail_ms min_timestep_limit 1e-08 937 0.002329034254116759 78851597.32539342
MW/w0.6 M5.8 fail_ms min_timestep_limit 1e-08 959 0.0036586156738846864 72637676.35495995
MW/w0.6 M6.0 fail_ms min_timestep_limit 1e-08 978 0.0017304256885330885 67552366.10237744
MW/w0.6 M6.5 fail_ms min_timestep_limit 1e-08 1038 0.0010518017941096686 56949094.117870696
MW/w0.6 M7.0 fail_pms min_timestep_limit 1e-08 1106 0.00046229102123673024 48622791.783726074
MW/w0.6 M7.5 fail_pms min_timestep_limit 1e-08 1197 0.00030805423445316564 42637005.56120884
MW/w0.6 M8.0 fail_pms min_timestep_limit 1e-08 1299 1.7123214490692072e-05 37349861.73707014
MW/w0.6 M9.0 done done None 3176 0.0 33127339.71763067
MW/w0.6 M10 done done None 3189 0.0 27267648.85706842
MW/w0.6 M11 done done None 3750 0.0 23203031.85452789
MW/w0.6 M12 done done None 3697 0.0 20120579.049153354
MW/w0.6 M13 done done None 3644 0.0 17721724.71641833
MW/w0.6 M14 done done None 3615 0.0 16122452.405827696
MW/w0.6 M15 done done None 3628 0.0 14687603.096757235
MW/w0.6 M16 done done None 3824 0.0 13454803.871892883
MW/w0.6 M17 done done None 4153 0.0 12514327.888786664
MW/w0.6 M18 done done None 4424 0.0 11596139.74866301
MW/w0.6 M19 done done None 4985 0.0 10905512.983011642
MW/w0.6 M20 done done None 5597 0.0 10380471.707795104
MW/w0.6 M21 done done None 6216 0.0 9858235.62416955
MW/w0.6 M22 fail_pms min_timestep_limit 0.1 5560 0.0 8641186.671646351
MW/w0.6 M23 fail_pms min_timestep_limit 0.1 6304 0.0 8281656.9245007625
MW/w0.6 M24 fail_pms min_timestep_limit 0.1 7227 0.0 8010721.023151687
MW/w0.6 M25 done done None 30220 0.0 8421162.46756497
MW/w0.6 M30 fail_pms min_timestep_limit 0.1 13503 4.654377304727489e-27 6606014.9162794305
MW/w0.6 M40 running running None 78565 0.0 5418651.9366583945
MW/w0.6 M50 fail_pms min_timestep_limit 0.1 42982 9.254747763100657e-30 4523604.69728147
MW/w0.6 M60 running running None 99108 0.0 4051372.3529143734
MW/w0.6 M80 running running None 124079 0.021529329610041312 3373254.8818205837
MW/w0.6 M100 running running None 125531 0.0837949759183187 2851507.0514026736
MW/w0.6 M120 running running None 123674 0.14670324908080004 2466289.4767396473
LMC/w0.0 M5.0 done done None 2474 0.0 105731543.40669698
LMC/w0.0 M5.2 done done None 2409 0.0 96760541.77434236
LMC/w0.0 M5.4 done done None 2232 0.0 89096760.25414951
LMC/w0.0 M5.6 done done None 2552 0.0 82135549.60157886
LMC/w0.0 M5.8 done done None 2558 0.0 76378263.1150149
LMC/w0.0 M6.0 done done None 2603 0.0 70939667.81096202
LMC/w0.0 M6.5 done done None 2592 0.0 59733542.75610669
LMC/w0.0 M7.0 done done None 2704 0.0 51366653.06359286
LMC/w0.0 M7.5 done done None 2803 0.0 44860599.26679649
LMC/w0.0 M8.0 done done None 2230 0.0 39506396.63467403
LMC/w0.0 M9.0 done done None 2461 0.0 31675399.982838325
LMC/w0.0 M10 done done None 2383 0.0 26314181.060334668
LMC/w0.0 M11 done done None 2391 0.0 22511704.643884573
LMC/w0.0 M12 done done None 2412 6.014197341349051e-35 19740872.119151562
LMC/w0.0 M13 done done None 2607 0.0 17452244.77317822
LMC/w0.0 M14 done done None 2520 0.0 15693018.537420204
LMC/w0.0 M15 done done None 2352 0.0 14289352.18492059
LMC/w0.0 M16 done done None 2522 0.0 13099249.221895669
LMC/w0.0 M17 done done None 2660 0.0 12153298.543910887
LMC/w0.0 M18 done done None 2606 0.0 11347720.868274149
LMC/w0.0 M19 done done None 2945 0.0 10639185.492529372
LMC/w0.0 M20 done done None 3180 0.0 10018957.125275444
LMC/w0.0 M21 done done None 3402 0.0 9498772.980358144
LMC/w0.0 M22 done done None 3804 0.0 9027815.075797264
LMC/w0.0 M23 done done None 4267 0.0 8607362.332232773
LMC/w0.0 M24 done done None 4483 0.0 8261827.485097176
LMC/w0.0 M25 done done None 5127 0.0 7924072.509988237
LMC/w0.0 M30 done done None 7435 0.0 6723251.406592368
LMC/w0.0 M40 done done None 13890 0.0 5462194.61323832
LMC/w0.0 M50 fail_ms min_timestep_limit 0.1 16574 0.12099689103980107 4279951.617432964
LMC/w0.0 M60 running running None 102596 0.0 4399514.754697651
LMC/w0.0 M80 running running None 100259 0.0 3526138.7096536118
LMC/w0.0 M100 fail_pms min_timestep_limit 0.1 81705 4.825940803141243e-29 3065751.259217174
LMC/w0.0 M120 running running None 117069 0.0 2861615.4803565103
LMC/w0.2 M5.0 done done None 2221 0.0 106361595.8845335
LMC/w0.2 M5.2 done done None 2381 0.0 97753490.11968757
LMC/w0.2 M5.4 done done None 2529 0.0 89631502.7395516
LMC/w0.2 M5.6 done done None 2478 0.0 82713973.60344051
LMC/w0.2 M5.8 done done None 2501 0.0 76801147.2062769
LMC/w0.2 M6.0 done done None 2584 0.0 71181610.02174267
LMC/w0.2 M6.5 done done None 2650 0.0 60360403.58047299
LMC/w0.2 M7.0 done done None 2644 0.0 51706466.69797409
LMC/w0.2 M7.5 done done None 2719 0.0 45111295.55087476
LMC/w0.2 M8.0 done done None 2206 0.0 39730662.739903845
LMC/w0.2 M9.0 done done None 2553 0.0 31920455.429318763
LMC/w0.2 M10 done done None 2533 0.0 26504406.38606487
LMC/w0.2 M11 done done None 2409 0.0 22653799.68609911
LMC/w0.2 M12 done done None 2471 0.0 19745154.657465104
LMC/w0.2 M13 done done None 2495 0.0 17557910.993869722
LMC/w0.2 M14 done done None 2453 0.0 15823959.96781175
LMC/w0.2 M15 done done None 2472 0.0 14363128.111420957
LMC/w0.2 M16 done done None 2297 0.0 13245708.808412187
LMC/w0.2 M17 done done None 2764 0.0 12234295.127613066
LMC/w0.2 M18 done done None 2935 0.0 11390625.458691606
LMC/w0.2 M19 fail_pms min_timestep_limit 0.1 3836 0.0 12366594.587505614
LMC/w0.2 M20 done done None 3002 0.0 10083902.984990217
LMC/w0.2 M21 done done None 3941 0.0 9930673.29706112
LMC/w0.2 M22 done done None 3810 0.0 9066679.859241506
LMC/w0.2 M23 done done None 4420 0.0 8660837.332997486
LMC/w0.2 M24 fail_pms min_timestep_limit 0.1 5122 3.969580322655229e-27 9030699.988964247
LMC/w0.2 M25 done done None 5459 0.0 8025781.397362639
LMC/w0.2 M30 fail_pms min_timestep_limit 0.1 8091 0.0 7267472.489398013
LMC/w0.2 M40 fail_ms min_timestep_limit 0.1 12422 0.05368713407768629 5015938.993756888
LMC/w0.2 M50 done done None 25646 0.0 4813062.533443876
LMC/w0.2 M60 fail_pms min_timestep_limit 0.1 24442 1.8292112877119377e-29 3924486.5010623424
LMC/w0.2 M80 running running None 84258 0.0 3440216.327464213
LMC/w0.2 M100 running running None 93629 9.981938013532246e-30 3101924.2386743356
LMC/w0.2 M120 running running None 103109 0.0 2887402.4864382376
LMC/w0.4 M5.0 done done None 2275 0.0 108408963.82909906
LMC/w0.4 M5.2 done done None 2371 0.0 99630429.58498193
LMC/w0.4 M5.4 done done None 2450 0.0 91857022.13591188
LMC/w0.4 M5.6 fail_pms min_timestep_limit 0.1 2098 0.0 83135490.7886169
LMC/w0.4 M5.8 done done None 2427 0.0 77914226.58038887
LMC/w0.4 M6.0 done done None 2231 0.0 72368352.41409563
LMC/w0.4 M6.5 done done None 2125 0.0 62037396.785836
LMC/w0.4 M7.0 done done None 2541 0.0 52726482.83718897
LMC/w0.4 M7.5 done done None 2402 0.0 46189164.61114608
LMC/w0.4 M8.0 done done None 2173 0.0 40693756.664576165
LMC/w0.4 M9.0 done done None 2527 0.0 32522091.338284492
LMC/w0.4 M10 done done None 2201 0.0 27159919.11129411
LMC/w0.4 M11 done done None 2493 0.0 23301556.522457946
LMC/w0.4 M12 done done None 2537 0.0 20337118.306734655
LMC/w0.4 M13 done done None 2576 0.0 18018217.048077382
LMC/w0.4 M14 done done None 2667 0.0 16322689.193779822
LMC/w0.4 M15 done done None 2727 0.0 14779492.145443909
LMC/w0.4 M16 fail_pms min_timestep_limit 0.1 2235 0.0 12374452.273594934
LMC/w0.4 M17 fail_pms min_timestep_limit 0.1 2382 0.0 11524333.490967454
LMC/w0.4 M18 fail_pms min_timestep_limit 0.1 2205 4.247146517685515e-05 10698160.741197594
LMC/w0.4 M19 fail_pms min_timestep_limit 0.1 2272 1.3559585935501478e-05 9998669.370577445
LMC/w0.4 M20 fail_pms min_timestep_limit 0.1 2520 7.399063380837469e-08 9425660.12793699
LMC/w0.4 M21 fail_pms min_timestep_limit 0.1 2827 3.825946009021551e-08 8908839.878835775
LMC/w0.4 M22 fail_pms min_timestep_limit 0.1 3502 4.684530405721508e-16 8496277.189337514
LMC/w0.4 M23 fail_pms min_timestep_limit 0.1 3855 6.073281602575409e-16 8121190.299598444
LMC/w0.4 M24 fail_pms min_timestep_limit 0.1 4327 1.8944813937095148e-23 7804970.3638235275
