id,sector,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,dbic_slf_vs_white
HD_39680,45,12004,13.106,6085.7,3.1907,52.942,2.2268,1.3515,5918.5
HD_39985,6,5754.8,3.1697,4957.7,0.20893,42.932,1.4296,2.385,797.11
HD_39985,33,5384.4,2.2343,4593.9,0.54391,14.114,3.6335,1.7785,790.43
HD_39985,87,5275.1,2.4406,4075.4,0.25936,27.95,1.0686,1.567,1199.6
HD_41161,19,15008,26.192,10187,4.754,86.593,1.8492,0.99716,4821.5
HD_41753,6,21147,265.53,13315,0.34117,5074.2,1.6501,17.229,7831.6
HD_41753,33,24246,216.49,14248,0.3121,4869.1,1.7567,12.328,9998.1
HD_41753,43,25943,488.62,14666,0.46161,8109.9,2.4208,19.332,11277
HD_41753,44,25005,396.64,14031,0.33415,8876.6,2.0388,15.58,10974
HD_41997,6,12250,20.535,6117.9,2.3974,95.836,1.9045,1.2047,6131.8
HD_41997,33,13203,14.876,5876.2,3.2772,58.64,2.0576,0.61536,7326.5
HD_41997,43,12646,15.759,5956.6,2.8649,66.917,1.918,0.72151,6689.1
HD_41997,44,12454,15.303,5939.7,3.3212,60.652,2.0607,0.80437,6514.5
HD_42088,43,6658.4,3.368,3365.6,0.22905,50.949,0.95658,0.86455,3292.9
HD_42088,44,7217.8,3.9356,3626.8,0.45746,41.26,1.1264,1.026,3591
HD_42088,45,6641.7,3.2954,3988,0.78736,25.28,1.1614,1.1647,2653.6
HD_42088,71,6733.9,3.428,3630.6,0.02,182.89,0.77435,0.88369,3103.2
HD_43112,6,4802.8,2.4103,4706,0.36721,10.127,0.91096,2.2232,96.775
HD_43112,33,4485.9,1.7969,4399.2,1.9992,3.515,1.1513,1.6456,86.708
HD_43112,43,4205.6,1.7899,4046.3,1.9849,4.1349,1.3485,1.5921,159.3
HD_43112,44,4757.4,2.0792,4762.5,0.02,7.3252,0.33073,1.9129,-5.1126
HD_44743,6,10666,13.019,7798.4,0.02,598.56,0.73851,2.809,2867.1
HD_44743,33,11049,8.8245,8939.2,0.24518,96.692,0.74064,2.4496,2109.8
HD_44743,87,17558,36.067,11007,0.41715,437.19,1.2067,3.5983,6550.7
HD_44811,43,1925.8,0.99458,999.61,0.18059,10.327,0.72775,0.59895,926.19
HD_44811,44,2327.1,1.1071,1328.4,0.42457,8.1805,0.79384,0.63366,998.68
HD_44811,45,2355.3,1.1041,1269.2,0.12814,14.17,0.72757,0.63359,1086.1
HD_44811,71,1913.6,0.99095,1136.6,1.8434,3.7886,1.0787,0.637,776.97
HD_46056,6,5945.1,3.3481,4180.3,7.2978,8.6251,1.6563,0.81194,1764.9
HD_46056,33,6291.3,2.7839,4276.3,9.5698,6.2508,2.0045,0.70273,2015.1
HD_46056,87,6103.3,3.0378,4132.9,7.4986,7.7642,1.6327,0.6428,1970.4
HD_46150,6,12275,20.686,8874,4.9645,66.044,1.7397,1.939,3401.1
HD_46150,87,12879,18.208,9210.4,5.7391,54.577,1.8475,1.5103,3669
HD_46223,6,12333,21.032,8549.7,4.0317,74.483,1.6266,1.2089,3783.1
HD_46223,33,14398,19.878,9680.5,4.8603,64.41,1.8338,1.1637,4717.7
HD_46223,87,13317,20.442,8906.5,4.6914,67.603,1.7786,0.59817,4411
HD_46328,6,13623,30.488,10669,0.34652,326.04,0.92214,6.6325,2954.4
HD_46328,33,14069,18.351,10490,1.2896,109.34,1.1177,3.0827,3578.6
HD_46328,87,24009,162.76,17518,0.46039,1739,1.1897,15.779,6491.2
HD_46485,6,14555,39.861,6551.6,0.61399,375.71,1.5084,1.4731,8003.6
HD_46485,33,16754,35.198,6965.8,0.34425,453.95,1.3351,0.84259,9788.7
HD_46485,87,15593,37.295,7675.8,0.90525,298.43,1.5853,1.7215,7916.8
HD_46573,6,10986,14.276,6582.1,2.5045,62.96,1.4769,0.75503,4404.1
HD_46573,33,12694,13.15,7396.8,2.8639,55.187,1.5495,0.51991,5297.3
HD_46573,87,11445,12.542,6967.2,3.3416,48.722,1.5652,0.5053,4477.6
HD_46769,6,6736.2,4.2037,5397.5,0.061213,175.34,1.2375,2.6747,1338.7
HD_46769,87,6861,3.7255,5347.5,0.02,193.9,0.87958,2.2212,1513.5
HD_47432,33,25938,326.28,14678,0.7443,2883.5,1.7875,8.5904,11260
HD_47432,87,23265,287.01,12820,0.68638,2831.7,1.7879,7.2255,10445
HD_47839,6,14215,36.143,11896,2.2678,159.92,1.0443,1.9726,2319.1
HD_47839,33,18056,48.258,15304,3.2004,184.93,1.1752,5.0479,2752
HD_47839,87,16659,49.437,13532,5.4487,149.86,1.5525,0.00022656,3127
HD_48279,6,9409.8,9.0714,6016.6,3.0782,36.471,1.569,1.454,3393.1
HD_48279,33,11048,8.8231,6036.5,2.3789,40.931,1.4935,0.78812,5011.9
HD_48279,87,10496,10.329,6727.1,3.1093,41.672,1.6854,1.7532,3769.1
HD_48434,6,20974,252.61,12904,1.1996,1651.7,1.8994,11.334,8070
HD_48434,33,24032,205.53,15205,1.3648,1272.7,1.8762,10.855,8826.2
HD_48434,87,21431,185.36,13075,1.7505,1013.7,1.9986,7.3538,8355.6
HD_48977,6,17331,88.572,8813.5,0.20294,2913,1.5995,4.5499,8517
HD_48977,33,19707,72.012,9306.8,0.083749,5561.4,1.4033,2.5402,10400
HD_48977,87,17892,72.024,8802.6,0.052527,9057.1,1.3487,2.7004,9089.3
HD_50707,6,18616,128.2,13468,6.5661,351.47,2.9154,8.7348,5147.4
HD_50707,7,20744,122.93,14692,6.9107,328.14,2.9956,6.639,6051
HD_50707,33,21516,111.67,14195,6.7955,298.95,3.1735,4.0773,7321.3
HD_50707,87,21409,113.33,14661,7.3388,293.98,3.3084,5.2687,6748.1
HD_51309,6,25415,906.57,19103,0.25539,14282,1.4969,112.63,6312.7
HD_51309,7,28850,980.48,19513,0.23779,18607,1.5319,57.328,9337
HD_51309,33,29141,709.51,18066,0.31222,11026,1.6335,28.079,11075
HD_51309,87,28362,619.75,17745,0.55427,6426.3,1.7279,24.357,10616
HD_52089,6,27076,1461.7,22089,0.21611,24550,0.99986,0.31275,4986.8
HD_52089,7,31479,1922.7,24021,1.1661,12910,1.4656,0.087468,7458.1
HD_52089,33,32661,1665.7,25047,1.2647,10664,1.5092,59.708,7613.4
HD_52089,34,32383,2052.1,25079,1.3731,12616,1.601,111.32,7304.5
HD_53138,7,33068,2888.3,21870,0.10086,1e+05,1.5004,108.35,11197
HD_53138,87,38084,4322.5,28565,0.12955,1e+05,1.2037,220.04,9518.7
HD_53244,7,18932,77.297,10946,0.02,6011.5,1.1605,7.9321,7985.9
HD_53244,33,21601,114.01,11488,0.02,12552,1.2851,7.6103,10113
HD_53244,87,21882,127.19,12591,0.02,8498.2,1.0388,6.9719,9290.2
HD_53975,7,13937,21.501,9046.6,0.73099,160.33,1.0577,0.00023621,4890
HD_53975,33,14667,21.217,9298.2,0.64608,181.26,1.0826,0.59564,5368.7
