gaia,sector,Tmag,nu_in,R,a0_in,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white
4685959373284393728,28,13.9,1.5,0.1,0.075942,0.75942,0.28674,-4199.2,0.21348,-6730.9,0.47069,2.1691,1.79,0.10328,-6736.8,0.53176,0.10206,-6724,0.47932,2.0828,1.8226,-0.026958,0.10322,-12.818,2531.7
4685959373284393728,28,13.9,1.5,0.25,0.18985,0.75942,0.28674,-4196.4,0.21363,-6731.4,0.55256,1.9747,1.993,0.10364,-6733.3,0.53383,0.1021,-6724.5,0.56985,1.8765,2.0582,-0.0098827,0.10356,-8.8313,2535.1
4685959373284393728,28,13.9,3,0.1,0.075942,0.75942,0.28674,-4160.6,0.21553,-6718.6,0.48286,2.1591,1.7971,0.10343,-6724.7,0.54078,0.10217,-6711.7,0.49253,2.0711,1.8301,-0.023374,0.10337,-13.054,2558
4685959373284393728,28,13.9,3,0.25,0.18985,0.75942,0.28674,-4122.3,0.21759,-6628.7,0.51971,2.0773,1.6672,0.10413,-6638.8,0.59872,0.10306,-6624.2,1.7972,0.33281,10,0.52804,0.10361,-14.644,2506.4
4685959373284393728,67,13.9,0.3,0.1,0.18962,1.8962,0.22745,-3654.6,0.26549,-4380.1,0.02,17.34,1.0359,0.21449,-4391.3,0.12114,0.21564,-4372.3,0.27429,1.6798,3.3572,0.058312,0.21619,-18.952,725.52
4685959373284393728,67,13.9,0.3,0.25,0.47405,1.8962,0.22745,-3633.5,0.26676,-4386.3,0.02,17.827,1.052,0.2146,-4396.7,0.11476,0.2155,-4379.1,0.24895,1.7497,9.4523,0.058174,0.216,-17.567,752.8
4685959373284393728,67,13.9,0.7,0.1,0.18962,1.8962,0.22745,-3507.8,0.27443,-4374.2,0.02,21.298,1.0797,0.21452,-4385.1,0.15278,0.21525,-4367.1,0.27994,1.9007,3.6595,0.084463,0.21589,-18.032,866.35
4685959373284393728,67,13.9,0.7,0.25,0.47405,1.8962,0.22745,-3600.6,0.26874,-4373.2,0.02,16.635,1.0042,0.21374,-4384.5,0.14792,0.21539,-4364.9,0.23343,1.5796,8.6155,0.11837,0.21569,-19.572,772.58
4685959373284393728,67,13.9,1.5,0.1,0.18962,1.8962,0.22745,-3631.7,0.26687,-4370.2,0.02,15.798,0.99346,0.21397,-4380.9,0.13838,0.21579,-4362.2,0.26752,1.523,10,0.093795,0.21623,-18.764,738.45
4685959373284393728,67,13.9,1.5,0.25,0.47405,1.8962,0.22745,-3303.7,0.28737,-4310.7,0.030822,12.009,0.93763,0.21102,-4319,0.29737,0.21482,-4303.8,4.6117,0.17542,4.326,0.22843,0.21301,-15.218,1007.1
4685959373284393728,67,13.9,3,0.1,0.18962,1.8962,0.22745,-3482.7,0.27599,-4342,0.02,15.237,0.94188,0.21263,-4350.9,0.20325,0.21579,-4338.7,4.3766,0.16148,10,0.14599,0.21345,-12.209,859.25
4685959373284393728,67,13.9,3,0.25,0.47405,1.8962,0.22745,-3379.9,0.28247,-4203.5,0.21918,2.8238,0.92582,0.20902,-4190.8,0.42008,0.21728,-4198.3,3.2474,0.43653,1.8678,0.16022,0.21255,7.5683,823.59
4685959373284393728,68,13.9,0.3,0.1,0.16011,1.6011,0.39049,-1929,0.39047,-3671.1,0.065272,13.094,1.0624,0.23748,-3676,0.27707,0.23665,-3665.8,0.44303,2.7041,3.6385,0.20376,0.23862,-10.254,1742.1
4685959373284393728,68,13.9,0.3,0.25,0.40028,1.6011,0.39049,-1914.6,0.39175,-3671.2,0.070764,12.556,1.0786,0.23787,-3675.6,0.27638,0.23672,-3666.6,0.46315,2.6567,4.0393,0.19841,0.23879,-9.0122,1756.6
4685959373284393728,68,13.9,0.7,0.1,0.16011,1.6011,0.39049,-1907.9,0.39235,-3670.5,0.065613,13.215,1.0667,0.23754,-3675.2,0.27869,0.23659,-3665.4,0.46473,2.6512,3.8199,0.20145,0.23867,-9.7152,1762.7
4685959373284393728,68,13.9,0.7,0.25,0.40028,1.6011,0.39049,-1919.8,0.39129,-3664.6,0.068767,12.53,1.0611,0.23752,-3670,0.28048,0.23678,-3659.1,0.45791,2.6269,3.6191,0.20833,0.23875,-10.948,1744.8
4685959373284393728,68,13.9,1.5,0.1,0.16011,1.6011,0.39049,-1960.2,0.38771,-3679.1,0.0607,13.774,1.0612,0.2375,-3683.6,0.27072,0.2366,-3674.1,0.47148,2.5732,4.0832,0.19162,0.23869,-9.4558,1718.9
4685959373284393728,68,13.9,1.5,0.25,0.40028,1.6011,0.39049,-1906.7,0.39246,-3653.4,0.08915,10.201,1.0657,0.23706,-3660.5,0.29201,0.23659,-3647.6,0.4468,2.5298,3.9805,0.23645,0.23817,-12.939,1746.7
4685959373284393728,68,13.9,3,0.1,0.16011,1.6011,0.39049,-1920.1,0.39126,-3655.5,0.058628,13.793,1.031,0.23685,-3662,0.28784,0.23678,-3649.9,0.46423,2.5148,3.9791,0.22411,0.2386,-12.137,1735.4
4685959373284393728,68,13.9,3,0.25,0.40028,1.6011,0.39049,-1852.1,0.39736,-3601.3,0.065104,11.988,0.97935,0.23521,-3611,0.32533,0.23727,-3594,0.051245,13.385,0.96986,-0.094849,0.23544,-16.96,1749.2
4685987857514223744,28,13.7,0.3,0.1,0.14131,1.4131,0.28674,-2821.7,0.30052,-4615.9,0.56056,2.5117,2.5258,0.18077,-4612.8,0.35352,0.17799,-4609.3,0.59469,2.2663,2.8961,-0.02038,0.1802,-3.4331,1794.1
4685987857514223744,28,13.7,0.3,0.25,0.35328,1.4131,0.28674,-2780.1,0.30364,-4614,0.53695,2.6293,2.4188,0.18065,-4611.6,0.35745,0.17791,-4607.5,0.57532,2.3449,2.7966,-0.00075754,0.18009,-4.1331,1833.9
4685987857514223744,28,13.7,0.7,0.1,0.14131,1.4131,0.28674,-2781.5,0.30354,-4614.8,0.5435,2.6067,2.4658,0.18071,-4611.8,0.35754,0.1779,-4608.3,0.5806,2.3298,2.8597,0.00056531,0.1801,-3.4476,1833.3
4685987857514223744,28,13.7,0.7,0.25,0.35328,1.4131,0.28674,-2764.5,0.30482,-4605.6,0.53048,2.6717,2.3242,0.18069,-4605.4,0.36572,0.17794,-4599.3,0.58676,2.2979,2.7953,0.040984,0.18008,-6.077,1841.1
4685987857514223744,28,13.7,1.5,0.1,0.14131,1.4131,0.28674,-2846.5,0.29868,-4610.7,0.50894,2.6663,2.2535,0.18066,-4611,0.35352,0.17807,-4604.4,0.55614,2.297,2.7066,0.051206,0.18005,-6.649,1764.2
4685987857514223744,28,13.7,1.5,0.25,0.35328,1.4131,0.28674,-2726.3,0.30773,-4565.1,0.38805,3.384,1.7788,0.18094,-4572.9,0.39126,0.17864,-4560.5,0.59556,2.0298,3.1398,0.23273,0.18028,-12.396,1838.8
4685987857514223744,28,13.7,3,0.1,0.14131,1.4131,0.28674,-2766.1,0.3047,-4589.3,0.45511,2.9743,2.0279,0.18092,-4592.5,0.36942,0.17843,-4583.5,0.55031,2.2728,2.7837,0.14873,0.18021,-9.0788,1823.2
4685987857514223744,28,13.7,3,0.25,0.35328,1.4131,0.28674,-2613.5,0.31646,-4472.8,0.21086,5.0796,1.2538,0.17926,-4485.3,0.46653,0.18009,-4465.9,0.20732,4.8053,1.2451,-0.0027621,0.17925,-19.442,1859.3
4686408111398825728,27,12.6,0.3,0.1,0.184,1.84,0.92175,-5600.6,0.14338,-6900.5,0.39819,1.3261,1.3929,0.093987,-6903,-0.33809,0.095075,-6891.2,0.19255,1.7794,1.1839,-0.60659,0.093953,-11.752,1299.9
4686408111398825728,27,12.6,0.3,0.25,0.45999,1.84,0.92175,-5800.3,0.1362,-6901.2,0.51901,1.0401,1.4479,0.094075,-6903.6,-0.35585,0.095287,-6894.1,3.4413,0.10677,10,-0.43112,0.094441,-9.5772,1100.8
4686408111398825728,27,12.6,0.7,0.1,0.184,1.84,0.92175,-5636.6,0.14206,-6902,0.40472,1.2943,1.3899,0.093963,-6904.1,-0.34149,0.095091,-6892.3,0.24901,1.517,1.2289,-0.64087,0.093948,-11.723,1265.4
4686408111398825728,27,12.6,0.7,0.25,0.45999,1.84,0.92175,-5605.6,0.1432,-6891.2,0.71984,0.96423,1.7523,0.094108,-6899,-0.31316,0.094848,-6885.6,3.446,0.099624,10,-0.37332,0.09422,-13.353,1285.6
4686408111398825728,27,12.6,1.5,0.1,0.184,1.84,0.92175,-5633.5,0.14217,-6890.3,0.69847,0.96096,1.6967,0.094115,-6897.5,-0.31367,0.094894,-6883.4,3.3853,0.10073,10,-0.37519,0.094324,-14.081,1256.8
4686408111398825728,27,12.6,1.5,0.25,0.45999,1.84,0.92175,-5272.3,0.15601,-6788.7,0.55158,1.2452,1.3565,0.093622,-6769,-0.17102,0.096168,-6785,3.5508,0.17166,7.9918,-0.35353,0.094921,15.962,1516.4
4686408111398825728,27,12.6,3,0.1,0.184,1.84,0.92175,-5557.4,0.14498,-6813.8,0.44521,1.2386,1.2727,0.094198,-6803.8,-0.27546,0.096822,-6804,0.34305,1.2753,1.1592,-0.6652,0.094036,0.17158,1256.4
4686408111398825728,27,12.6,3,0.25,0.45999,1.84,0.92175,-4726.3,0.17954,-6473.6,0.9241,1.1407,1.3099,0.094252,-6376.9,0.12379,0.10127,-6465.7,3.2266,0.39275,2.0987,-0.32836,0.096099,88.805,1747.3
4686408111398825728,28,12.6,0.3,0.1,0.33895,3.3895,0.28674,-2952.4,0.29092,-5665.1,0.55084,2.7063,1.7724,0.13242,-5674.8,0.061821,0.13072,-5662.2,1.5912,0.61463,6.2263,-0.037455,0.13165,-12.502,2712.7
4686408111398825728,28,12.6,0.3,0.25,0.84736,3.3895,0.28674,-2624.4,0.31561,-5548.1,0.50595,3.1456,1.7146,0.13546,-5558,0.097841,0.13367,-5544.1,1.4726,0.72428,5.2944,0.0086596,0.13464,-13.932,2923.7
4686408111398825728,28,12.6,0.7,0.1,0.33895,3.3895,0.28674,-2947.8,0.29126,-5636.2,0.61096,2.5577,1.8358,0.13316,-5644.8,0.076366,0.13128,-5633.2,1.5667,0.68173,5.6404,-0.034353,0.13235,-11.562,2688.4
4686408111398825728,28,12.6,0.7,0.25,0.84736,3.3895,0.28674,-2585.8,0.31865,-5563.6,0.59209,2.9163,1.8718,0.13518,-5570.2,0.10557,0.13291,-5559.1,1.3615,0.94106,4.582,-0.015901,0.13418,-11.037,2977.8
