id,gaia,sector,noise_added,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
BD_+36_4063,-1,14,3035.6,log,True,1,596.39,0.37205,1.8202,39.941,88.092,0.057045,0.098263,0.31433,2284,26.85,13812,2,True,True
BD_+36_4063,-1,14,3035.6,lin,False,0,1024.7,0.61886,8.8133,52.295,9.1991,0.0037987,0.39114,0.83282,10409,26.85,13812,2,True,True
BD_+36_4063,-1,14,3035.6,lin,True,0,1024.7,0.61886,8.8133,52.295,9.1991,0.0037987,0.39114,0.83282,10409,26.85,13812,2,True,True
BD_+36_4063,-1,15,2731.9,log,False,0,951.03,0.44462,1.9358,35.869,122.42,0.054652,0.083561,0.32679,3222.3,23.008,13197,2,True,True
BD_+36_4063,-1,15,2731.9,log,True,1,1167.3,0.17857,1.5677,33.956,363.92,0.054551,0.086493,0.34203,1951.9,23.008,13197,2,True,True
BD_+36_4063,-1,15,2731.9,lin,False,0,1008.3,0.62302,9.3461,48.911,11.436,0.0047122,0.54548,1.0538,7128.7,23.008,13197,2,True,True
BD_+36_4063,-1,15,2731.9,lin,True,5,996.18,0.62989,9.2241,47.393,11.2,0.0047555,0.52973,1.0365,7234.2,23.008,13197,2,True,True
BD_+36_4063,-1,41,2998.5,log,False,0,551.47,0.54497,2.5835,32.375,55.202,0.04607,0.13693,0.2297,2750.3,26.589,18319,2,True,True
BD_+36_4063,-1,41,2998.5,log,True,1,369.67,0.34291,1.6302,31.349,69.128,0.073081,0.10818,0.29226,1594.5,26.589,18319,2,True,True
BD_+36_4063,-1,41,2998.5,lin,False,0,875.18,0.4969,30,42.663,11.229,0.0024429,3.8504,1.0423,5214.7,26.589,18319,2,True,True
BD_+36_4063,-1,41,2998.5,lin,True,11,877.67,0.4987,30,41.346,10.196,0.002221,3.488,0.9486,6086.3,26.589,18319,2,True,True
BD_+36_4063,-1,55,3095.2,log,False,0,742.12,0.45088,2.2214,32.836,87.902,0.04731,0.10466,0.25006,2988.2,27.162,18879,2,True,True
BD_+36_4063,-1,55,3095.2,log,True,1,405.16,0.42008,1.7825,32.195,60.121,0.067681,0.10558,0.28132,1984.5,27.162,18879,2,True,True
BD_+36_4063,-1,55,3095.2,lin,False,0,913.6,0.49235,30,44.352,10.246,0.0021132,3.3614,0.94539,6456.3,27.162,18879,2,True,True
BD_+36_4063,-1,55,3095.2,lin,True,12,942.52,0.49309,30,42.335,9.4558,0.0018935,3.0075,0.87329,7610.9,27.162,18879,2,True,True
BD_+36_4145,-1,14,65.192,log,False,0,16.499,3.2268,1.7422,0.78135,0.6945,0.16892,0.055424,0.029107,9490.6,26.85,13812,2,True,True
BD_+36_4145,-1,14,65.192,log,True,0,16.499,3.2268,1.7422,0.78135,0.6945,0.16892,0.055424,0.029107,9490.6,26.85,13812,2,True,True
BD_+36_4145,-1,14,65.192,lin,False,0,21.467,2.8162,1.5543,0.76627,0.3227,0.063836,0.038919,0.070174,11849,26.85,13812,2,True,True
BD_+36_4145,-1,14,65.192,lin,True,0,21.467,2.8162,1.5543,0.76627,0.3227,0.063836,0.038919,0.070174,11849,26.85,13812,2,True,True
BD_+36_4145,-1,15,34.967,log,False,0,14.677,4.0852,1.8945,0.60625,0.55987,0.18263,0.059118,0.026791,9356.9,23.008,13207,2,True,True
BD_+36_4145,-1,15,34.967,log,True,0,14.677,4.0852,1.8945,0.60625,0.55987,0.18263,0.059118,0.026791,9356.9,23.008,13207,2,True,True
BD_+36_4145,-1,15,34.967,lin,False,0,17.954,3.8218,1.8939,0.7856,0.24306,0.069729,0.049808,0.062792,10536,23.008,13207,2,True,True
BD_+36_4145,-1,15,34.967,lin,True,0,17.954,3.8218,1.8939,0.7856,0.24306,0.069729,0.049808,0.062792,10536,23.008,13207,2,True,True
BD_+36_4145,-1,41,39.264,log,False,0,14.539,3.1578,1.6167,0.39448,0.6147,0.17296,0.048394,0.025269,10919,26.589,18319,2,True,True
BD_+36_4145,-1,41,39.264,log,True,0,14.539,3.1578,1.6167,0.39448,0.6147,0.17296,0.048394,0.025269,10919,26.589,18319,2,True,True
BD_+36_4145,-1,41,39.264,lin,False,0,16.944,3.2678,1.9541,0.78097,0.21419,0.057094,0.047619,0.047117,11742,26.589,18319,2,True,True
BD_+36_4145,-1,41,39.264,lin,True,0,16.944,3.2678,1.9541,0.78097,0.21419,0.057094,0.047619,0.047117,11742,26.589,18319,2,True,True
BD_+36_4145,-1,55,46.602,log,False,0,16.192,3.0656,1.7117,0.45675,0.70986,0.16572,0.050656,0.023696,10435,27.163,15647,2,True,True
BD_+36_4145,-1,55,46.602,log,True,0,16.192,3.0656,1.7117,0.45675,0.70986,0.16572,0.050656,0.023696,10435,27.163,15647,2,True,True
BD_+36_4145,-1,55,46.602,lin,False,0,18.289,3.3597,1.9916,0.78122,0.22442,0.056394,0.047819,0.050191,12091,27.163,15647,2,True,True
BD_+36_4145,-1,55,46.602,lin,True,0,18.289,3.3597,1.9916,0.78122,0.22442,0.056394,0.047819,0.050191,12091,27.163,15647,2,True,True
BD_+39_1328,-1,86,299.44,log,False,0,71.903,1.4159,3.3508,4.3758,3.6111,0.054175,0.13,0.031426,5816.4,26.566,11744,2,True,True
BD_+39_1328,-1,86,299.44,log,True,0,71.903,1.4159,3.3508,4.3758,3.6111,0.054175,0.13,0.031426,5816.4,26.566,11744,2,True,True
BD_+39_1328,-1,86,299.44,lin,False,0,100.67,1.1459,2.4879,4.9609,0.98597,0.014776,0.047844,0.090163,14320,26.566,11744,2,True,True
BD_+39_1328,-1,86,299.44,lin,True,0,100.67,1.1459,2.4879,4.9609,0.98597,0.014776,0.047844,0.090163,14320,26.566,11744,2,True,True
BD_+60_2522,-1,84,500.77,log,False,0,96.468,2.4041,3.1667,5.8532,3.6618,0.073289,0.095174,0.048596,8286.5,25.749,16716,2,True,True
BD_+60_2522,-1,84,500.77,log,True,0,96.468,2.4041,3.1667,5.8532,3.6618,0.073289,0.095174,0.048596,8286.5,25.749,16716,2,True,True
BD_+60_2522,-1,84,500.77,lin,False,0,145.97,1.6819,2.2119,6.3734,1.5305,0.024637,0.043701,0.18535,13529,25.749,16716,2,True,True
BD_+60_2522,-1,84,500.77,lin,True,0,145.97,1.6819,2.2119,6.3734,1.5305,0.024637,0.043701,0.18535,13529,25.749,16716,2,True,True
BD_+60_2522,-1,85,474.71,log,False,0,110.99,1.9926,2.7329,5.4799,4.9239,0.075831,0.079473,0.051108,7956.8,25.488,17721,2,True,True
BD_+60_2522,-1,85,474.71,log,True,0,110.99,1.9926,2.7329,5.4799,4.9239,0.075831,0.079473,0.051108,7956.8,25.488,17721,2,True,True
BD_+60_2522,-1,85,474.71,lin,False,0,133.08,2.0046,2.5054,6.1518,1.4782,0.02923,0.059079,0.20587,11526,25.488,17721,2,True,True
BD_+60_2522,-1,85,474.71,lin,True,0,133.08,2.0046,2.5054,6.1518,1.4782,0.02923,0.059079,0.20587,11526,25.488,17721,2,True,True
BD_+60_2635,-1,84,10.899,log,False,0,2.9023,3.6931,1.507,0.18405,0.1406,0.24894,0.066705,0.01157,7258.3,25.75,16718,2,True,True
BD_+60_2635,-1,84,10.899,log,True,0,2.9023,3.6931,1.507,0.18405,0.1406,0.24894,0.066705,0.01157,7258.3,25.75,16718,2,True,True
BD_+60_2635,-1,84,10.899,lin,False,0,4.1424,2.6272,1.2317,0.16997,0.087288,0.088571,0.038421,0.020858,10250,25.75,16718,2,True,True
BD_+60_2635,-1,84,10.899,lin,True,0,4.1424,2.6272,1.2317,0.16997,0.087288,0.088571,0.038421,0.020858,10250,25.75,16718,2,True,True
BD_+60_2635,-1,85,23.612,log,False,0,5.041,2.3288,1.2917,0.28315,0.32161,0.23166,0.061245,0.01842,6629.6,25.489,12265,2,True,True
BD_+60_2635,-1,85,23.612,log,True,0,5.041,2.3288,1.2917,0.28315,0.32161,0.23166,0.061245,0.01842,6629.6,25.489,12265,2,True,True
BD_+60_2635,-1,85,23.612,lin,False,0,9.7632,0.83106,0.79594,1e-07,0.41131,0.080865,0.030422,0.047239,10612,25.489,12265,2,True,True
BD_+60_2635,-1,85,23.612,lin,True,0,9.7632,0.83106,0.79594,1e-07,0.41131,0.080865,0.030422,0.047239,10612,25.489,12265,2,True,True
BD_+62_2078,-1,16,121.14,log,False,0,70.49,0.02,1.0381,1.5123,219.03,0.06994,0.129,0.02355,619.55,23.766,14943,2,False,True
BD_+62_2078,-1,16,121.14,log,True,0,70.49,0.02,1.0381,1.5123,219.03,0.06994,0.129,0.02355,619.55,23.766,14943,2,False,True
BD_+62_2078,-1,16,121.14,lin,False,0,15.929,0.18348,1.4796,1.8653,1.6115,0.025493,0.075629,0.013882,2953.5,23.766,14943,2,True,True
BD_+62_2078,-1,16,121.14,lin,True,0,15.929,0.18348,1.4796,1.8653,1.6115,0.025493,0.075629,0.013882,2953.5,23.766,14943,2,True,True
BD_+62_2078,-1,17,0,log,False,0,2.9873,1.8729,1.4008,0.46584,0.23775,0.22638,0.088178,0.012425,3235.3,23.66,15125,2,True,True
BD_+62_2078,-1,17,0,log,True,0,2.9873,1.8729,1.4008,0.46584,0.23775,0.22638,0.088178,0.012425,3235.3,23.66,15125,2,True,True
BD_+62_2078,-1,17,0,lin,False,0,2.9001,2.4838,1.952,0.62042,0.051341,0.06321,0.063605,0.0088293,7294.4,23.66,15125,2,True,True
BD_+62_2078,-1,17,0,lin,True,0,2.9001,2.4838,1.952,0.62042,0.051341,0.06321,0.063605,0.0088293,7294.4,23.66,15125,2,True,True
BD_+62_2078,-1,24,0,log,False,0,4.643,0.90459,1.0959,0.3679,0.54506,0.18394,0.067142,0.014934,4013.2,26.485,18207,2,True,True
BD_+62_2078,-1,24,0,log,True,0,4.643,0.90459,1.0959,0.3679,0.54506,0.18394,0.067142,0.014934,4013.2,26.485,18207,2,True,True
BD_+62_2078,-1,24,0,lin,False,0,4.5218,1.3331,1.5077,0.53899,0.088778,0.043806,0.040444,0.0095613,9250.6,26.485,18207,2,True,True
BD_+62_2078,-1,24,0,lin,True,0,4.5218,1.3331,1.5077,0.53899,0.088778,0.043806,0.040444,0.0095613,9250.6,26.485,18207,2,True,True
BN_Gem,-1,44,651.31,log,False,0,128.2,2.5008,2.7755,7.6744,5.3034,0.09058,0.084826,0.078805,7636.5,24.201,15816,2.0002,True,True
BN_Gem,-1,44,651.31,log,True,3,79.25,3.4806,3.2429,7.8327,2.7576,0.10201,0.11384,0.074678,7058.6,24.201,15816,2.0002,True,True
BN_Gem,-1,44,651.31,lin,False,0,189.03,2.1928,2.3854,8.2957,2.9444,0.045684,0.076855,0.43893,7496.2,24.201,15816,2.0002,True,True
BN_Gem,-1,44,651.31,lin,True,1,280.04,0.95687,1.2688,3.7485,6.8439,0.042863,0.034455,0.58221,9148.8,24.201,15816,2.0002,True,True
BN_Gem,-1,45,18574,log,False,0,3484.6,0.02,1.0026,230.16,15712,0.10888,0.23979,3.1164,166.02,24.285,15455,2.0002,False,True
