id,gaia,sector,noise_added,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
BD_+36_4063,-1,14,0,lin,False,0,980.16,0.62913,7.7056,13.732,8.5665,0.004,0.30462,0.75934,11108,26.85,13812,2,True,True
BD_+36_4063,-1,14,0,lin,True,40,977.42,0.62492,8.0146,9.64,8.1043,0.0037007,0.30853,0.7222,11744,26.85,13812,2,True,True
BD_+36_4063,-1,15,0,log,False,0,1123,0.30778,1.4314,6.9645,169.16,0.047555,0.033195,0.15908,8426.5,23.008,13197,2,True,True
BD_+36_4063,-1,15,0,log,True,1,459.23,0.49658,1.5793,2.8557,47.828,0.051032,0.03196,0.063994,9939.1,23.008,13197,2,True,True
BD_+36_4063,-1,15,0,lin,False,0,928.67,0.64821,7.8405,18.811,10.47,0.0052939,0.40633,0.95119,7491.5,23.008,13197,2,True,True
BD_+36_4063,-1,15,0,lin,True,40,902.55,0.6456,8.6789,15.455,9.8002,0.0048499,0.46371,0.9094,7686.5,23.008,13197,2,True,True
BD_+36_4063,-1,41,0,log,False,0,651.74,0.3842,1.6399,2.8935,65.886,0.035101,0.025979,0.04477,12961,26.589,18319,2,True,True
BD_+36_4063,-1,41,0,log,True,1,245.88,0.65934,1.5472,0.98483,19.667,0.054042,0.026134,0.036305,14043,26.589,18319,2,True,True
BD_+36_4063,-1,41,0,lin,False,0,814.87,0.50025,30,10.583,10.177,0.002396,3.7512,0.9487,5440.6,26.589,18319,2,True,True
BD_+36_4063,-1,41,0,lin,True,40,793.33,0.54878,16.903,7.8134,9.4057,0.0032815,1.4651,0.88011,6271.6,26.589,18319,2,True,True
BD_+36_4063,-1,55,0,log,False,0,1918.9,0.10515,1.2081,0.90097,498.68,0.027498,0.018179,0.077935,16236,27.162,18879,2,False,True
BD_+36_4063,-1,55,0,log,True,1,373.27,0.47806,1.4968,1.5502,35.712,0.046499,0.025711,0.04578,13443,27.162,18879,2,True,True
BD_+36_4063,-1,55,0,lin,False,0,843.75,0.5196,19.643,11.679,9.3582,0.0026975,1.7266,0.86034,6844.7,27.162,18879,2,True,True
BD_+36_4063,-1,55,0,lin,True,40,848.96,0.5468,15.427,7.1399,8.7023,0.0029441,1.0945,0.8027,7917.3,27.162,18879,2,True,True
BD_+36_4145,-1,14,0,log,False,0,19.674,2.4316,1.4962,0.5007,0.99031,0.166,0.047038,0.032246,10187,26.85,13812,2,True,True
BD_+36_4145,-1,14,0,log,True,0,19.674,2.4316,1.4962,0.5007,0.99031,0.166,0.047038,0.032246,10187,26.85,13812,2,True,True
BD_+36_4145,-1,14,0,lin,False,0,39.096,0.91159,0.99128,1.0001e-07,1.0274,0.049481,0.025593,0.10268,12950,26.85,13812,2,True,True
BD_+36_4145,-1,14,0,lin,True,0,39.096,0.91159,0.99128,1.0001e-07,1.0274,0.049481,0.025593,0.10268,12950,26.85,13812,2,True,True
BD_+36_4145,-1,15,0,log,False,0,17.095,2.9364,1.5426,0.71838,0.87278,0.20352,0.058385,0.041301,7792.4,23.008,13205,2,True,True
BD_+36_4145,-1,15,0,log,True,0,17.095,2.9364,1.5426,0.71838,0.87278,0.20352,0.058385,0.041301,7792.4,23.008,13205,2,True,True
BD_+36_4145,-1,15,0,lin,False,0,20.812,2.7634,1.545,0.91571,0.33702,0.067858,0.041396,0.072275,10247,23.008,13205,2,True,True
BD_+36_4145,-1,15,0,lin,True,0,20.812,2.7634,1.545,0.91571,0.33702,0.067858,0.041396,0.072275,10247,23.008,13205,2,True,True
BD_+36_4145,-1,41,0,log,False,0,15.255,2.8413,1.5275,0.1858,0.67533,0.16689,0.042617,0.022964,12210,26.589,18319,2,True,True
BD_+36_4145,-1,41,0,log,True,0,15.255,2.8413,1.5275,0.1858,0.67533,0.16689,0.042617,0.022964,12210,26.589,18319,2,True,True
BD_+36_4145,-1,41,0,lin,False,0,18.518,2.7614,1.692,0.44594,0.24423,0.053985,0.038631,0.049507,12665,26.589,18319,2,True,True
BD_+36_4145,-1,41,0,lin,True,0,18.518,2.7614,1.692,0.44594,0.24423,0.053985,0.038631,0.049507,12665,26.589,18319,2,True,True
BD_+36_4145,-1,55,0,log,False,0,17.519,2.6881,1.5852,0.25966,0.80249,0.15759,0.043464,0.02253,11838,27.163,15647,2,True,True
BD_+36_4145,-1,55,0,log,True,0,17.519,2.6881,1.5852,0.25966,0.80249,0.15759,0.043464,0.02253,11838,27.163,15647,2,True,True
BD_+36_4145,-1,55,0,lin,False,0,21.251,2.6432,1.5823,0.32461,0.30134,0.057021,0.037205,0.060994,12533,27.163,15647,2,True,True
BD_+36_4145,-1,55,0,lin,True,0,21.251,2.6432,1.5823,0.32461,0.30134,0.057021,0.037205,0.060994,12533,27.163,15647,2,True,True
BD_+39_1328,-1,86,0,log,False,0,78.67,1.2635,2.4501,0.74491,3.9051,0.04803,0.040341,0.0077947,13526,26.566,11744,2,True,True
BD_+39_1328,-1,86,0,log,True,0,78.67,1.2635,2.4501,0.74491,3.9051,0.04803,0.040341,0.0077947,13526,26.566,11744,2,True,True
BD_+39_1328,-1,86,0,lin,False,0,99.878,1.1384,2.1438,0.67123,0.97163,0.015716,0.035875,0.085542,15837,26.566,11744,2,True,True
BD_+39_1328,-1,86,0,lin,True,0,99.878,1.1384,2.1438,0.67123,0.97163,0.015716,0.035875,0.085542,15837,26.566,11744,2,True,True
BD_+60_2522,-1,84,0,log,False,0,105.02,2.2079,2.4487,0.551,3.8449,0.062806,0.031368,0.011118,18084,25.749,16716,2,True,True
BD_+60_2522,-1,84,0,log,True,0,105.02,2.2079,2.4487,0.551,3.8449,0.062806,0.031368,0.011118,18084,25.749,16716,2,True,True
BD_+60_2522,-1,84,0,lin,False,0,144.29,1.7274,1.9752,0.099227,1.4677,0.025818,0.034945,0.18346,15047,25.749,16716,2,True,True
BD_+60_2522,-1,84,0,lin,True,0,144.29,1.7274,1.9752,0.099227,1.4677,0.025818,0.034945,0.18346,15047,25.749,16716,2,True,True
BD_+60_2522,-1,85,0,log,False,0,109.02,2.0123,2.41,0.8825,4.5359,0.067131,0.037163,0.015277,15097,25.488,17721,2,True,True
BD_+60_2522,-1,85,0,log,True,0,109.02,2.0123,2.41,0.8825,4.5359,0.067131,0.037163,0.015277,15097,25.488,17721,2,True,True
BD_+60_2522,-1,85,0,lin,False,0,129.91,2.0521,2.3316,0.84187,1.3935,0.029829,0.050437,0.19737,12522,25.488,17721,2,True,True
BD_+60_2522,-1,85,0,lin,True,0,129.91,2.0521,2.3316,0.84187,1.3935,0.029829,0.050437,0.19737,12522,25.488,17721,2,True,True
BD_+60_2635,-1,84,0,log,False,0,6.7136,0.91161,0.98538,0.057684,0.72924,0.1796,0.047105,0.017042,7956.8,25.75,16718,2,True,True
BD_+60_2635,-1,84,0,log,True,0,6.7136,0.91161,0.98538,0.057684,0.72924,0.1796,0.047105,0.017042,7956.8,25.75,16718,2,True,True
BD_+60_2635,-1,84,0,lin,False,0,50.75,0.020123,0.67064,1e-07,12.633,0.010485,0.02307,0.03131,12252,25.75,16718,2,False,True
