id,gaia,sector,noise_added,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
GAIA DR3 4685943121123943680,4685943121123943680,27,0,log,False,0,4.9207,0.17414,1.4565,0.08425,1.362,0.048258,0.05844,0.0010021,3464.9,24.354,3351,10,True,True
GAIA DR3 4685943121123943680,4685943121123943680,27,0,log,True,3,54.475,0.02,1.3946,0.084356,185.84,0.052103,0.060252,0.00093201,2782.7,24.354,3351,10,False,True
GAIA DR3 4685943121123943680,4685943121123943680,27,0,lin,False,0,38.61,0.02,1.1427,0.090336,14.204,0.0078722,0.023736,0.0023285,12292,24.354,3351,10,False,True
GAIA DR3 4685943121123943680,4685943121123943680,27,0,lin,True,3,13.462,0.079006,1.549,0.10288,0.97282,0.005868,0.023883,0.0012919,16559,24.354,3351,10,False,True
GAIA DR3 4685943121123943680,4685943121123943680,28,0,log,False,0,1.7309,0.32105,1.8357,0.072376,0.28324,0.050858,0.088799,0.00060026,2612.2,25.236,3449,9.9999,True,True
GAIA DR3 4685943121123943680,4685943121123943680,28,0,log,True,5,18.424,0.02,1.519,0.072432,101.83,0.078158,0.12121,0.00058723,1005.9,25.236,3449,9.9999,False,True
GAIA DR3 4685943121123943680,4685943121123943680,28,0,lin,False,0,7.1262,0.071923,1.1742,0.073153,1.1243,0.015144,0.03766,0.0023393,6815.6,25.236,3449,9.9999,False,True
GAIA DR3 4685943121123943680,4685943121123943680,28,0,lin,True,6,3.4197,0.19012,2.0601,0.086403,0.13819,0.0084092,0.057903,0.0012345,8542.7,25.236,3449,9.9999,True,True
GAIA DR3 4685943121123943680,4685943121123943680,67,0,log,False,0,1.306,0.69732,1.9442,0.0925,0.12249,0.069039,0.087121,0.00082346,3463.5,27.75,11490,3.3334,True,True
GAIA DR3 4685943121123943680,4685943121123943680,67,0,log,True,6,13.931,0.02,1.1734,0.088919,37.514,0.051088,0.077164,0.001144,1690.4,27.75,11490,3.3334,False,True
GAIA DR3 4685943121123943680,4685943121123943680,67,0,lin,False,0,2.1978,0.54138,1.8219,0.1091,0.054611,0.01987,0.054445,0.0022895,7203.7,27.75,11490,3.3334,True,True
