gaia,sector,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
4685943121123943680,28,lin,True,4,3.2492,0.17446,2.0978,0.06477,0.031496,0.0024816,0.031344,0.00067488,20980,25.236,3449,9.9999,True,True
4685943121123943680,67,log,False,0,1.5831,0.4019,1.6621,0.065386,0.15676,0.04286,0.050675,0.0001942,5295.1,27.75,11490,3.3334,True,True
4685943121123943680,67,log,True,6,10.664,0.02,1.1836,0.064236,6.6559,0.012571,0.037396,0.00021102,2917.1,27.75,11490,3.3334,False,True
4685943121123943680,67,lin,False,0,6.0657,0.059313,1.008,0.072366,0.1022,0.0019898,0.0074228,0.00038815,48833,27.75,11490,3.3334,False,True
4685943121123943680,67,lin,True,6,5.982,0.060342,1.5379,0.07762,0.054709,0.00085919,0.010719,0.00020512,70903,27.75,11490,3.3334,False,True
4685943121123943680,68,log,False,0,2.3637,0.22241,1.5821,0.066126,0.31183,0.03063,0.049262,0.00019366,4448.4,27.525,11218,3.3333,True,True
4685943121123943680,68,log,True,5,3.3756,0.065612,1.2183,0.065893,0.93131,0.020656,0.041039,0.00021753,2946.4,27.525,11218,3.3333,False,True
4685943121123943680,68,lin,False,0,2.5691,0.28582,1.5784,0.078028,0.021584,0.0042634,0.015588,0.00032886,43438,27.525,11218,3.3333,True,True
4685943121123943680,68,lin,True,5,1.9367,0.37891,10,0.080288,0.0075258,0.0010316,0.22777,0.00025767,53349,27.525,11218,3.3333,True,True
4685943254211136000,27,log,False,0,2.3395,0.32358,1.6554,0.17009,0.30121,0.048688,0.084912,0.00099702,2157.9,24.354,3351,10,True,True
4685943254211136000,27,log,True,0,2.3395,0.32358,1.6554,0.17009,0.30121,0.048688,0.084912,0.00099702,2157.9,24.354,3351,10,True,True
4685943254211136000,27,lin,False,0,3.7703,0.23045,1.5738,0.20062,0.061106,0.0065198,0.029361,0.0014085,12916,24.354,3351,10,True,True
4685943254211136000,27,lin,True,0,3.7703,0.23045,1.5738,0.20062,0.061106,0.0065198,0.029361,0.0014085,12916,24.354,3351,10,True,True
4685943254211136000,67,log,False,0,6.3256,0.18609,1.6157,0.18493,0.91784,0.027848,0.056718,0.00052261,3601.8,27.75,11464,3.3334,True,True
4685943254211136000,67,log,True,0,6.3256,0.18609,1.6157,0.18493,0.91784,0.027848,0.056718,0.00052261,3601.8,27.75,11464,3.3334,True,True
4685943254211136000,67,lin,False,0,7.4017,0.17804,1.4995,0.21733,0.058929,0.0025297,0.012297,0.00062669,53990,27.75,11464,3.3334,True,True
