metric,prewhitened,qty,gaia,sector,lT,lL,ours,theirs,n_cand,n_pw,nuchar,diff
log,False,a,4685983420730442624,28,4.2480,5.4500,2.6494,1.7401,1,0,0.0383,0.9093
log,False,a,4685983420730442624,67,4.2480,5.4500,2.1268,1.9357,2,0,0.1351,0.1911
log,False,a,4685983420730442624,68,4.2480,5.4500,1.5763,2.3779,1,0,0.6031,-0.8016
log,False,a,4686413230999834496,27,4.5024,5.1600,0.6865,0.7135,1,0,0.4573,-0.0270
log,False,a,4686413437158238208,28,4.4281,5.9800,1.5991,1.6908,1,0,0.5253,-0.0917
log,False,a,4686413540237697408,28,4.2480,4.5000,0.5476,0.8878,1,0,1.2241,-0.3402
log,False,a,4686414467950355072,27,4.4281,5.6100,1.3871,1.4279,1,0,0.2951,-0.0408
log,False,a,4687165125163949952,27,4.3747,5.3400,0.9039,1.2632,1,0,0.7337,-0.3593
log,False,a,4687167152388524032,27,4.4518,5.2300,0.9090,0.8384,1,0,0.7250,0.0706
log,False,a,4687478138084449536,67,4.4281,5.7800,1.3329,2.0971,3,0,0.6032,-0.7642
log,False,a,4687485491055825536,27,4.2788,5.4600,1.7872,1.4855,1,0,0.2567,0.3017
log,False,a,4687485491055825536,28,4.2788,5.4600,2.3621,2.2396,1,0,0.1391,0.1225
log,False,a,4687501953697501568,28,4.4757,5.2800,1.3393,1.3587,1,0,0.6851,-0.0194
log,False,a,4687501953697501568,68,4.4757,5.2800,1.4091,1.6824,1,0,0.6202,-0.2733
log,False,a,4687509749039520768,67,4.4281,5.4100,0.9350,1.8566,1,0,0.7095,-0.9216
log,False,a,4687509749039520768,68,4.4281,5.4100,1.0586,1.7260,1,0,0.7741,-0.6674
log,False,a,4687512948804514176,28,4.1987,4.6800,1.8429,1.4672,1,0,0.2022,0.3756
log,False,a,4687512948804514176,67,4.1987,4.6800,1.4715,1.5089,1,0,0.4079,-0.0373
log,False,a,4687513910877142528,27,4.5276,5.3900,1.0530,0.7199,1,0,1.9154,0.3331
log,False,a,4687513910877142528,28,4.5276,5.3900,0.9884,0.9059,1,0,1.7510,0.0825
log,False,a,4687513910877142528,67,4.5276,5.3900,1.1650,1.4302,1,0,1.0729,-0.2652
log,False,a,4687513910877142528,68,4.5276,5.3900,1.4361,1.2994,1,0,1.2405,0.1367
log,False,a,4688978838366817280,27,4.4757,5.9000,1.3116,1.4773,1,0,0.7234,-0.1657
log,False,a,4688978838366817280,68,4.4757,5.9000,1.1724,1.6841,1,0,1.1294,-0.5116
log,False,a,4688980414561766016,27,4.1038,4.8600,0.7890,1.0064,1,0,0.6106,-0.2174
log,False,a,4689003027613801216,67,4.3747,5.6500,1.6625,1.5497,1,0,0.3696,0.1127
log,False,a,4689003027613801216,68,4.3747,5.6500,1.7723,1.7294,1,0,0.2937,0.0429
log,False,a,4689037181200454656,67,4.2742,4.8700,2.2240,1.8393,2,0,0.2498,0.3847
log,False,a,4689054945164735616,27,4.3747,5.5400,1.0980,1.7641,1,0,0.5804,-0.6660
log,False,a,4689054945164735616,67,4.3747,5.5400,1.3799,1.4925,1,0,0.3709,-0.1126
log,False,a,4689062298150064640,28,4.4281,5.2800,0.9867,1.1249,1,0,1.2667,-0.1382
log,False,a,4689062298150064640,67,4.4281,5.2800,1.2376,1.6225,1,0,0.7175,-0.3849
log,False,a,4690503826587160832,28,4.3766,5.7900,2.2126,2.0552,1,0,0.2267,0.1574
log,False,a,4690503826587160832,67,4.3766,5.7900,1.5919,1.8524,1,0,0.5433,-0.2605
log,False,a,4690506712804881792,67,4.3747,4.8700,1.4805,1.4213,1,0,0.3092,0.0592
log,False,a,4690507881037706112,28,4.1303,4.7700,0.7565,1.1232,1,0,1.1748,-0.3667
log,False,a,4690507881037706112,67,4.1303,4.7700,0.8568,1.5958,2,0,1.0999,-0.7390
log,False,a,4690516677131714432,28,4.5527,6.1200,1.6319,1.6748,1,0,0.6130,-0.0429
log,False,a,4690516677131714432,67,4.5527,6.1200,1.7750,1.9224,1,0,0.4093,-0.1474
log,False,a,4690516677131714432,68,4.5527,6.1200,1.8070,2.0206,1,0,0.3634,-0.2136
log,False,a,4690520387983090432,68,4.3483,5.5500,2.1088,1.8592,1,0,0.1844,0.2496
log,True,nu,4685835884339219456,68,4.2279,5.5500,-0.8691,-0.8062,1,0,0.1352,-0.0629
log,True,nu,4685943254211136000,27,4.2279,5.0200,-0.3944,-0.4907,1,0,0.4032,0.0963
log,True,nu,4685943254211136000,67,4.2279,5.0200,-0.6324,-0.4585,1,0,0.2331,-0.1739
log,True,nu,4685945010910000640,68,4.1761,4.8000,-0.5321,-0.6698,1,4,0.2937,0.1377
log,True,nu,4685947553531340800,67,4.5763,6.1100,-0.3450,-0.8501,2,2,0.4519,0.5051
log,True,nu,4685972636146149504,28,4.4281,5.9300,-0.2847,-0.3961,1,0,0.5191,0.1114
log,True,nu,4685972636146149504,67,4.4281,5.9300,-0.4379,-0.4411,1,1,0.3648,0.0032
log,True,nu,4685976621875402368,28,4.1303,4.8700,-0.4477,-0.5052,1,0,0.3567,0.0575
log,True,nu,4685976621875402368,67,4.1303,4.8700,-1.1159,-0.8976,3,0,0.0766,-0.2183
log,True,nu,4685983420730442624,27,4.2480,5.4500,-0.5161,-0.3892,1,0,0.3048,-0.1268
log,True,nu,4685983420730442624,28,4.2480,5.4500,-1.4171,-0.3732,1,0,0.0383,-1.0439
log,True,nu,4685983420730442624,67,4.2480,5.4500,-0.8693,-0.5717,2,0,0.1351,-0.2976
log,True,nu,4685983420730442624,68,4.2480,5.4500,-0.2196,-0.9270,1,0,0.6031,0.7074
log,True,nu,4686413230999834496,27,4.5024,5.1600,-0.3398,-0.5621,1,0,0.4573,0.2223
log,True,nu,4686413437158238208,27,4.4281,5.9800,-0.2416,-0.1491,1,2,0.5734,-0.0925
log,True,nu,4686413437158238208,28,4.4281,5.9800,-0.2796,-0.2034,1,0,0.5253,-0.0762
log,True,nu,4686414467950355072,27,4.4281,5.6100,-0.5301,-0.2590,1,0,0.2951,-0.2711
log,True,nu,4687165125163949952,27,4.3747,5.3400,-0.1345,-0.4230,1,0,0.7337,0.2886
log,True,nu,4687165125163949952,68,4.3747,5.3400,0.0497,-0.6821,1,0,1.1212,0.7318
log,True,nu,4687426087389568768,67,4.2765,4.8100,-0.1262,-0.5149,1,0,0.7478,0.3886
log,True,nu,4687478138084449536,67,4.4281,5.7800,-0.2196,-0.6797,1,0,0.6032,0.4601
log,True,nu,4687485491055825536,27,4.2788,5.4600,-0.7246,-0.3302,1,1,0.1885,-0.3944
log,True,nu,4687485491055825536,28,4.2788,5.4600,-1.0827,-0.7994,1,1,0.0827,-0.2833
log,True,nu,4687501953697501568,27,4.4757,5.2800,-0.1415,-0.3421,1,2,0.7220,0.2006
log,True,nu,4687501953697501568,28,4.4757,5.2800,-0.1984,-0.4482,1,1,0.6333,0.2498
log,True,nu,4687501953697501568,67,4.4757,5.2800,-0.3512,-0.3288,1,1,0.4455,-0.0223
log,True,nu,4687501953697501568,68,4.4757,5.2800,-0.1542,-0.6274,1,1,0.7012,0.4732
log,True,nu,4687509749039520768,27,4.4281,5.4100,-0.3277,-0.5848,1,0,0.4702,0.2571
log,True,nu,4687509749039520768,67,4.4281,5.4100,-0.1490,-0.8902,1,0,0.7095,0.7412
log,True,nu,4687509749039520768,68,4.4281,5.4100,-0.1112,-0.7692,1,0,0.7741,0.6580
log,True,nu,4687513910877142528,27,4.5276,5.3900,-0.6422,-0.3000,1,14,0.2280,-0.3421
log,True,nu,4687513910877142528,28,4.5276,5.3900,-0.0794,-0.5595,1,14,0.8330,0.4801
log,True,nu,4687513910877142528,67,4.5276,5.3900,-0.3535,-0.4500,1,6,0.4431,0.0965
log,True,nu,4687513910877142528,68,4.5276,5.3900,-0.1354,-0.6670,1,8,0.7322,0.5316
log,True,nu,4688978838366817280,27,4.4757,5.9000,-0.2390,-0.3057,1,1,0.5767,0.0667
log,True,nu,4688978838366817280,68,4.4757,5.9000,-0.0157,-0.6319,1,3,0.9645,0.6162
log,True,nu,4688980414561766016,27,4.1038,4.8600,-0.2142,-0.6579,1,0,0.6106,0.4437
log,True,nu,4689003027613801216,67,4.3747,5.6500,-0.4322,-0.3706,1,0,0.3696,-0.0616
log,True,nu,4689003027613801216,68,4.3747,5.6500,-0.5322,-0.4651,1,0,0.2937,-0.0671
log,True,nu,4689037181200454656,67,4.2742,4.8700,-0.6024,-0.6380,1,0,0.2498,0.0356
log,True,nu,4689037181200454656,68,4.2742,4.8700,-0.4442,-0.5936,1,0,0.3596,0.1494
log,True,nu,4689054670286883968,28,4.1271,4.8500,-0.4022,-0.6698,1,0,0.3961,0.2676
log,True,nu,4689054945164735616,28,4.3747,5.5400,-0.5132,-0.2973,1,0,0.3068,-0.2159
log,True,nu,4689054945164735616,67,4.3747,5.5400,-0.4307,-0.2614,1,0,0.3709,-0.1693
log,True,nu,4689062298150064640,27,4.4281,5.2800,-0.4197,-0.3632,1,4,0.3805,-0.0565
log,True,nu,4689062298150064640,28,4.4281,5.2800,0.1027,-0.2403,1,0,1.2667,0.3430
log,True,nu,4690506712804881792,67,4.3747,4.8700,-0.4505,-0.5398,1,1,0.3544,0.0893
log,True,nu,4690507881037706112,28,4.1303,4.7700,-0.2885,-0.5050,1,7,0.5146,0.2165
log,True,nu,4690507881037706112,67,4.1303,4.7700,-1.6990,-0.6381,1,6,0.0200,-1.0608
log,True,nu,4690516677131714432,28,4.5527,6.1200,-0.2125,-0.1643,1,0,0.6130,-0.0482
log,True,nu,4690516677131714432,67,4.5527,6.1200,-0.3879,-0.4623,1,0,0.4093,0.0744
log,True,nu,4690516677131714432,68,4.5527,6.1200,-0.4397,-0.6368,1,0,0.3634,0.1971
log,True,nu,4690520387983090432,67,4.3483,5.5500,-0.6146,-0.5978,2,0,0.2429,-0.0168
log,True,nu,4690520387983090432,68,4.3483,5.5500,-0.7344,-0.4811,1,0,0.1844,-0.2533
log,True,a,4685835884339219456,68,4.2279,5.5500,2.2171,2.0387,1,0,0.1352,0.1784
log,True,a,4685945010910000640,68,4.1761,4.8000,1.2248,1.4150,1,4,0.2937,-0.1902
log,True,a,4685947553531340800,28,4.5763,6.1100,2.3166,1.2846,1,2,0.0200,1.0320
log,True,a,4685976621875402368,28,4.1303,4.8700,1.3322,1.2023,1,0,0.3567,0.1299
log,True,a,4685976621875402368,67,4.1303,4.8700,1.5443,1.3730,1,0,0.0766,0.1713
log,True,a,4685983420730442624,28,4.2480,5.4500,2.6494,1.7401,1,0,0.0383,0.9093
log,True,a,4685983420730442624,67,4.2480,5.4500,2.1268,1.9357,2,0,0.1351,0.1911
log,True,a,4685983420730442624,68,4.2480,5.4500,1.5763,2.3779,1,0,0.6031,-0.8016
log,True,a,4686413230999834496,27,4.5024,5.1600,0.6865,0.7135,1,0,0.4573,-0.0270
log,True,a,4686413437158238208,28,4.4281,5.9800,1.5991,1.6908,1,0,0.5253,-0.0917
log,True,a,4686413540237697408,28,4.2480,4.5000,0.5476,0.8878,1,0,1.2241,-0.3402
log,True,a,4686414467950355072,27,4.4281,5.6100,1.3871,1.4279,1,0,0.2951,-0.0408
log,True,a,4687165125163949952,27,4.3747,5.3400,0.9039,1.2632,1,0,0.7337,-0.3593
log,True,a,4687167152388524032,27,4.4518,5.2300,0.9090,0.8384,1,0,0.7250,0.0706
log,True,a,4687478138084449536,67,4.4281,5.7800,1.3329,2.0971,3,0,0.6032,-0.7642
log,True,a,4687485491055825536,27,4.2788,5.4600,1.8959,1.4855,1,1,0.1885,0.4104
log,True,a,4687485491055825536,28,4.2788,5.4600,2.6275,2.2396,1,1,0.0827,0.3879
log,True,a,4687501953697501568,28,4.4757,5.2800,1.0574,1.3587,1,1,0.6333,-0.3013
log,True,a,4687501953697501568,68,4.4757,5.2800,1.1411,1.6824,1,1,0.7012,-0.5413
log,True,a,4687509749039520768,67,4.4281,5.4100,0.9350,1.8566,1,0,0.7095,-0.9216
log,True,a,4687509749039520768,68,4.4281,5.4100,1.0586,1.7260,1,0,0.7741,-0.6674
log,True,a,4687512948804514176,28,4.1987,4.6800,1.8429,1.4672,1,0,0.2022,0.3756
log,True,a,4687512948804514176,67,4.1987,4.6800,1.4715,1.5089,1,0,0.4079,-0.0373
log,True,a,4687513910877142528,27,4.5276,5.3900,0.8548,0.7199,1,14,0.2280,0.1349
log,True,a,4687513910877142528,28,4.5276,5.3900,0.3864,0.9059,1,14,0.8330,-0.5195
log,True,a,4687513910877142528,67,4.5276,5.3900,1.2232,1.4302,1,6,0.4431,-0.2070
log,True,a,4687513910877142528,68,4.5276,5.3900,1.5218,1.2994,1,8,0.7322,0.2224
log,True,a,4688978838366817280,27,4.4757,5.9000,1.3676,1.4773,1,1,0.5767,-0.1097
log,True,a,4688978838366817280,68,4.4757,5.9000,1.1823,1.6841,1,3,0.9645,-0.5017
log,True,a,4688980414561766016,27,4.1038,4.8600,0.7890,1.0064,1,0,0.6106,-0.2174
log,True,a,4689003027613801216,67,4.3747,5.6500,1.6625,1.5497,1,0,0.3696,0.1127
log,True,a,4689003027613801216,68,4.3747,5.6500,1.7723,1.7294,1,0,0.2937,0.0429
log,True,a,4689037181200454656,67,4.2742,4.8700,2.2240,1.8393,2,0,0.2498,0.3847
log,True,a,4689054945164735616,27,4.3747,5.5400,1.0980,1.7641,1,0,0.5804,-0.6660
log,True,a,4689054945164735616,67,4.3747,5.5400,1.3799,1.4925,1,0,0.3709,-0.1126
log,True,a,4689062298150064640,28,4.4281,5.2800,0.9867,1.1249,1,0,1.2667,-0.1382
log,True,a,4689062298150064640,67,4.4281,5.2800,1.5884,1.6225,1,4,0.2072,-0.0341
log,True,a,4690503826587160832,28,4.3766,5.7900,2.1105,2.0552,1,4,0.2879,0.0553
log,True,a,4690503826587160832,67,4.3766,5.7900,1.6711,1.8524,1,4,0.3904,-0.1813
log,True,a,4690506712804881792,67,4.3747,4.8700,1.1920,1.4213,1,1,0.3544,-0.2294
log,True,a,4690507881037706112,28,4.1303,4.7700,0.6276,1.1232,1,7,0.5146,-0.4956
log,True,a,4690507881037706112,67,4.1303,4.7700,1.9608,1.5958,2,6,0.0200,0.3650
log,True,a,4690516677131714432,28,4.5527,6.1200,1.6319,1.6748,1,0,0.6130,-0.0429
log,True,a,4690516677131714432,67,4.5527,6.1200,1.7750,1.9224,1,0,0.4093,-0.1474
log,True,a,4690516677131714432,68,4.5527,6.1200,1.8070,2.0206,1,0,0.3634,-0.2136
log,True,a,4690520387983090432,68,4.3483,5.5500,2.1088,1.8592,1,0,0.1844,0.2496
