metric,prewhitened,qty,gaia,sector,lT,lL,ours,theirs,n_cand,n_pw,nuchar,diff
lin,False,a,4685976621875402368,67,4.1303,4.8700,2.1071,1.3730,1,0,0.0200,0.7341
lin,False,a,4685983420730442624,28,4.2480,5.4500,1.9761,1.7401,1,0,0.1812,0.2360
lin,False,a,4685983420730442624,67,4.2480,5.4500,1.7046,1.9357,2,0,0.3488,-0.2311
lin,False,a,4685983420730442624,68,4.2480,5.4500,2.8309,2.3779,1,0,0.0200,0.4530
lin,False,a,4686413230999834496,27,4.5024,5.1600,0.8636,0.7135,1,0,0.2721,0.1501
lin,False,a,4686413437158238208,28,4.4281,5.9800,1.6161,1.6908,1,0,0.5018,-0.0747
lin,False,a,4686413540237697408,28,4.2480,4.5000,1.0972,0.8878,1,0,0.1919,0.2094
lin,False,a,4686414467950355072,27,4.4281,5.6100,1.3556,1.4279,1,0,0.3282,-0.0723
lin,False,a,4687165125163949952,27,4.3747,5.3400,0.8971,1.2632,1,0,0.7453,-0.3661
lin,False,a,4687167152388524032,27,4.4518,5.2300,0.9245,0.8384,1,0,0.6805,0.0861
lin,False,a,4687478138084449536,67,4.4281,5.7800,1.6120,2.0971,3,0,0.2961,-0.4851
lin,False,a,4687485491055825536,27,4.2788,5.4600,1.5111,1.4855,1,0,0.4966,0.0256
lin,False,a,4687485491055825536,28,4.2788,5.4600,2.1937,2.2396,1,0,0.1916,-0.0459
lin,False,a,4687501953697501568,28,4.4757,5.2800,1.3637,1.3587,1,0,0.6298,0.0050
lin,False,a,4687501953697501568,68,4.4757,5.2800,1.2976,1.6824,1,0,0.6928,-0.3848
lin,False,a,4687509749039520768,67,4.4281,5.4100,2.2584,1.8566,1,0,0.0200,0.4018
lin,False,a,4687509749039520768,68,4.4281,5.4100,1.2481,1.7260,1,0,0.4314,-0.4780
lin,False,a,4687512948804514176,28,4.1987,4.6800,2.8720,1.4672,1,0,0.0200,1.4048
lin,False,a,4687512948804514176,67,4.1987,4.6800,1.3268,1.5089,1,0,0.6016,-0.1820
lin,False,a,4687513910877142528,27,4.5276,5.3900,1.1618,0.7199,1,0,1.9025,0.4419
lin,False,a,4687513910877142528,28,4.5276,5.3900,1.1476,0.9059,1,0,1.8117,0.2417
lin,False,a,4687513910877142528,67,4.5276,5.3900,1.1147,1.4302,1,0,1.3412,-0.3155
lin,False,a,4687513910877142528,68,4.5276,5.3900,1.5213,1.2994,1,0,1.0062,0.2219
lin,False,a,4688978838366817280,27,4.4757,5.9000,1.3639,1.4773,1,0,0.6441,-0.1134
lin,False,a,4688978838366817280,68,4.4757,5.9000,1.2942,1.6841,1,0,0.8973,-0.3899
lin,False,a,4688980414561766016,27,4.1038,4.8600,1.4822,1.0064,1,0,0.0869,0.4758
