id,gaia,sector,noise_added,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
BD_+36_4063,-1,14,0,log,True,1,480.11,0.55637,1.7139,3.3296,41.286,0.044527,0.0307,0.053132,11778,26.85,13812,2,True,True
BD_+36_4063,-1,14,0,lin,False,0,1051.9,0.62787,7.7643,14.694,9.1802,0.0039717,0.30801,0.81421,11108,26.85,13812,2,True,True
BD_+36_4063,-1,14,0,lin,True,40,1049.3,0.62365,8.0678,10.315,8.6858,0.0036753,0.31138,0.77422,11751,26.85,13812,2,True,True
BD_+36_4063,-1,15,0,log,False,0,1181,0.33137,1.461,7.7903,169.98,0.048528,0.034011,0.17085,8311.1,23.008,13197,2,True,True
BD_+36_4063,-1,15,0,log,True,1,454.13,0.57873,1.6571,3.2395,42.627,0.052537,0.033332,0.065206,9946.9,23.008,13197,2,True,True
BD_+36_4063,-1,15,0,lin,False,0,1027.2,0.64817,7.8688,20.688,11.561,0.0052757,0.40808,1.0512,7502.3,23.008,13197,2,True,True
BD_+36_4063,-1,15,0,lin,True,40,998.25,0.64326,8.7976,17.798,10.825,0.0047947,0.47347,1.0051,7677.3,23.008,13197,2,True,True
BD_+36_4063,-1,41,0,log,False,0,706.44,0.39197,1.6499,3.1535,70.936,0.035459,0.026253,0.04878,12878,26.589,18319,2,True,True
BD_+36_4063,-1,41,0,log,True,1,280.33,0.63002,1.5295,1.0396,23.013,0.053157,0.025708,0.040295,14132,26.589,18319,2,True,True
BD_+36_4063,-1,41,0,lin,False,0,895.64,0.50008,30,11.578,11.168,0.0023912,3.7449,1.0408,5454.6,26.589,18319,2,True,True
BD_+36_4063,-1,41,0,lin,True,40,871.82,0.5487,16.905,8.5312,10.319,0.0032753,1.4629,0.96548,6287.4,26.589,18319,2,True,True
BD_+36_4063,-1,55,0,log,False,0,2013.5,0.10975,1.2138,0.99843,506.42,0.027777,0.018258,0.083876,16197,27.162,18879,2,False,True
BD_+36_4063,-1,55,0,log,True,1,406.22,0.47556,1.4945,1.6746,38.978,0.04642,0.025657,0.049724,13458,27.162,18879,2,True,True
BD_+36_4063,-1,55,0,lin,False,0,916.3,0.51974,19.624,12.649,10.168,0.0027009,1.7248,0.93484,6840.4,27.162,18879,2,True,True
BD_+36_4063,-1,55,0,lin,True,40,922.7,0.54576,15.573,7.6652,9.4605,0.0029261,1.1112,0.87269,7904.1,27.162,18879,2,True,True
BD_+36_4145,-1,14,0,log,False,0,16.177,3.6319,1.7372,0.30707,0.60275,0.16511,0.045908,0.02341,12540,26.85,13812,2,True,True
BD_+36_4145,-1,14,0,log,True,0,16.177,3.6319,1.7372,0.30707,0.60275,0.16511,0.045908,0.02341,12540,26.85,13812,2,True,True
BD_+36_4145,-1,14,0,lin,False,0,21.92,2.9348,1.5032,0.19275,0.32508,0.065444,0.036863,0.075156,12493,26.85,13812,2,True,True
BD_+36_4145,-1,14,0,lin,True,0,21.92,2.9348,1.5032,0.19275,0.32508,0.065444,0.036863,0.075156,12493,26.85,13812,2,True,True
BD_+36_4145,-1,15,0,log,False,0,15.268,3.9492,1.7518,0.40225,0.60111,0.1909,0.053715,0.029076,10089,23.008,13207,2,True,True
BD_+36_4145,-1,15,0,log,True,0,15.268,3.9492,1.7518,0.40225,0.60111,0.1909,0.053715,0.029076,10089,23.008,13207,2,True,True
BD_+36_4145,-1,15,0,lin,False,0,18.12,3.8509,1.8547,0.62861,0.24554,0.070474,0.048349,0.064618,10726,23.008,13207,2,True,True
BD_+36_4145,-1,15,0,lin,True,0,18.12,3.8509,1.8547,0.62861,0.24554,0.070474,0.048349,0.064618,10726,23.008,13207,2,True,True
BD_+36_4145,-1,41,0,log,False,0,14.305,3.3626,1.6285,0.22771,0.5685,0.17071,0.044748,0.022551,12337,26.589,18319,2,True,True
BD_+36_4145,-1,41,0,log,True,0,14.305,3.3626,1.6285,0.22771,0.5685,0.17071,0.044748,0.022551,12337,26.589,18319,2,True,True
BD_+36_4145,-1,41,0,lin,False,0,17.153,3.301,1.9147,0.59189,0.21549,0.057528,0.045929,0.04831,12035,26.589,18319,2,True,True
BD_+36_4145,-1,41,0,lin,True,0,17.153,3.301,1.9147,0.59189,0.21549,0.057528,0.045929,0.04831,12035,26.589,18319,2,True,True
BD_+36_4145,-1,55,0,log,False,0,16.045,3.2113,1.6839,0.24257,0.6596,0.16286,0.044869,0.021196,12277,27.163,15647,2,True,True
BD_+36_4145,-1,55,0,log,True,0,16.045,3.2113,1.6839,0.24257,0.6596,0.16286,0.044869,0.021196,12277,27.163,15647,2,True,True
BD_+36_4145,-1,55,0,lin,False,0,18.523,3.3906,1.9267,0.52991,0.22905,0.057767,0.045842,0.052473,12314,27.163,15647,2,True,True
BD_+36_4145,-1,55,0,lin,True,0,18.523,3.3906,1.9267,0.52991,0.22905,0.057767,0.045842,0.052473,12314,27.163,15647,2,True,True
BD_+39_1328,-1,86,0,log,False,0,87.276,1.2575,2.4339,0.76281,4.4014,0.048453,0.039628,0.0083092,13617,26.566,11744,2,True,True
BD_+39_1328,-1,86,0,log,True,0,87.276,1.2575,2.4339,0.76281,4.4014,0.048453,0.039628,0.0083092,13617,26.566,11744,2,True,True
BD_+39_1328,-1,86,0,lin,False,0,108.44,1.171,2.231,0.76226,0.99366,0.014934,0.036591,0.090108,16362,26.566,11744,2,True,True
BD_+39_1328,-1,86,0,lin,True,0,108.44,1.171,2.231,0.76226,0.99366,0.014934,0.036591,0.090108,16362,26.566,11744,2,True,True
BD_+60_2522,-1,84,0,log,False,0,108.66,2.2709,2.4984,0.58672,3.8997,0.062519,0.031876,0.011297,18167,25.749,16716,2,True,True
BD_+60_2522,-1,84,0,log,True,0,108.66,2.2709,2.4984,0.58672,3.8997,0.062519,0.031876,0.011297,18167,25.749,16716,2,True,True
BD_+60_2522,-1,84,0,lin,False,0,150.23,1.7671,2.0086,0.15065,1.5244,0.026128,0.036027,0.19374,14885,25.749,16716,2,True,True
BD_+60_2522,-1,84,0,lin,True,0,150.23,1.7671,2.0086,0.15065,1.5244,0.026128,0.036027,0.19374,14885,25.749,16716,2,True,True
BD_+60_2522,-1,85,0,log,False,0,118.24,1.9927,2.3878,1.0349,4.9726,0.068039,0.037775,0.017746,14766,25.488,17721,2,True,True
BD_+60_2522,-1,85,0,log,True,0,118.24,1.9927,2.3878,1.0349,4.9726,0.068039,0.037775,0.017746,14766,25.488,17721,2,True,True
BD_+60_2522,-1,85,0,lin,False,0,140.05,2.0536,2.3256,1.0145,1.4955,0.029751,0.049995,0.21197,12606,25.488,17721,2,True,True
BD_+60_2522,-1,85,0,lin,True,0,140.05,2.0536,2.3256,1.0145,1.4955,0.029751,0.049995,0.21197,12606,25.488,17721,2,True,True
BD_+60_2635,-1,84,0,log,False,0,2.8466,3.8721,1.5336,0.15954,0.1311,0.24434,0.064685,0.010782,7798.6,25.75,16718,2,True,True
BD_+60_2635,-1,84,0,log,True,0,2.8466,3.8721,1.5336,0.15954,0.1311,0.24434,0.064685,0.010782,7798.6,25.75,16718,2,True,True
BD_+60_2635,-1,84,0,lin,False,0,4.2232,2.6056,1.2009,0.12224,0.090224,0.089574,0.037529,0.021783,10447,25.75,16718,2,True,True
BD_+60_2635,-1,84,0,lin,True,0,4.2232,2.6056,1.2009,0.12224,0.090224,0.089574,0.037529,0.021783,10447,25.75,16718,2,True,True
BD_+60_2635,-1,85,0,log,False,0,4.8476,2.7652,1.2934,0.11336,0.26491,0.23232,0.052707,0.016203,8970.2,25.489,12265,2,True,True
BD_+60_2635,-1,85,0,log,True,0,4.8476,2.7652,1.2934,0.11336,0.26491,0.23232,0.052707,0.016203,8970.2,25.489,12265,2,True,True
BD_+60_2635,-1,85,0,lin,False,0,8.2675,1.2873,0.93624,1e-07,0.23919,0.075469,0.029718,0.035828,11474,25.489,12265,2,True,True
BD_+60_2635,-1,85,0,lin,True,0,8.2675,1.2873,0.93624,1e-07,0.23919,0.075469,0.029718,0.035828,11474,25.489,12265,2,True,True
BD_+62_2078,-1,16,0,log,False,0,49.294,0.020001,0.77524,0.29965,64.023,0.040461,0.055657,0.023281,3862.6,23.766,14943,2,False,True
BD_+62_2078,-1,16,0,log,True,0,49.294,0.020001,0.77524,0.29965,64.023,0.040461,0.055657,0.023281,3862.6,23.766,14943,2,False,True
BD_+62_2078,-1,16,0,lin,False,0,39.62,0.046009,0.87556,0.44117,6.1276,0.012062,0.023009,0.015571,10942,23.766,14943,2,False,True
BD_+62_2078,-1,16,0,lin,True,0,39.62,0.046009,0.87556,0.44117,6.1276,0.012062,0.023009,0.015571,10942,23.766,14943,2,False,True
BD_+62_2078,-1,17,0,log,False,0,2.9873,1.8729,1.4008,0.46584,0.23775,0.22638,0.088178,0.012425,3235.3,23.66,15125,2,True,True
BD_+62_2078,-1,17,0,log,True,0,2.9873,1.8729,1.4008,0.46584,0.23775,0.22638,0.088178,0.012425,3235.3,23.66,15125,2,True,True
BD_+62_2078,-1,17,0,lin,False,0,2.9001,2.4838,1.952,0.62042,0.051341,0.06321,0.063605,0.0088293,7294.4,23.66,15125,2,True,True
BD_+62_2078,-1,17,0,lin,True,0,2.9001,2.4838,1.952,0.62042,0.051341,0.06321,0.063605,0.0088293,7294.4,23.66,15125,2,True,True
BD_+62_2078,-1,24,0,log,False,0,4.643,0.90459,1.0959,0.3679,0.54506,0.18394,0.067142,0.014934,4013.2,26.485,18207,2,True,True
BD_+62_2078,-1,24,0,log,True,0,4.643,0.90459,1.0959,0.3679,0.54506,0.18394,0.067142,0.014934,4013.2,26.485,18207,2,True,True
BD_+62_2078,-1,24,0,lin,False,0,4.5218,1.3331,1.5077,0.53899,0.088778,0.043806,0.040444,0.0095613,9250.6,26.485,18207,2,True,True
BD_+62_2078,-1,24,0,lin,True,0,4.5218,1.3331,1.5077,0.53899,0.088778,0.043806,0.040444,0.0095613,9250.6,26.485,18207,2,True,True
BN_Gem,-1,44,0,log,False,0,136.76,2.5346,2.4008,1.1683,5.1874,0.079907,0.037931,0.026314,15055,24.201,15816,2.0002,True,True
BN_Gem,-1,44,0,log,True,2,104.02,3.0159,2.4196,1.0388,3.6587,0.090543,0.039996,0.026698,14981,24.201,15816,2.0002,True,True
BN_Gem,-1,44,0,lin,False,0,201.31,2.2078,2.1528,0.63575,3.1234,0.047867,0.064291,0.473,8144.5,24.201,15816,2.0002,True,True
BN_Gem,-1,44,0,lin,True,1,243.86,1.3476,1.5155,1e-07,4.4518,0.041066,0.038043,0.4835,9915.2,24.201,15816,2.0002,True,True
BN_Gem,-1,45,0,log,False,0,342.8,1.1318,1.5864,2.3062,22.767,0.082971,0.032597,0.11147,12093,24.285,15455,2.0002,True,True
BN_Gem,-1,45,0,log,True,4,499.41,0.56529,1.357,1.7645,51.241,0.067103,0.02931,0.12657,11426,24.285,15455,2.0002,True,True
BN_Gem,-1,45,0,lin,False,0,5793.6,0.02,0.89008,1.0008e-07,1628.6,0.0082213,0.021588,1.0139,12096,24.285,15455,2.0002,False,True
BN_Gem,-1,45,0,lin,True,4,6494.2,0.02,0.94976,1.0021e-07,1648.2,0.0068412,0.018664,0.7325,14275,24.285,15455,2.0002,False,True
BN_Gem,-1,46,0,log,False,0,118.07,2.9161,2.6158,1.2499,4.0667,0.079937,0.041582,0.023288,15650,25.773,16543,2.0002,True,True
BN_Gem,-1,46,0,log,True,3,116.91,2.6505,2.3269,1.1592,4.207,0.082845,0.037111,0.027387,15800,25.773,16543,2.0002,True,True
BN_Gem,-1,46,0,lin,False,0,133.13,3.3471,3.7963,2.7628,1.4729,0.039476,0.12611,0.30747,9286.4,25.773,16543,2.0002,True,True
BN_Gem,-1,46,0,lin,True,1,124.75,3.3362,3.0795,2.165,1.2566,0.039282,0.080184,0.25657,11452,25.773,16543,2.0002,True,True
