qty,sector,lT,lL,val,dy
nu,67,4.1298,4.8706,-0.8976,0.0000
nu,67,4.4282,5.4115,-0.8902,0.0000
nu,67,4.1298,4.8706,-0.8752,0.0000
nu,67,4.5761,6.1110,-0.8501,0.0000
nu,67,4.5761,6.1110,-0.8323,0.0000
nu,67,4.4332,5.2813,-0.7836,0.0046
nu,67,4.4282,5.7805,-0.6797,0.0000
nu,67,3.9294,4.2613,-0.6569,0.0000
nu,67,3.9542,4.2112,-0.6461,0.0000
nu,67,4.2737,4.8746,-0.6386,0.0013
nu,67,4.1298,4.7612,-0.6359,0.0045
nu,67,4.3480,5.5518,-0.5978,0.0000
nu,67,4.4790,5.5518,-0.5890,0.0028
nu,67,4.3480,5.6619,-0.5862,0.0007
nu,67,3.9772,5.9007,-0.5782,0.0021
nu,67,4.2478,5.4516,-0.5717,0.0000
nu,67,4.2478,5.4516,-0.5602,0.0000
nu,67,4.3745,4.8706,-0.5398,0.0000
nu,67,4.3566,5.2501,-0.5288,0.0000
nu,67,4.3488,5.2724,-0.5288,0.0000
nu,67,4.2770,4.8105,-0.5173,0.0049
nu,67,4.5525,6.1210,-0.4623,0.0000
nu,67,4.2272,5.0208,-0.4584,0.0001
nu,67,4.3820,5.7905,-0.4515,0.0001
nu,67,4.5272,5.3915,-0.4500,0.0000
nu,67,4.4282,5.9307,-0.4411,0.0000
nu,67,3.9777,4.4399,-0.3924,0.0005
nu,67,4.3745,5.6519,-0.3706,0.0000
nu,67,4.4753,5.2811,-0.3279,0.0018
nu,67,4.3745,5.5417,-0.2614,0.0000
nu,68,4.2478,5.4516,-0.9270,0.0000
nu,68,4.2277,5.5518,-0.8062,0.0000
nu,68,4.4282,5.4115,-0.7678,0.0028
nu,68,3.9294,4.2613,-0.7543,0.0000
nu,68,4.3745,5.3414,-0.6821,0.0000
nu,68,4.1758,4.8005,-0.6698,0.0000
nu,68,4.5272,5.3915,-0.6670,0.0000
nu,68,4.5525,6.1215,-0.6368,0.0000
nu,68,3.9777,4.4098,-0.6359,0.0000
nu,68,3.8061,5.9007,-0.6327,0.0014
nu,68,4.4753,4.7983,-0.6296,0.0013
nu,68,4.2737,4.8706,-0.5936,0.0000
nu,68,4.4659,5.5117,-0.5767,0.0026
nu,68,3.8614,4.3397,-0.5606,0.0040
nu,68,4.3527,5.2613,-0.5116,0.0000
nu,68,4.3480,5.5518,-0.4811,0.0000
nu,68,4.3745,5.6519,-0.4655,0.0008
nu,68,3.8062,4.7104,-0.3474,0.0000
