483 tables in 370 catalogs
I/221/lmc                    (1) [Magellanic Cloud] The Large Magellanic Cloud ( Tucholke H.-J., de Boer K.S., Seitter W.C.)
J/AJ/167/175                 (1) [TESS] *Detrended TESS photometric data for TOI-677 ( Hu Q., Rice M., Wang X.-Y., Wang S., Shporer A., Teske J.K., Ye
J/AJ/167/203                 (1) [TESS] DIAmante TESS AutoRegressive Planet Search for the southern ecliptic hemisphere (DTARPS-S) candidates catalog 
J/AJ/167/76                  (1) [Magellanic Cloud] Catalog of 519 HiVels considering the impact of the Large Magellanic Cloud ( Liao J., Du C., Deng M., Ye D., L
J/AJ/168/161                 (1) [TESS] TESS T band light curve of K2-2 b (Data behind Figure 1) ( Thygesen E., Rodriguez J.E., de Beurs Z.L., Vanderb
J/AJ/168/176                 (1) [TESS] The best-fit values of parameters for 64 TESS transit light curves of TrES-2b using TAP ( Biswas S., Bisht D.,
J/AJ/168/181                 (1) [TESS] *SS1+TESSC1 rotation periods and amplitudes for the 1623 objects with high confidence (~85%) ( Gowanlock M., T
J/AJ/168/25                  (1) [OB stars] Parallaxes and Teff of OB stars in Gaia DR3 ( Ge Q.A., Li J.J., Hao C.J., Lin Z.H., Hou L.G., Liu D.J., Li Y.J
J/AJ/169/225                 (1) [TESS] TESS light curves of WASP-193 ( Yee S.W., Stefansson G., Thorngren D., Monson A., Hartman J.D., Charbonneau D.
J/AJ/169/27                  (1) [TESS] Times, time lag, and energy budgets of flares observed with Swift and TESS (Tables 2 & 3) ( Howard W.S., MacGr
J/AJ/170/15                  (1) [TESS] ZTF and TESS periods for the 272 sources in this work ( Hattori S., Angus R., Foreman-Mackey D., Lu Y.(., Colm
J/AJ/170/154                 (1) [TESS] Transit timing of L 98-59 c and d from TESS ( Cadieux C., L'Heureux A., Piaulet-Ghorayeb C., Doyon R., Artigau
J/AJ/170/168                 (1) [TESS] The 133 candidate single periodic uncontaminated TESS late-M dwarfs found in this work ( Lambier S., Metchev S
J/AJ/170/216                 (1) [TESS] Physical and orbital parameters of known and TESS/Kepler planet candidates, and their host stars (Data behind 
J/AJ/170/287                 (2) [TESS] Scores and dispositions of TESS+Kepler-Aggregation model for Unknown (UNK) TCEs ( Valizadegan H., Martinho M.J
J/AJ/170/32                  (1) [TESS] Custom-extracted TESS light curve of TOI 2076 ( Barber M.G., Mann A.W., Vanderburg A., Boyle A.W., Lopez Muril
J/AJ/170/331                 (1) [TESS] AH Cep TESS eclipse measurements ( Baum A.C., Pepper J., Davenport J.R.A., Howell S.B.)
J/AJ/170/34                  (1) [TESS] TESS light curves of TOI-2364 ( Tamburo P., Yee S.W., Garcia-mejia J., Stefansson G., Charbonneau D., Bieryla 
J/AJ/170/356                 (1) [TESS] TESS catalog of eccentric eclipsing binaries (PDF & MRT versions of Table 1) ( Tang Y., Chen X., Gai N., Wang 
J/AN/333/60                  (1) [OB stars] Colour indices of OB stars ( Krelowski J., Strobel A.)
J/AcA/51/317                 (1) [Magellanic Cloud] OGLE-II variables in the Magellanic Clouds ( Zebrun K., Soszinski I., Wozniak P.R., Udalski A., Kubiak M., Szy
J/AcA/58/163                 (2) [Magellanic Cloud] Catalog of fundamental-mode, first-overtone, second-overtone, double-mode and triple-mode Cepheids in the Larg
J/AcA/58/293                 (1) [Magellanic Cloud] Catalog of type II and anomalous Cepheids in the Large Magellanic Cloud ( Soszynski I., Udalski A., Szymanski 
J/AcA/59/1                   (1) [Magellanic Cloud] Catalog of RR Lyrae stars in the Large Magellanic Cloud ( Soszynski I., Udalski A., Szymanski M.K., Kubiak M.,
J/AcA/59/239                 (1) [Magellanic Cloud] Catalog of long-period variables in the Large Magellanic Cloud ( Soszynski I., Udalski A., Szymanski M.K., Kub
J/AcA/59/335                 (1) [Magellanic Cloud] Catalog of R Coronae Borealis stars in the Large Magellanic Cloud ( Soszynski I., Udalski A., Szymanski M.K., 
J/AcA/60/17                  (1) [Magellanic Cloud] Catalog of fundamental-mode, first-overtone, second-overtone, double-mode and triple-mode Cepheids in the Smal
J/AcA/61/217                 (1) [Magellanic Cloud] Long-period variables found by OGLE in the Small Magellanic Cloud ( Soszynski I., Udalski A., Szymanski M.K., 
J/AcA/65/297                 (1) [Magellanic Cloud] Reclassified stars from the OGLE-III catalogs of classical Cepheids in the Magellanic Clouds ( Soszynski I., U
J/ApJ/566/880                (1) [Magellanic Cloud] Magellanic Clouds and M33 H II Regions Data ( Giveon U., Sternberg A., Lutz D., Feuchtgruber H., Pauldrach A.W
J/ApJ/671/1669               (1) [Magellanic Cloud] Characteristics of the IRS spectra,  and morphology of the Planetary Nebulae of the Magellanic Clouds ( Stangh
J/ApJ/696/1278               (1) [OB stars] Selected OB stars associated with M17 ( Povich M.S., Churchwell E., Bieging J.H., Kang M., Whitney B.A., Broga
J/ApJ/755/40                 (2) [Magellanic Cloud] Magellanic Clouds Emission Line Survey (MCELS) LMC HII region catalog (from erratum: 2013, ApJ, 766, 138) ( Pe
J/ApJ/771/110                (2) [early-type stars] List of candidate early-type stars with various selection methods ( Mooley K., Hillenbrand L., Rebull L., Padg
J/ApJ/804/114                (1) [red noise] Simulated binary neutron-star (BNS) signals of detected events for 2015 scenario using recolored noise (table 
J/ApJ/809/77                 (1) [TESS] Catalog of simulated TESS detections ( Sullivan P.W., Winn J.N., Berta-Thompson Z.K., Charbonneau D., Deming D
J/ApJ/824/74                 (1) [Magellanic Cloud] Bi-dimensional classification of OGLE-II Magellanic Clouds Cepheids ( Garcia-Varela A., Munoz J.R., Sabogal B.
J/ApJ/832/176                (1) [Magellanic Cloud] Catalog of optical-NIR-MIR measurements for Large Magellanic Cloud (LMC) Cepheids ( Inno L., Bono G., Matsunag
J/ApJ/833/85                 (1) [OB stars] Details of the photometrically identified OB stars toward the N37 region ( Baug T., Dewangan L.K., Ojha D.K., 
J/ApJ/838/61                 (3) [OB stars] Previously cataloged OB stars among MYStIX Probable Complex Member (MPCMs) ( Povich M.S., Busk H.A., Feigelson
J/ApJ/855/68                 (1) [OB stars] OB stars in the APOGEE survey (tables 1 and 2) ( Roman-Lopes A., Roman-Zuniga C., Tapia M., Chojnowski D., Gom
J/ApJ/867/L8                 (1) [OB stars] *Kinematic data for RIOTS4 field OB stars ( Oey M.S., Jones J.D., Castro N., Zivick P., Besla G., Januszewski 
J/ApJ/873/66                 (1) [OB stars] SDSS-IV/APOGEE-2 survey OB stars in W3-W4-W5 (W345) (Table 2) and their line parameters (Table 3) ( Roman-Lope
J/ApJ/874/L8                 (2) [TESS] Stars where TESS can detect planets out to the 1AU equivalent distance ( Kaltenegger L., Pepper J., Stassun K.
J/ApJ/881/9                  (2) [TESS] Individual flares observed by evryscope from cool stars in TESS sectors 1-6 ( Howard+, Howard W.S., Corbett H.
J/ApJ/884/20                 (1) [Magellanic Cloud] Mira properties in the Magellanic Clouds using OGLE-III data ( Bhardwaj A., Kanbur S., He S., Rejkuba M., Mats
J/ApJ/893/11                 (1) [massive stars] Variability characteristics of massive stars in M31 ( Soraisam M.D., Bildsten L., Drout M.R., Prince T.A., Kup
J/ApJ/895/140                (1) [TESS] Rotation periods and starspots on cool flare stars observed by Evryscope in TESS Sectors 1-6 ( Howard W.S., Co
J/ApJ/898/L11                (1) [TESS] TESS light curve (data behind Figure 1) ( Gill S., Wheatley P.J., Cooke B.F., et al.)
J/ApJ/899/136                (1) [TESS] Extracted TESS NGC 4395 light curves ( Burke C.J., Shen Y., Chen Y.-C., Scaringi S., Faucher-Giguere C.-A., Li
J/ApJ/902/115                (1) [TESS] Temperatures of simultaneous flares observed during TESS Cycle 1 ( Howard W.S., Corbett H., Law N.M., Ratzloff
J/ApJ/902/24                 (1) [TESS] TESS parameters and positions in the HR diagram of the cool supergiants (Table 1) and fit parameters from Equa
J/ApJ/903/43                 (1) [OB stars] Kinematic data and fundamental parameters for RIOTS4 field OB stars ( Dorigo Jones J., Oey M.S., Paggeot K., C
J/ApJ/903/96                 (1) [TESS] TESS and K2 potation periods ( Gagne J., David T.J., Mamajek E.E., Mann A.W., Faherty J.K., Bedard A.)
J/ApJ/908/51                 (2) [TESS] TESS supernova light curves ( Fausnaugh M.M., Vallely P.J., Kochanek C.S., et al.)
J/ApJ/912/123                (2) [TESS] Orbital parameters of TESS eclipsing binaries ( Justesen A.B., Albrecht S.)
J/ApJ/913/32                 (1) [massive stars] Common names, coordinates, host galaxies, and Gaia measurements of 6484 putative massive stars (Table 1) and f
J/ApJ/913/38                 (2) [Magellanic Cloud] Large Magellanic Cloud Cepheids and their main parameters ( Breuval L., Kervella P., Wielgorski P., Gieren W.,
J/ApJ/914/50                 (1) [TESS] New ASAS-SN and TESS photometry of SN 2019yvq ( Tucker M.A., Ashall C., Shappee B.J., Vallely P.J., Kochanek C
J/ApJ/921/5                  (1) [TESS] Classical Be stars observed by TESS ( Balona L.A., Ozuyar D.)
J/ApJ/922/177                (1) [Magellanic Cloud] Red supergiant (RSG) source list for the Small Magellanic Cloud (SMC) ( Massey P., Neugent K.F., Dorn-Wallenst
J/ApJ/923/232                (1) [Magellanic Cloud] Catalog of red supergiants in the Magellanic Clouds ( Ren Y., Jiang B., Yang M., Wang T., Ren T.)
J/ApJ/924/117                (2) [TESS] List of 160 TESS B-type stars ( Barraza L.F., Gomes R.L., Messias Y.S., Leao I.C., Almeida L.A., Janot-Pacheco
J/ApJ/926/204                (2) [TESS] Catalog of all 3792 flares observed across 226 M-dwarfs at 20 second cadence during TESS Cycle 3 ( Howard W.S.
J/ApJ/928/20                 (1) [TESS] Summary of results from our TESS Cycle 2 survey of candidate variable hot subdwarf stars ( Barlow B.N., Corcor
J/ApJ/929/143                (1) [TESS] TESS Continuous Viewing Zone (CVZ) stellar ages ( Ware A., Young P., Truitt A., Spacek A.)
J/ApJ/930/7                  (2) [TESS] Properties of stars with recovered rotation periods, potential binaries, pulsating stars, and stars with no de
J/ApJ/943/L15                (2) [TESS] Unbinned TESS light curve of SN 2021zby (data behind Figure 1) ( Wang Q., Armstrong P., Zenati Y., et al.)
J/ApJ/944/39                 (1) [TESS] TESS-based rotation periods of stars in targeted clusters ( Healy B.F., McCullough P.R., Schlaufman K.C., Kova
J/ApJ/946/43                 (1) [Magellanic Cloud] Spectroscopic red supergiant (RSG) stars in the Magellanic Clouds ( Wang S., Chen X.)
J/ApJ/952/64                 (3) [Magellanic Cloud,OB stars] Massive OB stars in the Large Magellanic Cloud in this study ( Lin Z., Xu Ye, Hao C., Li Y., Liu D., Bian S.)
J/ApJ/955/123                (1) [SLF] The Stochastic low-frequency (SLF) fitting parameters of the magnetic hot stars ( Shen D.-X., Li G., Abdusamat
J/ApJ/960/20                 (1) [TESS] Flare parameters of PSR J1023+0038 based on the Kepler and TESS surveys ( Zhang L.-Y., Yang Z., Li B., Su T., 
J/ApJ/962/17                 (1) [TESS] The raw TESS light curve of SN 2023bee ( Wang Q., Rest A., Dimitriadis G., et al.)
J/ApJ/962/47                 (2) [TESS] Properties of 7,245 rotationally detected TESS Southern Continuous Viewing Zone (SCVZ) stars, MCMC input & fit
J/ApJ/973/L30                (1) [TESS] TESS light curve data of HIP 67522 ( Barber M.G., Thao Pa C., Mann A.W., Vanderburg A., Mori M., Livingston J.
J/ApJS/117/135               (1) [Magellanic Cloud] Photometry of Magellanic Cloud Cepheids ( Moffett T.J., Gieren W.P., Barnes T.G. III, Gomez M.)
J/ApJS/155/401               (2) [Magellanic Cloud] Magellanic Cloud clusters observed with ISOCAM and aperture corrections applied with the PSF photometry ( Tana
J/ApJS/194/12                (1) [OB stars] OB stars in the Trumpler 16 region   and their IR properties ( Wolk S.J., Broos P.S., Getman K.V., Feigelson E
J/ApJS/194/6                 (2) [OB stars] Validation sample of cataloged Carina OB stars: SED-fitting results and IR photometry ( Povich M.S., Townsley 
J/ApJS/194/7                 (1) [OB stars] Properties of the undetected OB stars ( Naze Y., Broos P.S., Oskinova L., Townsley L.K., Cohen D., Corcoran M.
J/ApJS/197/31                (1) [Magellanic Cloud] Observable characteristics of Galactic/Magellanic Cloud novae with X-ray observations ( Schwarz G.J., Ness J.-
J/ApJS/225/24                (3) [massive stars] The presupernova overproduction  factors of stable isotopes are given for massive stars of  Set1.2  and Set 1.
J/ApJS/238/29                (1) [early-type stars] Equivalent width of HeI 1.701mm of early-type stars ( Park S., Lee J.-E., Kang W., Lee S.-G., Chun M.-Y., Kim 
J/ApJS/241/32                (1) [OB stars] OB stars identified in LAMOST DR5 ( Liu Z., Cui W., Liu C., Huang Y., Zhao G., Zhang Bo)
J/ApJS/245/29                (1) [TESS] Summary table of rotational information derived from pilot-study TESS observations ( McNeill A., Mommert M., T
J/ApJS/247/17                (1) [massive stars] SDSS-IV/APOGEE2 survey of massive stars in the Sagittarius Arm, line parameters and spectral types estimates (
J/ApJS/253/22                (1) [OB stars] Distance catalog for 16002 OB stars in LAMOST DR5 ( Xiang M., Rix H.-W., Ting Y.-S., Zari E., El-badry K., Yua
J/ApJS/253/54                (1) [O-type stars] *Spectral information for LAMOST O-type stars ( Li G.-W.)
J/ApJS/255/1                 (1) [Magellanic Cloud] OGLE eclipsing binaries in the field of Galactic bulge, Large-, and Small Magellanic Clouds ( Bodi A., Hajdu T
J/ApJS/255/6                 (1) [TESS] Warm Jupiter candidates discovered in Year 1 TESS Full-Frame Images ( Dong J., Huang C.X., Dawson R.I., et al.
J/ApJS/257/54                (2) [early-type stars] The predicted stellar labels of 16032 LAMOST-LRS (Liu+ 2019, J/ApJS/241/32) early-type stars ( Guo Y., Zhang B
J/ApJS/258/16                (1) [TESS] The Eclipsing Binary stars (TESS-EBs) catalog ( Prsa A., Kochoska A., Conroy K.E., et al.)
J/ApJS/259/50                (1) [TESS] *The catalog of EA-type eclipsing binaries observed by TESS ( Shi X.-D., Qian S.-B., Li L.-J.)
J/ApJS/259/62                (1) [TESS] TESS data processed for each target ( Ivshina E.S., Winn J.N.)
J/ApJS/261/26                (1) [TESS] Flare parameters of exoplant system of TESS ( Su T., Zhang L.-Y., Long L., Han X.L., Misra P., Meng G., Pi Q.,
J/ApJS/264/17                (4) [TESS] Stellar parameters and H{alpha} information of TESS objects in the field of LAMOST low-resolution spectral sur
J/ApJS/265/1                 (1) [TESS] TESS light-curves ( Yee S.W., Winn J.N., Hartman J.D., et al.)
J/ApJS/265/33                (2) [OB-type,TESS] The catalog of OB-type massive pulsating stars observed by TESS, LAMOST, and Gaia ( Shi X.-D., Qian S.-B., Zhu
J/ApJS/268/16                (2) [TESS] The catalog of new slowly pulsating B-type (SPB) stars observed by TESS, LAMOST, and GAIA ( Shi X.-D., Qian S.
J/ApJS/271/15                (1) [OB-type] The basic information and parameters of 2946 OB-type stars in LAMOST ( Huo Z., Liu Z., Cui W., Liu C., Liu J.,
J/ApJS/271/16                (1) [TESS] List of the 10 Kepler and 1 TESS planet host stars; table added by CDS ( Dalba P.A., Kane S.R., Isaacson H., e
J/ApJS/271/28                (1) [TESS] Catalog of {beta} Cephei pulsating variable (BCEP) stars observed by TESS and Gaia ( Shi X.-D., Qian S.-B., Zh
J/ApJS/271/57                (1) [TESS] Catalog of all 1016 flares observed across 38102 light curves of 11618 compact stars at 120 second cadence dur
J/ApJS/273/5                 (2) [Tarantula,massive stars] 'The Tarantula-Revealed by X-rays' (T-ReX) X-ray source properties ( Townsley L.K., Broos P.S., Povich M.S.)
J/ApJS/275/2                 (1) [SLF,stochastic low] Results of stochastic low-frequency (SLF) variability for stars of our sample ( Shen D.-X., Zhu C.-H., Lu G.-L
J/ApJS/275/24                (1) [OB stars] Information for 37,778 spectra of 27,643 OB stars identified in this work ( Liu Z., Cui W., Gu J., Shi J., Hu 
J/ApJS/276/44                (1) [TESS] Parameters of 31,539 flare events from TESS survey for 4354 TIC stars ( Su T., Zhang L.-Y., Misra P., Han X.L.
J/ApJS/276/57                (1) [TESS] TESS periodic variable star catalog ( Gao X., Chen X., Wang S., Liu J.)
J/ApJS/279/50                (1) [TESS] Comparison between the correct period measured from TESS and literature periods for 2065 known EBs ( Kostov V.
J/ApJS/280/26                (1) [TESS] Flare parameters for 286 eclipsing binaries in TESS survey ( Shi A., Zhang L.-Y., Su T., Wang Y., An Qi, Han X
J/ApJS/280/49                (1) [Magellanic Cloud] OGLE-IV fields toward the Small Magellanic Cloud ( Mroz P., Udalski A., Szymanski M.K., Soszynski I., Pietruko
J/ApJS/281/52                (2) [TESS] Star parameters of TESS objects ( Wang Y., Zhang L.-Y., Su T., Misra P., Han X.L.)
J/ApJS/282/29                (2) [TESS] Flare parameters of exoplanet system of TESS ( Ren L., Zhang L.-Y., Han X.L., Su T., Li W., Wang Y., Misra P.)
J/MNRAS/315/839              (1) [low-frequency variab] Catalogue of potential low-frequency variability (PLFV) sources ( Minns A.R., Riley J.M.)
J/MNRAS/341/534              (1) [Magellanic Cloud] J stars in the Large Magellanic Cloud ( Morgan D.H., Cannon R.D., Hatzidimitriou D., Croke B.F.W.)
J/MNRAS/369/697              (1) [Magellanic Cloud] VRI photometry of globular clusters in the Magellanic Clouds ( Goudfrooij P., Gilmore D., Kissler-Patig M., Ma
J/MNRAS/372/661              (1) [OB stars] Census of OB stars in the XMM-Newton FOV ( Sana H., Rauw G., Naze N., Gosset E., Vreux J.-M.)
J/MNRAS/384/1675             (1) [OB stars] List of OB stars in IC417 region ( Jose J., Pandey A.K., Ojha D.K., Ogura K., Chen W.P., Bhatt B.C., Ghosh S.K
J/MNRAS/405/839              (1) [Magellanic Cloud] Evolutionary parameters of globulars in the Large Magellanic Cloud calculated by us using the Lick indices pub
J/MNRAS/446/3797             (1) [early-type stars] *V-NIR colours and the reddening-corrected magnitude and colours of the early-type stars ( Hur H., Park B.-G.,
J/MNRAS/451/4346             (1) [Magellanic Cloud] *FEROS and UVES-observed stars towards the Magellanic Clouds ( Smoker J.V., Fox A.J., Keenan F.P.)
J/MNRAS/466/1290             (1) [macroturbulen] Spectral types, luminosity classes, mean projected rotational velocities, and mean radial-tangential macroturb
J/MNRAS/473/2004             (1) [TESS] TESS-HERMES catalogue ( Sharma S., Stello D., Buder S., et al.)
J/MNRAS/485/3457             (1) [TESS] List of B stars observed by TESS ( Balona L.A., Handler G., Chowdhury S., Ozuyar D., Engelbrecht C.A., Mirouh 
J/MNRAS/486/251              (1) [TESS] Matched Gaia detections for TESS CTL objects ( Deacon N.R., Henning T., Kossakowski D.E.)
J/MNRAS/487/2771             (2) [OB stars,OB-type] Known OB stars associated with the W3 Complex ( Navarete F., Galli P.A.B., Damineli A.)
J/MNRAS/488/1282             (1) [Magellanic Cloud] Large Magellanic Cloud program stars ( Williams P.M.)
J/MNRAS/489/437              (2) [TESS] Master file of all TESS flare stars from Sectors 1,2 and 3 ( Doyle L., Ramsay G., Doyle J.G., Wu K.)
J/MNRAS/490/4040             (2) [TESS] Stellar parameters for the TESS {delta} Sct and {gamma} Dor pulsators observed at 2-min cadence during the fir
J/MNRAS/491/874              (1) [microturbulen] Comparison of abundances log{epsilon}_i_ for microturbulent velocities v_t_= 0.0 and 5.0km/s ( Naslim N., Jeff
J/MNRAS/493/5871             (1) [TESS] List of {beta} Cep, SPB, and Maia stars in TESS sectors 1-18 ( Balona L.A., Ozuyar D.)
J/MNRAS/494/228              (1) [red noise] List of the preferred timing noise model, Bayes factor and associated red noise parameters for each pulsar in 
J/MNRAS/495/2713             (1) [TESS] TESS photometry of TIC-231005575 ( Gill S., Cooke B.F., Bayliss D., et al.)
J/MNRAS/500/3213             (1) [massive stars] List of confirmed massive stars, candidate massive stars and non-massive objects analyzed in our work ( Libral
J/MNRAS/500/817              (1) [Magellanic Cloud] Final mid-IR catalogue for 2352 LMC and 2672 SMC fundamental mode Classical Cepheids in the Magellanic Clouds 
J/MNRAS/502/1947             (1) [TESS] The data model of the catalogue of TESS-SCVZ targets which we release in this work ( Mackereth J.T., Miglio A.
J/MNRAS/508/2370             (1) [OB stars] Positional, astrometric and SED-fitted parameters for the 4680 probable OB stars (corrected version, 24-Jan-20
J/MNRAS/510/5743             (2) [TESS] *List of known roAp or roA stars even those not observed by TESS ( Balona L.A.)
J/MNRAS/511/1043             (4) [TESS] TESS sector 13 detrended data ( Wilson T.G., Goffo E., Alibert Y., et al.)
J/MNRAS/511/4285             (1) [TESS] Candidate eclipsing binary signals found in Year 1 of the CDIPS TESS light-curves ( Battley M.P., Armstrong D.
J/MNRAS/512/L60              (1) [TESS] Flares catalog of all 2250 TOIs with 2-min cadence TESS data and a non false positive disposition ( Howard W.S
J/MNRAS/513/102              (1) [TESS] TESS Triple-9 TT9 catalog the final result of our work ( Cacciapuoti L., Kostov V.B., Kuchner M., et al.)
J/MNRAS/513/5727             (1) [TESS] TESS and literature rotation periods and the final adopted rotation period to be used for analysis ( Binks A.S
J/MNRAS/516/2540             (1) [TESS] Short period (P<0.2 d) and red (GB-GR>1.84mag) periodic variables from the TESS EB catalogue ( Koen C.)
J/MNRAS/519/2486             (1) [TESS] Pulsators confirmed with the TESS 10 min Full Frame Image data ( Sahoo S.K., Baran A.S., Worters H.L., Nemeth 
J/MNRAS/521/443              (2) [TESS] Basic parameters of the RRc stars used TESS selected sample ( Benko J.M., Plachy E., Netzel H., Bodi A., Molna
J/MNRAS/522/29               (1) [TESS] Results for all TESS input targets ( Green M.J., Maoz D., Mazeh T., Faigler S., Shahaf S., Gomel R., El-Badry 
J/MNRAS/522/3124             (1) [OB stars] Daya for the 5617 identified OB stars ( Quintana A.L., Wright N.J., Jeffries R.D.)
J/MNRAS/529/1802             (1) [TESS] Main Sequence TESS-SPOC FFI targets ( Doyle L., Armstrong D.J., Bayliss D., Rodel T., Kunovac V.)
J/MNRAS/533/1                (1) [TESS] TESS, CHEOPS and LCOGT photometric observations of TOI-757 ( Alqasim A., Grieves N., Rosario N.M., et al.)
J/MNRAS/534/1775             (3) [TESS] Star counts for TESS-spectroscopic overlap sample ( Malla S.P., Stello D., Montet B.T., Huber D., Hon M., Bedd
J/MNRAS/538/1367             (1) [OB stars] Catalogue of OB stars within 1 kpc ( Quintana A.L., Wright N.J., Martinez Garcia J.)
J/MNRAS/540/3523             (1) [BLOeM,OB stars] Physical parameters of BLOeM OB stars ( Bestenlehner J.M., Crowther P.A., Bronner V.A., Simon-Diaz S., Lennon 
J/MNRAS/541/714              (1) [TESS] Mid-transit times we derived from TESS observations ( Basturk O., Kutluay A.C., Barker A., et al.)
J/MNRAS/544/3980             (1) [Magellanic Cloud] CaII triplet equivalent-width measurements and derived metallicities for red giant stars in the Small Magellan
J/MNRAS/548/G671             (1) [TESS] Catalogue of asteroseismic parameters for 19151 oscillating red giants in the TESS CVZs ( Sreenivas K.R., Bedd
J/PASP/111/812               (1) [Magellanic Cloud] Photometry of Magellanic Cloud Cepheids ( Barnes T. G. III, Ivans I. I., Martin J. R., Froning C. S., Moffett 
J/PASP/121/634               (1) [Magellanic Cloud] FUSE LMC objects and information in the  Magellanic Clouds ( Blair W.P., Oliveira C., Lamassa S., Gutman S., D
J/PASP/131/C4401             (1) [TESS] Transit probabilities and predicted TESS observation details for the known RV exoplanets in our sample ( Dalba
J/PAZh/35/574                (1) [Magellanic Cloud] He, C, N, and O abundances of all planetary  nebulae (Galactic and in Magellanic Clouds) ( Milanova Yu.V., Kho
J/PAZh/38/776                (1) [OB stars] OB stars from Tycho-2 catalogue ( Gontcharov G.A.)
J/PAZh/42/200                (1) [Magellanic Cloud] List of LargeMagellanic Cloud and Small Magellanic Cloud pulsars ( Zhezher Ya.V., Nugaev E.Ya., Rubtsov G.I.)
J/other/JApA/34.393          (1) [massive stars] X-ray temperatures and luminosities of massive stars in the eight clusters ( Bhatt H., Pandey J.C., Singh K.P.
J/other/NatAs/3.760          (2) [OB stars,TESS] Parameters (table D1) and fit parameters (table D3) of 114 OB stars observed by the K2 space mission ( Bowman 
J/other/NatAs/6.1085         (1) [VFTS] OGLE III and IV light curve for VFTS 243 ( Shenar T., Sana H., Mahy L., et al.)
J/other/RAA/23.E5001         (1) [TESS] Stellar and flare parameters of LAMOST M stars based on Kepler and TESS light curves. ( Meng G., Zhang L.-Y., 
J/other/Sci/392.L2348        (2) [TESS] TESS TPFED-FFIED data ( Wilson T.G., Simpson A.M., Collier Cameron A., et al.)
V/107/lmc                    (1) [Magellanic Cloud] Large Magellanic Cloud ( Egan M.P., Price S.D., Moshir M.M., Cohen M., Tedesco E., Murdock T.L., Zweil A., Bur
VI/96/table3                 (1) [massive stars] Evolutionary sequences of intermediate mass stars up to the TP-AGB and of massive stars (those with no mass-lo
VI/96/table4                 (1) [massive stars] Evolutionary sequences for massive stars with mass loss ( Bressan A., Fagotto F., Bertelli G., Chiosi C., Gira
VI/96/table5a                (1) [massive stars] Evolutionary sequences for intermediate and massive stars up to the starting of TPAGB or carbon-ignition with 
VI/96/table5b                (1) [massive stars] Evolutionary sequences for intermediate and massive stars up to the starting of TPAGB or carbon-ignition with 
VII/232/lmc                  (1) [Magellanic Cloud] HII regions in the Large Magellanic Cloud ( Davies R.D., Elliot K.H., Meaburn J.)
VII/232/smc                  (1) [Magellanic Cloud] HII regions in the Small Magellanic Cloud ( Davies R.D., Elliot K.H., Meaburn J.)
