483 tables in 370 catalogs
I/221/lmc                    (1) [Magellanic Cloud] The Large Magellanic Cloud ( Tucholke H.-J., de Boer K.S., Seitter W.C.)
J/A+A/618/A20                (2) [TESS] a_1_,a_2_,a_3_,a_4_ LDCs, PHOENIX models for TESS ( Claret A.)
J/A+A/624/A129               (1) [VFTS] *Radial velocity (RV) estimates at each epoch for candidate RSGs observed in the VFTS ( Patrick L.R, Lennon D.
J/A+A/624/A63                (1) [OB stars] Spectroscopically classified OB stars in W51 (table 3) with spectra ( Bik A., Henning T., Wu S.-W., Zhang M., 
J/A+A/625/A104               (1) [OB stars] Coordinates, spectral types (table B1), stellar parameters (table B2) and ages and evolutionary masses (table 
J/A+A/633/A30                (1) [TESS] Photom. of WASP-174 from TESS ( Mancini L., Sarkis P., Henning T., Bakos G.A., Bayliss D., Bento J., Bhatti W.
J/A+A/634/A93                (7) [TESS] *a1,a2,a3,a4 limb darkening coefficients, Sloan (u'g'r'i'z'y'), UBVRI, HiPERCAM (ugriz) and Kepler (Ke), TESS 
J/A+A/638/A157               (1) [O-type stars] O-type stars considered in this work with spectroscopic parameters ( Holgado G., Simon-Diaz S., Haemmerle L., 
J/A+A/639/A81                (1) [IACOB,OB-type,TESS] Overview of OB-type stars with available TESS photometry and IACOB/OWN spectroscopy with spectral type O4 to B
J/A+A/640/A36                (2) [OB stars,low-frequency variab] Optimised parameters for the morphology of low-frequency variability (cf. Eq. (2)) using a Bayesian MCMC fitti
J/A+A/641/A142               (1) [Magellanic Cloud] Designations and positions for the standard star and post-AGB candidates in the Magellanic Clouds ( Szczerba R
J/A+A/641/A157               (7) [TESS] a1,a2,a3,a4 limb darkening coefficients, Sloan (u'g'r'i'z'y'), UBVRI, HiPERCAM (ugriz) and Kepler (Ke), TESS (
J/A+A/642/A180               (1) [TESS] 61 variables in our whose variability was attributed to rotation of the main sequence companion, identified by
J/A+A/642/A21                (1) [OB stars] Astrometric parameters for 135 OB stars ( Russeil D., Zavagno A., Nguyen A., Figueira M., Adami C., Bouret J.C
J/A+A/644/A135               (1) [TESS] Reprocessed TESS data (Fig.2c) ( Siwak M., Ogloza W., Krzesinski J.)
J/A+A/645/L8                 (1) [OB stars] Parallaxes and proper motions of OB stars from Gaia EDR3 ( Xu Y., Hou L.H., Bian S.B., Hao C.J., Liu D.J., Li 
J/A+A/647/A180               (1) [TESS] Reduced TESS photometry of NGTS-13 ( Grieves N., Nielsen L.D., Vines J.I., et al.)
J/A+A/647/A49                (1) [early-type stars] Chemical abundances of early-type stars ( Saffe C., Miquelarena P., Alacoria J., Flores M., Jaque Arancibia M.
J/A+A/648/A71                (1) [TESS] TESS photometry over orbital phase of KELT-1b ( von Essen C., Mallonn M., Piette A., Cowan N. B., Madhusudhan 
J/A+A/649/A26                (1) [TESS] TESS sector 2 detrended fluxes ( Leleu A., Alibert Y., Hara N.C., et al.)
J/A+A/649/A64                (1) [TESS] TESS times of eclipse ( Baroch D., Gimenez A., Ribas I., Morales J.C., Anglada-Escude G., Claret A.)
J/A+A/650/A205               (3) [TESS] List of hot subdwarfs observed in the TESS primary mission (Sect. 1-26) ( Van Grootel V., Pozuelos F.J., Thuil
J/A+A/654/A17                (1) [TESS] T2-T1 from TESS ( Claret A., Gimenez A., Baroch D., Ribas I., Morales J.C., Anglada-Escude G.)
J/A+A/657/A62                (1) [IACOB] Spectral type classification of stars in the IACOB survey ( Kyritsis E., Maravelias G., Zezas A., Bonfini P., 
J/A+A/660/A11                (1) [OB stars] List of OB stars in the CNC ( Goeppl C., Preibisch T.)
J/A+A/660/A70                (1) [TESS] *List of long-period Ap stars found by our technique in the TESS Sectors 14-26 data ( Mathys G., Kurtz D.W., H
J/A+A/661/A101               (2) [TESS] Results for dry rocky planets observed by TESS after 30,000 runs (Monte Carlo method) ( Rodriguez-Mozos J.M., 
J/A+A/662/A58                (1) [TESS] List of reduced and detrended short-cadence TESS photometry of HD112429 ( Van Reeth T., De Cat P., Van Beeck J
J/A+A/663/A45                (2) [TESS] Stars in Holdsworth et al. (2017MNRAS.466.5020H) classified as pure p-mode pulsators but which have clear g-mo
J/A+A/664/A128               (1) [TESS] g,h Power-2 ATLAS models Gaia, Kepler, TESS ( Claret A., Southworth J.)
J/A+A/664/A163               (2) [TESS] TESS light curve of TOI-1807 (BD+39 2643) for Sector 22 ( Nardiello D., Malavolta L., Desidera S., et al.)
J/A+A/665/A148               (2) [VFTS] VFTS identifiers, previous spectral types, new spectral types from our study, and orbital periods ( Shenar T.,
J/A+A/665/A150               (1) [O-type stars] O-type stars considered in this work with rotational parameters ( Holgado G., Simon-Diaz S., Herrero A., Barba
J/A+A/666/A118               (1) [TESS] TESS previously published phase curves ( Jones K., Morris B.M., Demory B.-O., et al.)
J/A+A/666/A142               (1) [TESS] Classification of A-F spectral type stars in the northern TESS viewing zone ( Skarka M., Zak J., Fedurco M., P
J/A+A/667/A44                (1) [early-type stars] List of basic information for 886 early-type stars from LAMOST DR8 ( Guo Y., Liu C., Wang L., Wang J., Zhang B
J/A+A/667/A59                (1) [TESS] TESS PDCSAP photometry ( Delrez L., Murray C.A., Pozuelos F.J., et al.)
J/A+A/669/A109               (1) [TESS] TESS light curve time series (table A1) ( Lillo-Box J., Gandolfi G., Armstrong D.J., et al.)
J/A+A/669/A15                (1) [TESS] Stellar parameters of all targets observed by TESS in its 1-30 sectors ( Yang Z., Zhang L., Meng G., Han X.L.,
J/A+A/669/L3                 (1) [TESS] TESS Photometry of Eris ( Szakats R., Kiss Cs., Ortiz J.L., Morales N., Pal A., Muller T.G., Greiner J., Santo
J/A+A/671/A139               (1) [TESS] Differential photometry of the target eclipsing binaries from TESS ( Pavlovski K., Southworth J., Tkachenko A.
J/A+A/672/A24                (1) [TESS] Detrended TESS light curve ( Krenn A.F., Lendl M., Patel J.A., et al.)
J/A+A/674/A37                (1) [OB stars] Velocity profiles of the OB stars from Fig. 17 of the paper ( Gaia Collaboration, Drimmel R., Romero-Gomez M.,
J/A+A/674/A44                (1) [TESS] TESS photometry of HD 22946 ( Garai Z., Osborn H.P., Gandolfi D., et al.)
